"feature_set","num_features","accuracy","resample","problem","classifier"
"quantiles",101,0.65,1,"BirdChicken","svm"
"FFT coefficients",399,0.9,1,"BirdChicken","svm"
"FFT + quantiles",500,0.85,1,"BirdChicken","svm"
"quantiles",101,0.85,2,"BirdChicken","svm"
"FFT coefficients",399,1,2,"BirdChicken","svm"
"FFT + quantiles",500,0.95,2,"BirdChicken","svm"
"quantiles",101,0.8,3,"BirdChicken","svm"
"FFT coefficients",399,1,3,"BirdChicken","svm"
"FFT + quantiles",500,1,3,"BirdChicken","svm"
"quantiles",101,0.75,4,"BirdChicken","svm"
"FFT coefficients",399,0.95,4,"BirdChicken","svm"
"FFT + quantiles",500,0.85,4,"BirdChicken","svm"
"quantiles",101,0.8,5,"BirdChicken","svm"
"FFT coefficients",399,0.9,5,"BirdChicken","svm"
"FFT + quantiles",500,0.95,5,"BirdChicken","svm"
"quantiles",101,0.75,6,"BirdChicken","svm"
"FFT coefficients",399,1,6,"BirdChicken","svm"
"FFT + quantiles",500,0.95,6,"BirdChicken","svm"
"quantiles",101,0.75,7,"BirdChicken","svm"
"FFT coefficients",399,1,7,"BirdChicken","svm"
"FFT + quantiles",500,1,7,"BirdChicken","svm"
"quantiles",101,0.8,8,"BirdChicken","svm"
"FFT coefficients",399,0.95,8,"BirdChicken","svm"
"FFT + quantiles",500,0.8,8,"BirdChicken","svm"
"quantiles",101,0.9,9,"BirdChicken","svm"
"FFT coefficients",399,1,9,"BirdChicken","svm"
"FFT + quantiles",500,1,9,"BirdChicken","svm"
"quantiles",101,0.8,10,"BirdChicken","svm"
"FFT coefficients",399,0.9,10,"BirdChicken","svm"
"FFT + quantiles",500,0.9,10,"BirdChicken","svm"
"quantiles",101,0.75,11,"BirdChicken","svm"
"FFT coefficients",399,1,11,"BirdChicken","svm"
"FFT + quantiles",500,0.95,11,"BirdChicken","svm"
"quantiles",101,0.35,12,"BirdChicken","svm"
"FFT coefficients",399,0.95,12,"BirdChicken","svm"
"FFT + quantiles",500,0.95,12,"BirdChicken","svm"
"quantiles",101,0.65,13,"BirdChicken","svm"
"FFT coefficients",399,0.85,13,"BirdChicken","svm"
"FFT + quantiles",500,0.9,13,"BirdChicken","svm"
"quantiles",101,0.75,14,"BirdChicken","svm"
"FFT coefficients",399,1,14,"BirdChicken","svm"
"FFT + quantiles",500,0.9,14,"BirdChicken","svm"
"quantiles",101,0.85,15,"BirdChicken","svm"
"FFT coefficients",399,0.9,15,"BirdChicken","svm"
"FFT + quantiles",500,0.95,15,"BirdChicken","svm"
"quantiles",101,0.9,16,"BirdChicken","svm"
"FFT coefficients",399,0.95,16,"BirdChicken","svm"
"FFT + quantiles",500,0.95,16,"BirdChicken","svm"
"quantiles",101,0.7,17,"BirdChicken","svm"
"FFT coefficients",399,0.95,17,"BirdChicken","svm"
"FFT + quantiles",500,1,17,"BirdChicken","svm"
"quantiles",101,0.9,18,"BirdChicken","svm"
"FFT coefficients",399,0.95,18,"BirdChicken","svm"
"FFT + quantiles",500,1,18,"BirdChicken","svm"
"quantiles",101,0.85,19,"BirdChicken","svm"
"FFT coefficients",399,0.95,19,"BirdChicken","svm"
"FFT + quantiles",500,0.9,19,"BirdChicken","svm"
"quantiles",101,0.85,20,"BirdChicken","svm"
"FFT coefficients",399,1,20,"BirdChicken","svm"
"FFT + quantiles",500,1,20,"BirdChicken","svm"
"quantiles",101,0.9,21,"BirdChicken","svm"
"FFT coefficients",399,0.95,21,"BirdChicken","svm"
"FFT + quantiles",500,0.95,21,"BirdChicken","svm"
"quantiles",101,0.85,22,"BirdChicken","svm"
"FFT coefficients",399,0.9,22,"BirdChicken","svm"
"FFT + quantiles",500,0.95,22,"BirdChicken","svm"
"quantiles",101,0.85,23,"BirdChicken","svm"
"FFT coefficients",399,1,23,"BirdChicken","svm"
"FFT + quantiles",500,0.95,23,"BirdChicken","svm"
"quantiles",101,0.75,24,"BirdChicken","svm"
"FFT coefficients",399,0.95,24,"BirdChicken","svm"
"FFT + quantiles",500,0.9,24,"BirdChicken","svm"
"quantiles",101,0.8,25,"BirdChicken","svm"
"FFT coefficients",399,1,25,"BirdChicken","svm"
"FFT + quantiles",500,1,25,"BirdChicken","svm"
"quantiles",101,0.65,26,"BirdChicken","svm"
"FFT coefficients",399,1,26,"BirdChicken","svm"
"FFT + quantiles",500,0.95,26,"BirdChicken","svm"
"quantiles",101,0.7,27,"BirdChicken","svm"
"FFT coefficients",399,1,27,"BirdChicken","svm"
"FFT + quantiles",500,0.95,27,"BirdChicken","svm"
"quantiles",101,0.75,28,"BirdChicken","svm"
"FFT coefficients",399,1,28,"BirdChicken","svm"
"FFT + quantiles",500,1,28,"BirdChicken","svm"
"quantiles",101,0.75,29,"BirdChicken","svm"
"FFT coefficients",399,0.9,29,"BirdChicken","svm"
"FFT + quantiles",500,0.85,29,"BirdChicken","svm"
"quantiles",101,0.8,30,"BirdChicken","svm"
"FFT coefficients",399,1,30,"BirdChicken","svm"
"FFT + quantiles",500,1,30,"BirdChicken","svm"
