"feature_set","num_features","accuracy","resample","problem","classifier"
"quantiles",101,0.38797619047619,1,"Crop","svm"
"FFT coefficients",94,0.686607142857143,1,"Crop","svm"
"FFT + quantiles",195,0.690535714285714,1,"Crop","svm"
"quantiles",101,0.383988095238095,2,"Crop","svm"
"FFT coefficients",94,0.68797619047619,2,"Crop","svm"
"FFT + quantiles",195,0.684583333333333,2,"Crop","svm"
"quantiles",101,0.389821428571429,3,"Crop","svm"
"FFT coefficients",94,0.680952380952381,3,"Crop","svm"
"FFT + quantiles",195,0.682559523809524,3,"Crop","svm"
"quantiles",101,0.392261904761905,4,"Crop","svm"
"FFT coefficients",94,0.685238095238095,4,"Crop","svm"
"FFT + quantiles",195,0.687619047619048,4,"Crop","svm"
"quantiles",101,0.385952380952381,5,"Crop","svm"
"FFT coefficients",94,0.685714285714286,5,"Crop","svm"
"FFT + quantiles",195,0.68125,5,"Crop","svm"
"quantiles",101,0.390178571428571,6,"Crop","svm"
"FFT coefficients",94,0.68547619047619,6,"Crop","svm"
"FFT + quantiles",195,0.685952380952381,6,"Crop","svm"
"quantiles",101,0.386190476190476,7,"Crop","svm"
"FFT coefficients",94,0.682797619047619,7,"Crop","svm"
"FFT + quantiles",195,0.681488095238095,7,"Crop","svm"
"quantiles",101,0.388630952380952,8,"Crop","svm"
"FFT coefficients",94,0.69297619047619,8,"Crop","svm"
"FFT + quantiles",195,0.689345238095238,8,"Crop","svm"
"quantiles",101,0.391190476190476,9,"Crop","svm"
"FFT coefficients",94,0.68202380952381,9,"Crop","svm"
"FFT + quantiles",195,0.684464285714286,9,"Crop","svm"
"quantiles",101,0.392202380952381,10,"Crop","svm"
"FFT coefficients",94,0.689642857142857,10,"Crop","svm"
"FFT + quantiles",195,0.6875,10,"Crop","svm"
"quantiles",101,0.387440476190476,11,"Crop","svm"
"FFT coefficients",94,0.684702380952381,11,"Crop","svm"
"FFT + quantiles",195,0.686666666666667,11,"Crop","svm"
"quantiles",101,0.397440476190476,12,"Crop","svm"
"FFT coefficients",94,0.686845238095238,12,"Crop","svm"
"FFT + quantiles",195,0.691190476190476,12,"Crop","svm"
"quantiles",101,0.383035714285714,13,"Crop","svm"
"FFT coefficients",94,0.68827380952381,13,"Crop","svm"
"FFT + quantiles",195,0.68422619047619,13,"Crop","svm"
"quantiles",101,0.390892857142857,14,"Crop","svm"
"FFT coefficients",94,0.687142857142857,14,"Crop","svm"
"FFT + quantiles",195,0.689702380952381,14,"Crop","svm"
"quantiles",101,0.393630952380952,15,"Crop","svm"
"FFT coefficients",94,0.688452380952381,15,"Crop","svm"
"FFT + quantiles",195,0.692559523809524,15,"Crop","svm"
"quantiles",101,0.385059523809524,16,"Crop","svm"
"FFT coefficients",94,0.68922619047619,16,"Crop","svm"
"FFT + quantiles",195,0.68797619047619,16,"Crop","svm"
"quantiles",101,0.385297619047619,17,"Crop","svm"
"FFT coefficients",94,0.688630952380952,17,"Crop","svm"
"FFT + quantiles",195,0.687797619047619,17,"Crop","svm"
"quantiles",101,0.392559523809524,18,"Crop","svm"
"FFT coefficients",94,0.685119047619048,18,"Crop","svm"
"FFT + quantiles",195,0.686904761904762,18,"Crop","svm"
"quantiles",101,0.386964285714286,19,"Crop","svm"
"FFT coefficients",94,0.6875,19,"Crop","svm"
"FFT + quantiles",195,0.685238095238095,19,"Crop","svm"
"quantiles",101,0.390654761904762,20,"Crop","svm"
"FFT coefficients",94,0.685892857142857,20,"Crop","svm"
"FFT + quantiles",195,0.679940476190476,20,"Crop","svm"
"quantiles",101,0.385357142857143,21,"Crop","svm"
"FFT coefficients",94,0.688630952380952,21,"Crop","svm"
"FFT + quantiles",195,0.689642857142857,21,"Crop","svm"
"quantiles",101,0.392738095238095,22,"Crop","svm"
"FFT coefficients",94,0.687380952380952,22,"Crop","svm"
"FFT + quantiles",195,0.686607142857143,22,"Crop","svm"
"quantiles",101,0.391071428571429,23,"Crop","svm"
"FFT coefficients",94,0.68625,23,"Crop","svm"
"FFT + quantiles",195,0.68547619047619,23,"Crop","svm"
"quantiles",101,0.387202380952381,24,"Crop","svm"
"FFT coefficients",94,0.690416666666667,24,"Crop","svm"
"FFT + quantiles",195,0.69047619047619,24,"Crop","svm"
"quantiles",101,0.394821428571429,25,"Crop","svm"
"FFT coefficients",94,0.691964285714286,25,"Crop","svm"
"FFT + quantiles",195,0.683630952380952,25,"Crop","svm"
"quantiles",101,0.394404761904762,26,"Crop","svm"
"FFT coefficients",94,0.688154761904762,26,"Crop","svm"
"FFT + quantiles",195,0.688690476190476,26,"Crop","svm"
"quantiles",101,0.385535714285714,27,"Crop","svm"
"FFT coefficients",94,0.684285714285714,27,"Crop","svm"
"FFT + quantiles",195,0.681369047619048,27,"Crop","svm"
"quantiles",101,0.387083333333333,28,"Crop","svm"
"FFT coefficients",94,0.679940476190476,28,"Crop","svm"
"FFT + quantiles",195,0.678452380952381,28,"Crop","svm"
"quantiles",101,0.394404761904762,29,"Crop","svm"
"FFT coefficients",94,0.682380952380952,29,"Crop","svm"
"FFT + quantiles",195,0.68797619047619,29,"Crop","svm"
"quantiles",101,0.390952380952381,30,"Crop","svm"
"FFT coefficients",94,0.683690476190476,30,"Crop","svm"
"FFT + quantiles",195,0.685892857142857,30,"Crop","svm"
