"feature_set","num_features","accuracy","resample","problem","classifier"
"quantiles",101,0.879084967320261,1,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.826797385620915,1,"DiatomSizeReduction","svm"
"FFT + quantiles",500,0.898692810457516,1,"DiatomSizeReduction","svm"
"quantiles",101,0.986928104575163,2,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.836601307189543,2,"DiatomSizeReduction","svm"
"FFT + quantiles",500,0.954248366013072,2,"DiatomSizeReduction","svm"
"quantiles",101,0.823529411764706,3,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.689542483660131,3,"DiatomSizeReduction","svm"
"FFT + quantiles",500,0.725490196078431,3,"DiatomSizeReduction","svm"
"quantiles",101,0.950980392156863,4,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.859477124183007,4,"DiatomSizeReduction","svm"
"FFT + quantiles",500,0.905228758169935,4,"DiatomSizeReduction","svm"
"quantiles",101,0.826797385620915,5,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.839869281045752,5,"DiatomSizeReduction","svm"
"FFT + quantiles",500,0.843137254901961,5,"DiatomSizeReduction","svm"
"quantiles",101,0.88562091503268,6,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.862745098039216,6,"DiatomSizeReduction","svm"
"FFT + quantiles",500,0.879084967320261,6,"DiatomSizeReduction","svm"
"quantiles",101,0.970588235294118,7,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.862745098039216,7,"DiatomSizeReduction","svm"
"FFT + quantiles",500,0.911764705882353,7,"DiatomSizeReduction","svm"
"quantiles",101,0.892156862745098,8,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.826797385620915,8,"DiatomSizeReduction","svm"
"FFT + quantiles",500,0.88235294117647,8,"DiatomSizeReduction","svm"
"quantiles",101,0.937908496732026,9,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.866013071895425,9,"DiatomSizeReduction","svm"
"FFT + quantiles",500,0.905228758169935,9,"DiatomSizeReduction","svm"
"quantiles",101,0.977124183006536,10,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.859477124183007,10,"DiatomSizeReduction","svm"
"FFT + quantiles",500,0.950980392156863,10,"DiatomSizeReduction","svm"
"quantiles",101,0.830065359477124,11,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.856209150326797,11,"DiatomSizeReduction","svm"
"FFT + quantiles",500,0.88562091503268,11,"DiatomSizeReduction","svm"
"quantiles",101,0.957516339869281,12,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.859477124183007,12,"DiatomSizeReduction","svm"
"FFT + quantiles",500,0.931372549019608,12,"DiatomSizeReduction","svm"
"quantiles",101,0.983660130718954,13,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.797385620915033,13,"DiatomSizeReduction","svm"
"FFT + quantiles",500,0.869281045751634,13,"DiatomSizeReduction","svm"
"quantiles",101,0.993464052287582,14,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.888888888888889,14,"DiatomSizeReduction","svm"
"FFT + quantiles",500,0.92156862745098,14,"DiatomSizeReduction","svm"
"quantiles",101,0.970588235294118,15,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.866013071895425,15,"DiatomSizeReduction","svm"
"FFT + quantiles",500,0.934640522875817,15,"DiatomSizeReduction","svm"
"quantiles",101,0.964052287581699,16,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.852941176470588,16,"DiatomSizeReduction","svm"
"FFT + quantiles",500,0.92156862745098,16,"DiatomSizeReduction","svm"
"quantiles",101,0.950980392156863,17,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.830065359477124,17,"DiatomSizeReduction","svm"
"FFT + quantiles",500,0.898692810457516,17,"DiatomSizeReduction","svm"
"quantiles",101,0.96078431372549,18,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.859477124183007,18,"DiatomSizeReduction","svm"
"FFT + quantiles",500,0.92483660130719,18,"DiatomSizeReduction","svm"
"quantiles",101,0.934640522875817,19,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.88562091503268,19,"DiatomSizeReduction","svm"
"FFT + quantiles",500,0.905228758169935,19,"DiatomSizeReduction","svm"
"quantiles",101,0.986928104575163,20,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.859477124183007,20,"DiatomSizeReduction","svm"
"FFT + quantiles",500,0.941176470588235,20,"DiatomSizeReduction","svm"
"quantiles",101,0.934640522875817,21,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.774509803921569,21,"DiatomSizeReduction","svm"
"FFT + quantiles",500,0.92156862745098,21,"DiatomSizeReduction","svm"
"quantiles",101,0.986928104575163,22,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.839869281045752,22,"DiatomSizeReduction","svm"
"FFT + quantiles",500,0.928104575163399,22,"DiatomSizeReduction","svm"
"quantiles",101,0.973856209150327,23,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.797385620915033,23,"DiatomSizeReduction","svm"
"FFT + quantiles",500,0.934640522875817,23,"DiatomSizeReduction","svm"
"quantiles",101,0.944444444444444,24,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.852941176470588,24,"DiatomSizeReduction","svm"
"FFT + quantiles",500,0.895424836601307,24,"DiatomSizeReduction","svm"
"quantiles",101,0.977124183006536,25,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.869281045751634,25,"DiatomSizeReduction","svm"
"FFT + quantiles",500,0.92483660130719,25,"DiatomSizeReduction","svm"
"quantiles",101,0.964052287581699,26,"DiatomSizeReduction","svm"
"FFT coefficients",399,0.872549019607843,26,"DiatomSizeReduction","svm"
