"feature_set","num_features","accuracy","resample","problem","classifier"
"quantiles",101,0.755905511811024,1,"DodgerLoopGame","svm"
"FFT coefficients",399,0.700787401574803,1,"DodgerLoopGame","svm"
"FFT + quantiles",500,0.795275590551181,1,"DodgerLoopGame","svm"
"quantiles",101,0.377952755905512,2,"DodgerLoopGame","svm"
"FFT coefficients",399,0.677165354330709,2,"DodgerLoopGame","svm"
"FFT + quantiles",500,0.645669291338583,2,"DodgerLoopGame","svm"
"quantiles",101,0.700787401574803,3,"DodgerLoopGame","svm"
"FFT coefficients",399,0.740157480314961,3,"DodgerLoopGame","svm"
"FFT + quantiles",500,0.78740157480315,3,"DodgerLoopGame","svm"
"quantiles",101,0.748031496062992,4,"DodgerLoopGame","svm"
"FFT coefficients",399,0.692913385826772,4,"DodgerLoopGame","svm"
"FFT + quantiles",500,0.84251968503937,4,"DodgerLoopGame","svm"
"quantiles",101,0.763779527559055,5,"DodgerLoopGame","svm"
"FFT coefficients",399,0.700787401574803,5,"DodgerLoopGame","svm"
"FFT + quantiles",500,0.763779527559055,5,"DodgerLoopGame","svm"
"quantiles",101,0.771653543307087,6,"DodgerLoopGame","svm"
"FFT coefficients",399,0.755905511811024,6,"DodgerLoopGame","svm"
"FFT + quantiles",500,0.803149606299213,6,"DodgerLoopGame","svm"
"quantiles",101,0.818897637795276,7,"DodgerLoopGame","svm"
"FFT coefficients",399,0.653543307086614,7,"DodgerLoopGame","svm"
"FFT + quantiles",500,0.645669291338583,7,"DodgerLoopGame","svm"
"quantiles",101,0.724409448818898,8,"DodgerLoopGame","svm"
"FFT coefficients",399,0.62992125984252,8,"DodgerLoopGame","svm"
"FFT + quantiles",500,0.771653543307087,8,"DodgerLoopGame","svm"
"quantiles",101,0.748031496062992,9,"DodgerLoopGame","svm"
"FFT coefficients",399,0.677165354330709,9,"DodgerLoopGame","svm"
"FFT + quantiles",500,0.803149606299213,9,"DodgerLoopGame","svm"
"quantiles",101,0.68503937007874,10,"DodgerLoopGame","svm"
"FFT coefficients",399,0.677165354330709,10,"DodgerLoopGame","svm"
"FFT + quantiles",500,0.748031496062992,10,"DodgerLoopGame","svm"
"quantiles",101,0.779527559055118,11,"DodgerLoopGame","svm"
"FFT coefficients",399,0.645669291338583,11,"DodgerLoopGame","svm"
"FFT + quantiles",500,0.755905511811024,11,"DodgerLoopGame","svm"
"quantiles",101,0.755905511811024,12,"DodgerLoopGame","svm"
"FFT coefficients",399,0.708661417322835,12,"DodgerLoopGame","svm"
"FFT + quantiles",500,0.779527559055118,12,"DodgerLoopGame","svm"
"quantiles",101,0.68503937007874,13,"DodgerLoopGame","svm"
"FFT coefficients",399,0.669291338582677,13,"DodgerLoopGame","svm"
"FFT + quantiles",500,0.708661417322835,13,"DodgerLoopGame","svm"
"quantiles",101,0.708661417322835,14,"DodgerLoopGame","svm"
"FFT coefficients",399,0.606299212598425,14,"DodgerLoopGame","svm"
"FFT + quantiles",500,0.637795275590551,14,"DodgerLoopGame","svm"
"quantiles",101,0.700787401574803,15,"DodgerLoopGame","svm"
"FFT coefficients",399,0.740157480314961,15,"DodgerLoopGame","svm"
"FFT + quantiles",500,0.763779527559055,15,"DodgerLoopGame","svm"
"quantiles",101,0.661417322834646,16,"DodgerLoopGame","svm"
"FFT coefficients",399,0.708661417322835,16,"DodgerLoopGame","svm"
"FFT + quantiles",500,0.795275590551181,16,"DodgerLoopGame","svm"
"quantiles",101,0.748031496062992,17,"DodgerLoopGame","svm"
"FFT coefficients",399,0.669291338582677,17,"DodgerLoopGame","svm"
"FFT + quantiles",500,0.779527559055118,17,"DodgerLoopGame","svm"
"quantiles",101,0.606299212598425,18,"DodgerLoopGame","svm"
"FFT coefficients",399,0.653543307086614,18,"DodgerLoopGame","svm"
"FFT + quantiles",500,0.740157480314961,18,"DodgerLoopGame","svm"
"quantiles",101,0.78740157480315,19,"DodgerLoopGame","svm"
"FFT coefficients",399,0.748031496062992,19,"DodgerLoopGame","svm"
"FFT + quantiles",500,0.803149606299213,19,"DodgerLoopGame","svm"
"quantiles",101,0.700787401574803,20,"DodgerLoopGame","svm"
"FFT coefficients",399,0.748031496062992,20,"DodgerLoopGame","svm"
"FFT + quantiles",500,0.755905511811024,20,"DodgerLoopGame","svm"
"quantiles",101,0.606299212598425,21,"DodgerLoopGame","svm"
"FFT coefficients",399,0.637795275590551,21,"DodgerLoopGame","svm"
"FFT + quantiles",500,0.677165354330709,21,"DodgerLoopGame","svm"
"quantiles",101,0.771653543307087,22,"DodgerLoopGame","svm"
"FFT coefficients",399,0.677165354330709,22,"DodgerLoopGame","svm"
"FFT + quantiles",500,0.748031496062992,22,"DodgerLoopGame","svm"
