"feature_set","num_features","accuracy","resample","problem","classifier"
"quantiles",101,0.75,1,"ECG200","svm"
"FFT coefficients",194,0.83,1,"ECG200","svm"
"FFT + quantiles",295,0.82,1,"ECG200","svm"
"quantiles",101,0.8,2,"ECG200","svm"
"FFT coefficients",194,0.86,2,"ECG200","svm"
"FFT + quantiles",295,0.86,2,"ECG200","svm"
"quantiles",101,0.79,3,"ECG200","svm"
"FFT coefficients",194,0.82,3,"ECG200","svm"
"FFT + quantiles",295,0.82,3,"ECG200","svm"
"quantiles",101,0.8,4,"ECG200","svm"
"FFT coefficients",194,0.81,4,"ECG200","svm"
"FFT + quantiles",295,0.8,4,"ECG200","svm"
"quantiles",101,0.81,5,"ECG200","svm"
"FFT coefficients",194,0.83,5,"ECG200","svm"
"FFT + quantiles",295,0.84,5,"ECG200","svm"
"quantiles",101,0.81,6,"ECG200","svm"
"FFT coefficients",194,0.88,6,"ECG200","svm"
"FFT + quantiles",295,0.85,6,"ECG200","svm"
"quantiles",101,0.75,7,"ECG200","svm"
"FFT coefficients",194,0.82,7,"ECG200","svm"
"FFT + quantiles",295,0.86,7,"ECG200","svm"
"quantiles",101,0.81,8,"ECG200","svm"
"FFT coefficients",194,0.78,8,"ECG200","svm"
"FFT + quantiles",295,0.76,8,"ECG200","svm"
"quantiles",101,0.71,9,"ECG200","svm"
"FFT coefficients",194,0.85,9,"ECG200","svm"
"FFT + quantiles",295,0.86,9,"ECG200","svm"
"quantiles",101,0.78,10,"ECG200","svm"
"FFT coefficients",194,0.87,10,"ECG200","svm"
"FFT + quantiles",295,0.86,10,"ECG200","svm"
"quantiles",101,0.76,11,"ECG200","svm"
"FFT coefficients",194,0.82,11,"ECG200","svm"
"FFT + quantiles",295,0.85,11,"ECG200","svm"
"quantiles",101,0.76,12,"ECG200","svm"
"FFT coefficients",194,0.88,12,"ECG200","svm"
"FFT + quantiles",295,0.86,12,"ECG200","svm"
"quantiles",101,0.82,13,"ECG200","svm"
"FFT coefficients",194,0.78,13,"ECG200","svm"
"FFT + quantiles",295,0.81,13,"ECG200","svm"
"quantiles",101,0.78,14,"ECG200","svm"
"FFT coefficients",194,0.81,14,"ECG200","svm"
"FFT + quantiles",295,0.83,14,"ECG200","svm"
"quantiles",101,0.84,15,"ECG200","svm"
"FFT coefficients",194,0.89,15,"ECG200","svm"
"FFT + quantiles",295,0.87,15,"ECG200","svm"
"quantiles",101,0.76,16,"ECG200","svm"
"FFT coefficients",194,0.83,16,"ECG200","svm"
"FFT + quantiles",295,0.83,16,"ECG200","svm"
"quantiles",101,0.73,17,"ECG200","svm"
"FFT coefficients",194,0.8,17,"ECG200","svm"
"FFT + quantiles",295,0.8,17,"ECG200","svm"
"quantiles",101,0.87,18,"ECG200","svm"
"FFT coefficients",194,0.88,18,"ECG200","svm"
"FFT + quantiles",295,0.88,18,"ECG200","svm"
"quantiles",101,0.79,19,"ECG200","svm"
"FFT coefficients",194,0.85,19,"ECG200","svm"
"FFT + quantiles",295,0.83,19,"ECG200","svm"
"quantiles",101,0.78,20,"ECG200","svm"
"FFT coefficients",194,0.81,20,"ECG200","svm"
"FFT + quantiles",295,0.79,20,"ECG200","svm"
"quantiles",101,0.78,21,"ECG200","svm"
"FFT coefficients",194,0.86,21,"ECG200","svm"
"FFT + quantiles",295,0.83,21,"ECG200","svm"
"quantiles",101,0.77,22,"ECG200","svm"
"FFT coefficients",194,0.77,22,"ECG200","svm"
"FFT + quantiles",295,0.74,22,"ECG200","svm"
"quantiles",101,0.79,23,"ECG200","svm"
"FFT coefficients",194,0.85,23,"ECG200","svm"
"FFT + quantiles",295,0.89,23,"ECG200","svm"
"quantiles",101,0.78,24,"ECG200","svm"
"FFT coefficients",194,0.82,24,"ECG200","svm"
"FFT + quantiles",295,0.82,24,"ECG200","svm"
"quantiles",101,0.74,25,"ECG200","svm"
"FFT coefficients",194,0.86,25,"ECG200","svm"
"FFT + quantiles",295,0.86,25,"ECG200","svm"
"quantiles",101,0.76,26,"ECG200","svm"
"FFT coefficients",194,0.85,26,"ECG200","svm"
"FFT + quantiles",295,0.83,26,"ECG200","svm"
"quantiles",101,0.81,27,"ECG200","svm"
"FFT coefficients",194,0.82,27,"ECG200","svm"
"FFT + quantiles",295,0.79,27,"ECG200","svm"
"quantiles",101,0.88,28,"ECG200","svm"
"FFT coefficients",194,0.89,28,"ECG200","svm"
"FFT + quantiles",295,0.84,28,"ECG200","svm"
"quantiles",101,0.87,29,"ECG200","svm"
"FFT coefficients",194,0.83,29,"ECG200","svm"
"FFT + quantiles",295,0.81,29,"ECG200","svm"
"quantiles",101,0.76,30,"ECG200","svm"
"FFT coefficients",194,0.79,30,"ECG200","svm"
"FFT + quantiles",295,0.77,30,"ECG200","svm"
