"feature_set","num_features","accuracy","resample","problem","classifier"
"quantiles",101,0.504938271604938,1,"FordB","svm"
"FFT coefficients",399,0.77037037037037,1,"FordB","svm"
"FFT + quantiles",500,0.759259259259259,1,"FordB","svm"
"quantiles",101,0.596296296296296,2,"FordB","svm"
"FFT coefficients",399,0.881481481481482,2,"FordB","svm"
"FFT + quantiles",500,0.87037037037037,2,"FordB","svm"
"quantiles",101,0.579012345679012,3,"FordB","svm"
"FFT coefficients",399,0.883950617283951,3,"FordB","svm"
"FFT + quantiles",500,0.877777777777778,3,"FordB","svm"
"quantiles",101,0.574074074074074,4,"FordB","svm"
"FFT coefficients",399,0.879012345679012,4,"FordB","svm"
"FFT + quantiles",500,0.866666666666667,4,"FordB","svm"
"quantiles",101,0.608641975308642,5,"FordB","svm"
"FFT coefficients",399,0.879012345679012,5,"FordB","svm"
"FFT + quantiles",500,0.875308641975309,5,"FordB","svm"
"quantiles",101,0.579012345679012,6,"FordB","svm"
"FFT coefficients",399,0.901234567901235,6,"FordB","svm"
"FFT + quantiles",500,0.871604938271605,6,"FordB","svm"
"quantiles",101,0.583950617283951,7,"FordB","svm"
"FFT coefficients",399,0.88641975308642,7,"FordB","svm"
"FFT + quantiles",500,0.881481481481482,7,"FordB","svm"
"quantiles",101,0.614814814814815,8,"FordB","svm"
"FFT coefficients",399,0.869135802469136,8,"FordB","svm"
"FFT + quantiles",500,0.866666666666667,8,"FordB","svm"
"quantiles",101,0.609876543209876,9,"FordB","svm"
"FFT coefficients",399,0.896296296296296,9,"FordB","svm"
"FFT + quantiles",500,0.893827160493827,9,"FordB","svm"
"quantiles",101,0.592592592592593,10,"FordB","svm"
"FFT coefficients",399,0.88641975308642,10,"FordB","svm"
"FFT + quantiles",500,0.867901234567901,10,"FordB","svm"
"quantiles",101,0.602469135802469,11,"FordB","svm"
"FFT coefficients",399,0.902469135802469,11,"FordB","svm"
"FFT + quantiles",500,0.890123456790124,11,"FordB","svm"
"quantiles",101,0.603703703703704,12,"FordB","svm"
"FFT coefficients",399,0.867901234567901,12,"FordB","svm"
"FFT + quantiles",500,0.855555555555556,12,"FordB","svm"
"quantiles",101,0.583950617283951,13,"FordB","svm"
"FFT coefficients",399,0.87283950617284,13,"FordB","svm"
"FFT + quantiles",500,0.848148148148148,13,"FordB","svm"
"quantiles",101,0.608641975308642,14,"FordB","svm"
"FFT coefficients",399,0.898765432098765,14,"FordB","svm"
"FFT + quantiles",500,0.87283950617284,14,"FordB","svm"
"quantiles",101,0.577777777777778,15,"FordB","svm"
"FFT coefficients",399,0.9,15,"FordB","svm"
"FFT + quantiles",500,0.882716049382716,15,"FordB","svm"
"quantiles",101,0.607407407407407,16,"FordB","svm"
"FFT coefficients",399,0.891358024691358,16,"FordB","svm"
"FFT + quantiles",500,0.882716049382716,16,"FordB","svm"
"quantiles",101,0.581481481481481,17,"FordB","svm"
"FFT coefficients",399,0.891358024691358,17,"FordB","svm"
"FFT + quantiles",500,0.892592592592593,17,"FordB","svm"
"quantiles",101,0.588888888888889,18,"FordB","svm"
"FFT coefficients",399,0.893827160493827,18,"FordB","svm"
"FFT + quantiles",500,0.882716049382716,18,"FordB","svm"
"quantiles",101,0.598765432098765,19,"FordB","svm"
"FFT coefficients",399,0.9,19,"FordB","svm"
"FFT + quantiles",500,0.880246913580247,19,"FordB","svm"
"quantiles",101,0.601234567901235,20,"FordB","svm"
"FFT coefficients",399,0.874074074074074,20,"FordB","svm"
"FFT + quantiles",500,0.87283950617284,20,"FordB","svm"
"quantiles",101,0.587654320987654,21,"FordB","svm"
"FFT coefficients",399,0.901234567901235,21,"FordB","svm"
"FFT + quantiles",500,0.896296296296296,21,"FordB","svm"
"quantiles",101,0.587654320987654,22,"FordB","svm"
"FFT coefficients",399,0.877777777777778,22,"FordB","svm"
"FFT + quantiles",500,0.860493827160494,22,"FordB","svm"
"quantiles",101,0.601234567901235,23,"FordB","svm"
"FFT coefficients",399,0.876543209876543,23,"FordB","svm"
"FFT + quantiles",500,0.880246913580247,23,"FordB","svm"
"quantiles",101,0.565432098765432,24,"FordB","svm"
"FFT coefficients",399,0.875308641975309,24,"FordB","svm"
"FFT + quantiles",500,0.866666666666667,24,"FordB","svm"
"quantiles",101,0.582716049382716,25,"FordB","svm"
"FFT coefficients",399,0.88641975308642,25,"FordB","svm"
"FFT + quantiles",500,0.875308641975309,25,"FordB","svm"
"quantiles",101,0.6,26,"FordB","svm"
"FFT coefficients",399,0.877777777777778,26,"FordB","svm"
"FFT + quantiles",500,0.876543209876543,26,"FordB","svm"
"quantiles",101,0.612345679012346,27,"FordB","svm"
"FFT coefficients",399,0.887654320987654,27,"FordB","svm"
"FFT + quantiles",500,0.887654320987654,27,"FordB","svm"
"quantiles",101,0.597530864197531,28,"FordB","svm"
"FFT coefficients",399,0.896296296296296,28,"FordB","svm"
"FFT + quantiles",500,0.877777777777778,28,"FordB","svm"
"quantiles",101,0.576543209876543,29,"FordB","svm"
"FFT coefficients",399,0.896296296296296,29,"FordB","svm"
"FFT + quantiles",500,0.885185185185185,29,"FordB","svm"
"quantiles",101,0.582716049382716,30,"FordB","svm"
"FFT coefficients",399,0.871604938271605,30,"FordB","svm"
"FFT + quantiles",500,0.846913580246914,30,"FordB","svm"
