"feature_set","num_features","accuracy","resample","problem","classifier"
"quantiles",101,0.858947368421053,1,"FreezerSmallTrain","svm"
"FFT coefficients",399,0.666315789473684,1,"FreezerSmallTrain","svm"
"FFT + quantiles",500,0.714385964912281,1,"FreezerSmallTrain","svm"
"quantiles",101,0.951228070175439,2,"FreezerSmallTrain","svm"
"FFT coefficients",399,0.647017543859649,2,"FreezerSmallTrain","svm"
"FFT + quantiles",500,0.754736842105263,2,"FreezerSmallTrain","svm"
"quantiles",101,0.957894736842105,3,"FreezerSmallTrain","svm"
"FFT coefficients",399,0.672982456140351,3,"FreezerSmallTrain","svm"
"FFT + quantiles",500,0.801754385964912,3,"FreezerSmallTrain","svm"
"quantiles",101,0.947719298245614,4,"FreezerSmallTrain","svm"
"FFT coefficients",399,0.664561403508772,4,"FreezerSmallTrain","svm"
"FFT + quantiles",500,0.713684210526316,4,"FreezerSmallTrain","svm"
"quantiles",101,0.895789473684211,5,"FreezerSmallTrain","svm"
"FFT coefficients",399,0.702105263157895,5,"FreezerSmallTrain","svm"
"FFT + quantiles",500,0.736842105263158,5,"FreezerSmallTrain","svm"
"quantiles",101,0.82280701754386,6,"FreezerSmallTrain","svm"
"FFT coefficients",399,0.710877192982456,6,"FreezerSmallTrain","svm"
"FFT + quantiles",500,0.739298245614035,6,"FreezerSmallTrain","svm"
"quantiles",101,0.975438596491228,7,"FreezerSmallTrain","svm"
"FFT coefficients",399,0.676842105263158,7,"FreezerSmallTrain","svm"
"FFT + quantiles",500,0.747368421052632,7,"FreezerSmallTrain","svm"
"quantiles",101,0.958947368421053,8,"FreezerSmallTrain","svm"
"FFT coefficients",399,0.692631578947368,8,"FreezerSmallTrain","svm"
"FFT + quantiles",500,0.735438596491228,8,"FreezerSmallTrain","svm"
"quantiles",101,0.928771929824561,9,"FreezerSmallTrain","svm"
"FFT coefficients",399,0.657543859649123,9,"FreezerSmallTrain","svm"
"FFT + quantiles",500,0.736140350877193,9,"FreezerSmallTrain","svm"
"quantiles",101,0.974035087719298,10,"FreezerSmallTrain","svm"
"FFT coefficients",399,0.63859649122807,10,"FreezerSmallTrain","svm"
"FFT + quantiles",500,0.764912280701754,10,"FreezerSmallTrain","svm"
"quantiles",101,0.777543859649123,11,"FreezerSmallTrain","svm"
"FFT coefficients",399,0.736842105263158,11,"FreezerSmallTrain","svm"
"FFT + quantiles",500,0.757894736842105,11,"FreezerSmallTrain","svm"
"quantiles",101,0.973684210526316,12,"FreezerSmallTrain","svm"
"FFT coefficients",399,0.665614035087719,12,"FreezerSmallTrain","svm"
"FFT + quantiles",500,0.783859649122807,12,"FreezerSmallTrain","svm"
"quantiles",101,0.973684210526316,13,"FreezerSmallTrain","svm"
"FFT coefficients",399,0.663508771929825,13,"FreezerSmallTrain","svm"
"FFT + quantiles",500,0.777894736842105,13,"FreezerSmallTrain","svm"
