"feature_set","num_features","accuracy","resample","problem","classifier"
"quantiles",101,0.334415584415584,1,"Haptics","svm"
"FFT coefficients",399,0.353896103896104,1,"Haptics","svm"
"FFT + quantiles",500,0.422077922077922,1,"Haptics","svm"
"quantiles",101,0.344155844155844,2,"Haptics","svm"
"FFT coefficients",399,0.353896103896104,2,"Haptics","svm"
"FFT + quantiles",500,0.392857142857143,2,"Haptics","svm"
"quantiles",101,0.308441558441558,3,"Haptics","svm"
"FFT coefficients",399,0.415584415584416,3,"Haptics","svm"
"FFT + quantiles",500,0.409090909090909,3,"Haptics","svm"
"quantiles",101,0.37012987012987,4,"Haptics","svm"
"FFT coefficients",399,0.399350649350649,4,"Haptics","svm"
"FFT + quantiles",500,0.399350649350649,4,"Haptics","svm"
"quantiles",101,0.357142857142857,5,"Haptics","svm"
"FFT coefficients",399,0.412337662337662,5,"Haptics","svm"
"FFT + quantiles",500,0.376623376623377,5,"Haptics","svm"
"quantiles",101,0.337662337662338,6,"Haptics","svm"
"FFT coefficients",399,0.405844155844156,6,"Haptics","svm"
"FFT + quantiles",500,0.37987012987013,6,"Haptics","svm"
"quantiles",101,0.373376623376623,7,"Haptics","svm"
"FFT coefficients",399,0.366883116883117,7,"Haptics","svm"
"FFT + quantiles",500,0.392857142857143,7,"Haptics","svm"
"quantiles",101,0.37012987012987,8,"Haptics","svm"
"FFT coefficients",399,0.38961038961039,8,"Haptics","svm"
"FFT + quantiles",500,0.418831168831169,8,"Haptics","svm"
"quantiles",101,0.353896103896104,9,"Haptics","svm"
"FFT coefficients",399,0.415584415584416,9,"Haptics","svm"
"FFT + quantiles",500,0.431818181818182,9,"Haptics","svm"
"quantiles",101,0.383116883116883,10,"Haptics","svm"
"FFT coefficients",399,0.399350649350649,10,"Haptics","svm"
"FFT + quantiles",500,0.438311688311688,10,"Haptics","svm"
"quantiles",101,0.36038961038961,11,"Haptics","svm"
"FFT coefficients",399,0.412337662337662,11,"Haptics","svm"
"FFT + quantiles",500,0.474025974025974,11,"Haptics","svm"
"quantiles",101,0.363636363636364,12,"Haptics","svm"
"FFT coefficients",399,0.314935064935065,12,"Haptics","svm"
"FFT + quantiles",500,0.353896103896104,12,"Haptics","svm"
"quantiles",101,0.366883116883117,13,"Haptics","svm"
"FFT coefficients",399,0.37987012987013,13,"Haptics","svm"
"FFT + quantiles",500,0.422077922077922,13,"Haptics","svm"
"quantiles",101,0.347402597402597,14,"Haptics","svm"
"FFT coefficients",399,0.415584415584416,14,"Haptics","svm"
"FFT + quantiles",500,0.422077922077922,14,"Haptics","svm"
"quantiles",101,0.337662337662338,15,"Haptics","svm"
"FFT coefficients",399,0.392857142857143,15,"Haptics","svm"
"FFT + quantiles",500,0.37012987012987,15,"Haptics","svm"
"quantiles",101,0.314935064935065,16,"Haptics","svm"
"FFT coefficients",399,0.412337662337662,16,"Haptics","svm"
"FFT + quantiles",500,0.425324675324675,16,"Haptics","svm"
"quantiles",101,0.327922077922078,17,"Haptics","svm"
"FFT coefficients",399,0.396103896103896,17,"Haptics","svm"
"FFT + quantiles",500,0.441558441558442,17,"Haptics","svm"
"quantiles",101,0.366883116883117,18,"Haptics","svm"
"FFT coefficients",399,0.376623376623377,18,"Haptics","svm"
"FFT + quantiles",500,0.373376623376623,18,"Haptics","svm"
"quantiles",101,0.314935064935065,19,"Haptics","svm"
"FFT coefficients",399,0.353896103896104,19,"Haptics","svm"
"FFT + quantiles",500,0.363636363636364,19,"Haptics","svm"
"quantiles",101,0.373376623376623,20,"Haptics","svm"
"FFT coefficients",399,0.451298701298701,20,"Haptics","svm"
"FFT + quantiles",500,0.428571428571429,20,"Haptics","svm"
"quantiles",101,0.350649350649351,21,"Haptics","svm"
"FFT coefficients",399,0.366883116883117,21,"Haptics","svm"
"FFT + quantiles",500,0.399350649350649,21,"Haptics","svm"
"quantiles",101,0.357142857142857,22,"Haptics","svm"
"FFT coefficients",399,0.418831168831169,22,"Haptics","svm"
"FFT + quantiles",500,0.431818181818182,22,"Haptics","svm"
"quantiles",101,0.327922077922078,23,"Haptics","svm"
"FFT coefficients",399,0.396103896103896,23,"Haptics","svm"
"FFT + quantiles",500,0.431818181818182,23,"Haptics","svm"
"quantiles",101,0.353896103896104,24,"Haptics","svm"
"FFT coefficients",399,0.431818181818182,24,"Haptics","svm"
"FFT + quantiles",500,0.428571428571429,24,"Haptics","svm"
"quantiles",101,0.314935064935065,25,"Haptics","svm"
"FFT coefficients",399,0.415584415584416,25,"Haptics","svm"
"FFT + quantiles",500,0.451298701298701,25,"Haptics","svm"
"quantiles",101,0.314935064935065,26,"Haptics","svm"
"FFT coefficients",399,0.405844155844156,26,"Haptics","svm"
"FFT + quantiles",500,0.373376623376623,26,"Haptics","svm"
"quantiles",101,0.327922077922078,27,"Haptics","svm"
"FFT coefficients",399,0.412337662337662,27,"Haptics","svm"
"FFT + quantiles",500,0.383116883116883,27,"Haptics","svm"
"quantiles",101,0.327922077922078,28,"Haptics","svm"
"FFT coefficients",399,0.383116883116883,28,"Haptics","svm"
"FFT + quantiles",500,0.399350649350649,28,"Haptics","svm"
"quantiles",101,0.347402597402597,29,"Haptics","svm"
"FFT coefficients",399,0.376623376623377,29,"Haptics","svm"
"FFT + quantiles",500,0.428571428571429,29,"Haptics","svm"
"quantiles",101,0.308441558441558,30,"Haptics","svm"
"FFT coefficients",399,0.373376623376623,30,"Haptics","svm"
"FFT + quantiles",500,0.409090909090909,30,"Haptics","svm"
