"feature_set","num_features","accuracy","resample","problem","classifier"
"quantiles",101,0.321818181818182,1,"InlineSkate","svm"
"FFT coefficients",399,0.230909090909091,1,"InlineSkate","svm"
"FFT + quantiles",500,0.274545454545455,1,"InlineSkate","svm"
"quantiles",101,0.347272727272727,2,"InlineSkate","svm"
"FFT coefficients",399,0.225454545454545,2,"InlineSkate","svm"
"FFT + quantiles",500,0.269090909090909,2,"InlineSkate","svm"
"quantiles",101,0.352727272727273,3,"InlineSkate","svm"
"FFT coefficients",399,0.236363636363636,3,"InlineSkate","svm"
"FFT + quantiles",500,0.28,3,"InlineSkate","svm"
"quantiles",101,0.352727272727273,4,"InlineSkate","svm"
"FFT coefficients",399,0.245454545454545,4,"InlineSkate","svm"
"FFT + quantiles",500,0.283636363636364,4,"InlineSkate","svm"
"quantiles",101,0.350909090909091,5,"InlineSkate","svm"
"FFT coefficients",399,0.183636363636364,5,"InlineSkate","svm"
"FFT + quantiles",500,0.221818181818182,5,"InlineSkate","svm"
"quantiles",101,0.334545454545455,6,"InlineSkate","svm"
"FFT coefficients",399,0.190909090909091,6,"InlineSkate","svm"
"FFT + quantiles",500,0.258181818181818,6,"InlineSkate","svm"
"quantiles",101,0.385454545454545,7,"InlineSkate","svm"
"FFT coefficients",399,0.196363636363636,7,"InlineSkate","svm"
"FFT + quantiles",500,0.269090909090909,7,"InlineSkate","svm"
"quantiles",101,0.389090909090909,8,"InlineSkate","svm"
"FFT coefficients",399,0.243636363636364,8,"InlineSkate","svm"
"FFT + quantiles",500,0.321818181818182,8,"InlineSkate","svm"
"quantiles",101,0.358181818181818,9,"InlineSkate","svm"
"FFT coefficients",399,0.232727272727273,9,"InlineSkate","svm"
"FFT + quantiles",500,0.274545454545455,9,"InlineSkate","svm"
"quantiles",101,0.376363636363636,10,"InlineSkate","svm"
"FFT coefficients",399,0.245454545454545,10,"InlineSkate","svm"
"FFT + quantiles",500,0.289090909090909,10,"InlineSkate","svm"
"quantiles",101,0.367272727272727,11,"InlineSkate","svm"
"FFT coefficients",399,0.198181818181818,11,"InlineSkate","svm"
"FFT + quantiles",500,0.254545454545455,11,"InlineSkate","svm"
