"feature_set","num_features","accuracy","resample","problem","classifier"
"quantiles",101,0.64,1,"LargeKitchenAppliances","svm"
"FFT coefficients",399,0.597333333333333,1,"LargeKitchenAppliances","svm"
"FFT + quantiles",500,0.658666666666667,1,"LargeKitchenAppliances","svm"
"quantiles",101,0.677333333333333,2,"LargeKitchenAppliances","svm"
"FFT coefficients",399,0.578666666666667,2,"LargeKitchenAppliances","svm"
"FFT + quantiles",500,0.626666666666667,2,"LargeKitchenAppliances","svm"
"quantiles",101,0.605333333333333,3,"LargeKitchenAppliances","svm"
"FFT coefficients",399,0.581333333333333,3,"LargeKitchenAppliances","svm"
"FFT + quantiles",500,0.618666666666667,3,"LargeKitchenAppliances","svm"
"quantiles",101,0.669333333333333,4,"LargeKitchenAppliances","svm"
"FFT coefficients",399,0.565333333333333,4,"LargeKitchenAppliances","svm"
"FFT + quantiles",500,0.613333333333333,4,"LargeKitchenAppliances","svm"
"quantiles",101,0.656,5,"LargeKitchenAppliances","svm"
"FFT coefficients",399,0.573333333333333,5,"LargeKitchenAppliances","svm"
"FFT + quantiles",500,0.629333333333333,5,"LargeKitchenAppliances","svm"
"quantiles",101,0.677333333333333,6,"LargeKitchenAppliances","svm"
"FFT coefficients",399,0.573333333333333,6,"LargeKitchenAppliances","svm"
"FFT + quantiles",500,0.672,6,"LargeKitchenAppliances","svm"
"quantiles",101,0.658666666666667,7,"LargeKitchenAppliances","svm"
"FFT coefficients",399,0.594666666666667,7,"LargeKitchenAppliances","svm"
"FFT + quantiles",500,0.648,7,"LargeKitchenAppliances","svm"
"quantiles",101,0.64,8,"LargeKitchenAppliances","svm"
"FFT coefficients",399,0.602666666666667,8,"LargeKitchenAppliances","svm"
"FFT + quantiles",500,0.653333333333333,8,"LargeKitchenAppliances","svm"
"quantiles",101,0.624,9,"LargeKitchenAppliances","svm"
"FFT coefficients",399,0.592,9,"LargeKitchenAppliances","svm"
"FFT + quantiles",500,0.634666666666667,9,"LargeKitchenAppliances","svm"
