"feature_set","num_features","accuracy","resample","problem","classifier"
"quantiles",101,0.966666666666667,1,"Meat","svm"
"FFT coefficients",399,0.9,1,"Meat","svm"
"FFT + quantiles",500,0.9,1,"Meat","svm"
"quantiles",101,1,2,"Meat","svm"
"FFT coefficients",399,0.983333333333333,2,"Meat","svm"
"FFT + quantiles",500,1,2,"Meat","svm"
"quantiles",101,0.983333333333333,3,"Meat","svm"
"FFT coefficients",399,0.95,3,"Meat","svm"
"FFT + quantiles",500,0.966666666666667,3,"Meat","svm"
"quantiles",101,1,4,"Meat","svm"
"FFT coefficients",399,0.983333333333333,4,"Meat","svm"
"FFT + quantiles",500,0.983333333333333,4,"Meat","svm"
"quantiles",101,1,5,"Meat","svm"
"FFT coefficients",399,0.983333333333333,5,"Meat","svm"
"FFT + quantiles",500,0.983333333333333,5,"Meat","svm"
"quantiles",101,0.966666666666667,6,"Meat","svm"
"FFT coefficients",399,0.966666666666667,6,"Meat","svm"
"FFT + quantiles",500,0.966666666666667,6,"Meat","svm"
"quantiles",101,1,7,"Meat","svm"
"FFT coefficients",399,0.916666666666667,7,"Meat","svm"
"FFT + quantiles",500,0.983333333333333,7,"Meat","svm"
"quantiles",101,1,8,"Meat","svm"
"FFT coefficients",399,0.966666666666667,8,"Meat","svm"
"FFT + quantiles",500,0.983333333333333,8,"Meat","svm"
"quantiles",101,0.966666666666667,9,"Meat","svm"
"FFT coefficients",399,0.95,9,"Meat","svm"
"FFT + quantiles",500,0.966666666666667,9,"Meat","svm"
"quantiles",101,1,10,"Meat","svm"
"FFT coefficients",399,0.933333333333333,10,"Meat","svm"
"FFT + quantiles",500,0.983333333333333,10,"Meat","svm"
"quantiles",101,1,11,"Meat","svm"
"FFT coefficients",399,0.95,11,"Meat","svm"
"FFT + quantiles",500,0.95,11,"Meat","svm"
"quantiles",101,1,12,"Meat","svm"
"FFT coefficients",399,0.95,12,"Meat","svm"
"FFT + quantiles",500,0.966666666666667,12,"Meat","svm"
"quantiles",101,1,13,"Meat","svm"
"FFT coefficients",399,0.916666666666667,13,"Meat","svm"
"FFT + quantiles",500,0.95,13,"Meat","svm"
"quantiles",101,0.983333333333333,14,"Meat","svm"
"FFT coefficients",399,0.916666666666667,14,"Meat","svm"
"FFT + quantiles",500,0.95,14,"Meat","svm"
"quantiles",101,0.966666666666667,15,"Meat","svm"
"FFT coefficients",399,0.983333333333333,15,"Meat","svm"
"FFT + quantiles",500,0.983333333333333,15,"Meat","svm"
"quantiles",101,0.966666666666667,16,"Meat","svm"
"FFT coefficients",399,0.983333333333333,16,"Meat","svm"
"FFT + quantiles",500,0.983333333333333,16,"Meat","svm"
"quantiles",101,0.983333333333333,17,"Meat","svm"
"FFT coefficients",399,0.833333333333333,17,"Meat","svm"
"FFT + quantiles",500,0.9,17,"Meat","svm"
"quantiles",101,1,18,"Meat","svm"
"FFT coefficients",399,0.933333333333333,18,"Meat","svm"
"FFT + quantiles",500,0.95,18,"Meat","svm"
"quantiles",101,1,19,"Meat","svm"
"FFT coefficients",399,0.983333333333333,19,"Meat","svm"
"FFT + quantiles",500,0.983333333333333,19,"Meat","svm"
"quantiles",101,0.983333333333333,20,"Meat","svm"
"FFT coefficients",399,0.95,20,"Meat","svm"
"FFT + quantiles",500,0.966666666666667,20,"Meat","svm"
"quantiles",101,1,21,"Meat","svm"
"FFT coefficients",399,0.966666666666667,21,"Meat","svm"
"FFT + quantiles",500,0.983333333333333,21,"Meat","svm"
"quantiles",101,1,22,"Meat","svm"
"FFT coefficients",399,1,22,"Meat","svm"
"FFT + quantiles",500,1,22,"Meat","svm"
"quantiles",101,1,23,"Meat","svm"
"FFT coefficients",399,1,23,"Meat","svm"
"FFT + quantiles",500,1,23,"Meat","svm"
"quantiles",101,1,24,"Meat","svm"
"FFT coefficients",399,0.966666666666667,24,"Meat","svm"
"FFT + quantiles",500,0.983333333333333,24,"Meat","svm"
"quantiles",101,1,25,"Meat","svm"
"FFT coefficients",399,0.933333333333333,25,"Meat","svm"
"FFT + quantiles",500,0.983333333333333,25,"Meat","svm"
"quantiles",101,0.966666666666667,26,"Meat","svm"
"FFT coefficients",399,0.966666666666667,26,"Meat","svm"
"FFT + quantiles",500,0.966666666666667,26,"Meat","svm"
"quantiles",101,1,27,"Meat","svm"
"FFT coefficients",399,0.966666666666667,27,"Meat","svm"
"FFT + quantiles",500,0.983333333333333,27,"Meat","svm"
"quantiles",101,1,28,"Meat","svm"
"FFT coefficients",399,0.95,28,"Meat","svm"
"FFT + quantiles",500,0.983333333333333,28,"Meat","svm"
"quantiles",101,0.983333333333333,29,"Meat","svm"
"FFT coefficients",399,0.983333333333333,29,"Meat","svm"
"FFT + quantiles",500,1,29,"Meat","svm"
"quantiles",101,1,30,"Meat","svm"
"FFT coefficients",399,0.983333333333333,30,"Meat","svm"
"FFT + quantiles",500,0.983333333333333,30,"Meat","svm"
