"feature_set","num_features","accuracy","resample","problem","classifier"
"quantiles",101,0.628288055196205,1,"MelbournePedestrian","svm"
"FFT coefficients",50,0.838723587753342,1,"MelbournePedestrian","svm"
"FFT + quantiles",151,0.836567485985338,1,"MelbournePedestrian","svm"
"quantiles",101,0.635618801207417,2,"MelbournePedestrian","svm"
"FFT coefficients",50,0.834411384217335,2,"MelbournePedestrian","svm"
"FFT + quantiles",151,0.838292367399741,2,"MelbournePedestrian","svm"
"quantiles",101,0.636050021561018,3,"MelbournePedestrian","svm"
"FFT coefficients",50,0.834411384217335,3,"MelbournePedestrian","svm"
"FFT + quantiles",151,0.833548943510134,3,"MelbournePedestrian","svm"
"quantiles",101,0.635618801207417,4,"MelbournePedestrian","svm"
"FFT coefficients",50,0.839154808106943,4,"MelbournePedestrian","svm"
"FFT + quantiles",151,0.839154808106943,4,"MelbournePedestrian","svm"
"quantiles",101,0.620094868477792,5,"MelbournePedestrian","svm"
"FFT coefficients",50,0.849504096593359,5,"MelbournePedestrian","svm"
"FFT + quantiles",151,0.845191893057352,5,"MelbournePedestrian","svm"
"quantiles",101,0.638206123329021,6,"MelbournePedestrian","svm"
"FFT coefficients",50,0.83742992669254,6,"MelbournePedestrian","svm"
"FFT + quantiles",151,0.822768434670116,6,"MelbournePedestrian","svm"
"quantiles",101,0.626994394135403,7,"MelbournePedestrian","svm"
"FFT coefficients",50,0.836136265631738,7,"MelbournePedestrian","svm"
"FFT + quantiles",151,0.836567485985338,7,"MelbournePedestrian","svm"
"quantiles",101,0.655023717119448,8,"MelbournePedestrian","svm"
"FFT coefficients",50,0.832686502802932,8,"MelbournePedestrian","svm"
"FFT + quantiles",151,0.853816300129366,8,"MelbournePedestrian","svm"
"quantiles",101,0.645536869340233,9,"MelbournePedestrian","svm"
"FFT coefficients",50,0.836136265631738,9,"MelbournePedestrian","svm"
"FFT + quantiles",151,0.844760672703752,9,"MelbournePedestrian","svm"
"quantiles",101,0.653298835705045,10,"MelbournePedestrian","svm"
"FFT coefficients",50,0.838723587753342,10,"MelbournePedestrian","svm"
"FFT + quantiles",151,0.836998706338939,10,"MelbournePedestrian","svm"
"quantiles",101,0.635187580853816,11,"MelbournePedestrian","svm"
"FFT coefficients",50,0.839586028460543,11,"MelbournePedestrian","svm"
"FFT + quantiles",151,0.839586028460543,11,"MelbournePedestrian","svm"
"quantiles",101,0.641655886157827,12,"MelbournePedestrian","svm"
"FFT coefficients",50,0.840017248814144,12,"MelbournePedestrian","svm"
"FFT + quantiles",151,0.832255282449332,12,"MelbournePedestrian","svm"
"quantiles",101,0.63777490297542,13,"MelbournePedestrian","svm"
"FFT coefficients",50,0.827080638206123,13,"MelbournePedestrian","svm"
"FFT + quantiles",151,0.823199655023717,13,"MelbournePedestrian","svm"
"quantiles",101,0.629150495903407,14,"MelbournePedestrian","svm"
"FFT coefficients",50,0.830530401034929,14,"MelbournePedestrian","svm"
"FFT + quantiles",151,0.831824062095731,14,"MelbournePedestrian","svm"
"quantiles",101,0.63734368262182,15,"MelbournePedestrian","svm"
"FFT coefficients",50,0.838723587753342,15,"MelbournePedestrian","svm"
"FFT + quantiles",151,0.845623113410953,15,"MelbournePedestrian","svm"
"quantiles",101,0.636050021561018,16,"MelbournePedestrian","svm"
"FFT coefficients",50,0.842604570935748,16,"MelbournePedestrian","svm"
"FFT + quantiles",151,0.844329452350151,16,"MelbournePedestrian","svm"
"quantiles",101,0.633462699439414,17,"MelbournePedestrian","svm"
"FFT coefficients",50,0.844760672703752,17,"MelbournePedestrian","svm"
"FFT + quantiles",151,0.838292367399741,17,"MelbournePedestrian","svm"
"quantiles",101,0.636912462268219,18,"MelbournePedestrian","svm"
"FFT coefficients",50,0.841742130228547,18,"MelbournePedestrian","svm"
"FFT + quantiles",151,0.844329452350151,18,"MelbournePedestrian","svm"
"quantiles",101,0.642518326865028,19,"MelbournePedestrian","svm"
"FFT coefficients",50,0.844760672703752,19,"MelbournePedestrian","svm"
"FFT + quantiles",151,0.839154808106943,19,"MelbournePedestrian","svm"
"quantiles",101,0.645536869340233,20,"MelbournePedestrian","svm"
"FFT coefficients",50,0.840017248814144,20,"MelbournePedestrian","svm"
"FFT + quantiles",151,0.834842604570936,20,"MelbournePedestrian","svm"
"quantiles",101,0.643380767572229,21,"MelbournePedestrian","svm"
"FFT coefficients",50,0.839586028460543,21,"MelbournePedestrian","svm"
"FFT + quantiles",151,0.846485554118154,21,"MelbournePedestrian","svm"
"quantiles",101,0.629150495903407,22,"MelbournePedestrian","svm"
"FFT coefficients",50,0.846054333764554,22,"MelbournePedestrian","svm"
"FFT + quantiles",151,0.833980163863734,22,"MelbournePedestrian","svm"
"quantiles",101,0.634325140146615,23,"MelbournePedestrian","svm"
