"feature_set","num_features","accuracy","resample","problem","classifier"
"quantiles",101,0.866157760814249,1,"NonInvasiveFetalECGThorax2","svm"
"FFT coefficients",399,0.903307888040712,1,"NonInvasiveFetalECGThorax2","svm"
"FFT + quantiles",500,0.920610687022901,1,"NonInvasiveFetalECGThorax2","svm"
"quantiles",101,0.879898218829517,2,"NonInvasiveFetalECGThorax2","svm"
"FFT coefficients",399,0.907379134860051,2,"NonInvasiveFetalECGThorax2","svm"
"FFT + quantiles",500,0.92824427480916,2,"NonInvasiveFetalECGThorax2","svm"
"quantiles",101,0.875826972010178,3,"NonInvasiveFetalECGThorax2","svm"
"FFT coefficients",399,0.89058524173028,3,"NonInvasiveFetalECGThorax2","svm"
"FFT + quantiles",500,0.910941475826972,3,"NonInvasiveFetalECGThorax2","svm"
"quantiles",101,0.881933842239186,4,"NonInvasiveFetalECGThorax2","svm"
"FFT coefficients",399,0.901272264631043,4,"NonInvasiveFetalECGThorax2","svm"
"FFT + quantiles",500,0.919592875318066,4,"NonInvasiveFetalECGThorax2","svm"
"quantiles",101,0.882442748091603,5,"NonInvasiveFetalECGThorax2","svm"
"FFT coefficients",399,0.905343511450382,5,"NonInvasiveFetalECGThorax2","svm"
"FFT + quantiles",500,0.926208651399491,5,"NonInvasiveFetalECGThorax2","svm"
"quantiles",101,0.866157760814249,6,"NonInvasiveFetalECGThorax2","svm"
"FFT coefficients",399,0.90381679389313,6,"NonInvasiveFetalECGThorax2","svm"
"FFT + quantiles",500,0.920610687022901,6,"NonInvasiveFetalECGThorax2","svm"
"quantiles",101,0.884478371501272,7,"NonInvasiveFetalECGThorax2","svm"
"FFT coefficients",399,0.908396946564885,7,"NonInvasiveFetalECGThorax2","svm"
"FFT + quantiles",500,0.918575063613232,7,"NonInvasiveFetalECGThorax2","svm"
"quantiles",101,0.867684478371501,8,"NonInvasiveFetalECGThorax2","svm"
"FFT coefficients",399,0.904325699745547,8,"NonInvasiveFetalECGThorax2","svm"
"FFT + quantiles",500,0.919083969465649,8,"NonInvasiveFetalECGThorax2","svm"
"quantiles",101,0.878880407124682,9,"NonInvasiveFetalECGThorax2","svm"
"FFT coefficients",399,0.891094147582697,9,"NonInvasiveFetalECGThorax2","svm"
"FFT + quantiles",500,0.919592875318066,9,"NonInvasiveFetalECGThorax2","svm"
"quantiles",101,0.875826972010178,10,"NonInvasiveFetalECGThorax2","svm"
"FFT coefficients",399,0.903307888040712,10,"NonInvasiveFetalECGThorax2","svm"
"FFT + quantiles",500,0.921119592875318,10,"NonInvasiveFetalECGThorax2","svm"
"quantiles",101,0.877862595419847,11,"NonInvasiveFetalECGThorax2","svm"
