"feature_set","num_features","accuracy","resample","problem","classifier"
"quantiles",101,0.394666666666667,1,"ScreenType","svm"
"FFT coefficients",399,0.354666666666667,1,"ScreenType","svm"
"FFT + quantiles",500,0.381333333333333,1,"ScreenType","svm"
"quantiles",101,0.416,2,"ScreenType","svm"
"FFT coefficients",399,0.378666666666667,2,"ScreenType","svm"
"FFT + quantiles",500,0.397333333333333,2,"ScreenType","svm"
"quantiles",101,0.405333333333333,3,"ScreenType","svm"
"FFT coefficients",399,0.389333333333333,3,"ScreenType","svm"
"FFT + quantiles",500,0.389333333333333,3,"ScreenType","svm"
"quantiles",101,0.410666666666667,4,"ScreenType","svm"
"FFT coefficients",399,0.346666666666667,4,"ScreenType","svm"
"FFT + quantiles",500,0.378666666666667,4,"ScreenType","svm"
"quantiles",101,0.434666666666667,5,"ScreenType","svm"
"FFT coefficients",399,0.397333333333333,5,"ScreenType","svm"
"FFT + quantiles",500,0.397333333333333,5,"ScreenType","svm"
"quantiles",101,0.386666666666667,6,"ScreenType","svm"
"FFT coefficients",399,0.357333333333333,6,"ScreenType","svm"
"FFT + quantiles",500,0.426666666666667,6,"ScreenType","svm"
"quantiles",101,0.36,7,"ScreenType","svm"
"FFT coefficients",399,0.402666666666667,7,"ScreenType","svm"
"FFT + quantiles",500,0.421333333333333,7,"ScreenType","svm"
"quantiles",101,0.424,8,"ScreenType","svm"
"FFT coefficients",399,0.402666666666667,8,"ScreenType","svm"
"FFT + quantiles",500,0.4,8,"ScreenType","svm"
"quantiles",101,0.384,9,"ScreenType","svm"
"FFT coefficients",399,0.354666666666667,9,"ScreenType","svm"
"FFT + quantiles",500,0.416,9,"ScreenType","svm"
"quantiles",101,0.413333333333333,10,"ScreenType","svm"
"FFT coefficients",399,0.424,10,"ScreenType","svm"
"FFT + quantiles",500,0.434666666666667,10,"ScreenType","svm"
"quantiles",101,0.373333333333333,11,"ScreenType","svm"
"FFT coefficients",399,0.362666666666667,11,"ScreenType","svm"
"FFT + quantiles",500,0.445333333333333,11,"ScreenType","svm"
"quantiles",101,0.352,12,"ScreenType","svm"
"FFT coefficients",399,0.298666666666667,12,"ScreenType","svm"
"FFT + quantiles",500,0.368,12,"ScreenType","svm"
"quantiles",101,0.410666666666667,13,"ScreenType","svm"
"FFT coefficients",399,0.381333333333333,13,"ScreenType","svm"
"FFT + quantiles",500,0.416,13,"ScreenType","svm"
"quantiles",101,0.408,14,"ScreenType","svm"
"FFT coefficients",399,0.373333333333333,14,"ScreenType","svm"
"FFT + quantiles",500,0.421333333333333,14,"ScreenType","svm"
"quantiles",101,0.384,15,"ScreenType","svm"
"FFT coefficients",399,0.365333333333333,15,"ScreenType","svm"
"FFT + quantiles",500,0.424,15,"ScreenType","svm"
"quantiles",101,0.410666666666667,16,"ScreenType","svm"
"FFT coefficients",399,0.376,16,"ScreenType","svm"
"FFT + quantiles",500,0.410666666666667,16,"ScreenType","svm"
"quantiles",101,0.413333333333333,17,"ScreenType","svm"
"FFT coefficients",399,0.376,17,"ScreenType","svm"
"FFT + quantiles",500,0.4,17,"ScreenType","svm"
"quantiles",101,0.413333333333333,18,"ScreenType","svm"
"FFT coefficients",399,0.368,18,"ScreenType","svm"
"FFT + quantiles",500,0.418666666666667,18,"ScreenType","svm"
"quantiles",101,0.421333333333333,19,"ScreenType","svm"
"FFT coefficients",399,0.394666666666667,19,"ScreenType","svm"
"FFT + quantiles",500,0.389333333333333,19,"ScreenType","svm"
"quantiles",101,0.392,20,"ScreenType","svm"
"FFT coefficients",399,0.365333333333333,20,"ScreenType","svm"
"FFT + quantiles",500,0.405333333333333,20,"ScreenType","svm"
"quantiles",101,0.376,21,"ScreenType","svm"
"FFT coefficients",399,0.373333333333333,21,"ScreenType","svm"
"FFT + quantiles",500,0.386666666666667,21,"ScreenType","svm"
"quantiles",101,0.392,22,"ScreenType","svm"
"FFT coefficients",399,0.357333333333333,22,"ScreenType","svm"
"FFT + quantiles",500,0.378666666666667,22,"ScreenType","svm"
"quantiles",101,0.386666666666667,23,"ScreenType","svm"
"FFT coefficients",399,0.370666666666667,23,"ScreenType","svm"
"FFT + quantiles",500,0.426666666666667,23,"ScreenType","svm"
"quantiles",101,0.410666666666667,24,"ScreenType","svm"
"FFT coefficients",399,0.370666666666667,24,"ScreenType","svm"
"FFT + quantiles",500,0.389333333333333,24,"ScreenType","svm"
"quantiles",101,0.397333333333333,25,"ScreenType","svm"
"FFT coefficients",399,0.36,25,"ScreenType","svm"
"FFT + quantiles",500,0.416,25,"ScreenType","svm"
"quantiles",101,0.418666666666667,26,"ScreenType","svm"
"FFT coefficients",399,0.325333333333333,26,"ScreenType","svm"
"FFT + quantiles",500,0.376,26,"ScreenType","svm"
"quantiles",101,0.410666666666667,27,"ScreenType","svm"
"FFT coefficients",399,0.36,27,"ScreenType","svm"
"FFT + quantiles",500,0.378666666666667,27,"ScreenType","svm"
"quantiles",101,0.386666666666667,28,"ScreenType","svm"
"FFT coefficients",399,0.365333333333333,28,"ScreenType","svm"
"FFT + quantiles",500,0.408,28,"ScreenType","svm"
"quantiles",101,0.4,29,"ScreenType","svm"
"FFT coefficients",399,0.397333333333333,29,"ScreenType","svm"
"FFT + quantiles",500,0.389333333333333,29,"ScreenType","svm"
"quantiles",101,0.397333333333333,30,"ScreenType","svm"
"FFT coefficients",399,0.370666666666667,30,"ScreenType","svm"
"FFT + quantiles",500,0.397333333333333,30,"ScreenType","svm"
