"feature_set","num_features","accuracy","resample","problem","classifier"
"quantiles",101,0.483333333333333,1,"ShapeletSim","svm"
"FFT coefficients",399,0.694444444444444,1,"ShapeletSim","svm"
"FFT + quantiles",500,0.688888888888889,1,"ShapeletSim","svm"
"quantiles",101,0.488888888888889,2,"ShapeletSim","svm"
"FFT coefficients",399,0.622222222222222,2,"ShapeletSim","svm"
"FFT + quantiles",500,0.572222222222222,2,"ShapeletSim","svm"
"quantiles",101,0.511111111111111,3,"ShapeletSim","svm"
"FFT coefficients",399,0.644444444444444,3,"ShapeletSim","svm"
"FFT + quantiles",500,0.577777777777778,3,"ShapeletSim","svm"
"quantiles",101,0.494444444444444,4,"ShapeletSim","svm"
"FFT coefficients",399,0.644444444444444,4,"ShapeletSim","svm"
"FFT + quantiles",500,0.633333333333333,4,"ShapeletSim","svm"
"quantiles",101,0.55,5,"ShapeletSim","svm"
"FFT coefficients",399,0.633333333333333,5,"ShapeletSim","svm"
"FFT + quantiles",500,0.611111111111111,5,"ShapeletSim","svm"
"quantiles",101,0.472222222222222,6,"ShapeletSim","svm"
"FFT coefficients",399,0.622222222222222,6,"ShapeletSim","svm"
"FFT + quantiles",500,0.572222222222222,6,"ShapeletSim","svm"
"quantiles",101,0.455555555555556,7,"ShapeletSim","svm"
"FFT coefficients",399,0.611111111111111,7,"ShapeletSim","svm"
"FFT + quantiles",500,0.638888888888889,7,"ShapeletSim","svm"
"quantiles",101,0.522222222222222,8,"ShapeletSim","svm"
"FFT coefficients",399,0.655555555555556,8,"ShapeletSim","svm"
"FFT + quantiles",500,0.638888888888889,8,"ShapeletSim","svm"
"quantiles",101,0.522222222222222,9,"ShapeletSim","svm"
"FFT coefficients",399,0.716666666666667,9,"ShapeletSim","svm"
"FFT + quantiles",500,0.655555555555556,9,"ShapeletSim","svm"
"quantiles",101,0.494444444444444,10,"ShapeletSim","svm"
"FFT coefficients",399,0.622222222222222,10,"ShapeletSim","svm"
"FFT + quantiles",500,0.622222222222222,10,"ShapeletSim","svm"
"quantiles",101,0.466666666666667,11,"ShapeletSim","svm"
"FFT coefficients",399,0.627777777777778,11,"ShapeletSim","svm"
"FFT + quantiles",500,0.55,11,"ShapeletSim","svm"
"quantiles",101,0.516666666666667,12,"ShapeletSim","svm"
"FFT coefficients",399,0.6,12,"ShapeletSim","svm"
"FFT + quantiles",500,0.611111111111111,12,"ShapeletSim","svm"
"quantiles",101,0.511111111111111,13,"ShapeletSim","svm"
"FFT coefficients",399,0.677777777777778,13,"ShapeletSim","svm"
"FFT + quantiles",500,0.644444444444444,13,"ShapeletSim","svm"
"quantiles",101,0.55,14,"ShapeletSim","svm"
"FFT coefficients",399,0.672222222222222,14,"ShapeletSim","svm"
"FFT + quantiles",500,0.622222222222222,14,"ShapeletSim","svm"
"quantiles",101,0.511111111111111,15,"ShapeletSim","svm"
"FFT coefficients",399,0.688888888888889,15,"ShapeletSim","svm"
"FFT + quantiles",500,0.644444444444444,15,"ShapeletSim","svm"
"quantiles",101,0.477777777777778,16,"ShapeletSim","svm"
"FFT coefficients",399,0.744444444444444,16,"ShapeletSim","svm"
"FFT + quantiles",500,0.622222222222222,16,"ShapeletSim","svm"
"quantiles",101,0.455555555555556,17,"ShapeletSim","svm"
"FFT coefficients",399,0.694444444444444,17,"ShapeletSim","svm"
"FFT + quantiles",500,0.611111111111111,17,"ShapeletSim","svm"
"quantiles",101,0.505555555555556,18,"ShapeletSim","svm"
"FFT coefficients",399,0.627777777777778,18,"ShapeletSim","svm"
"FFT + quantiles",500,0.616666666666667,18,"ShapeletSim","svm"
"quantiles",101,0.527777777777778,19,"ShapeletSim","svm"
"FFT coefficients",399,0.727777777777778,19,"ShapeletSim","svm"
"FFT + quantiles",500,0.727777777777778,19,"ShapeletSim","svm"
"quantiles",101,0.477777777777778,20,"ShapeletSim","svm"
"FFT coefficients",399,0.583333333333333,20,"ShapeletSim","svm"
"FFT + quantiles",500,0.566666666666667,20,"ShapeletSim","svm"
"quantiles",101,0.516666666666667,21,"ShapeletSim","svm"
"FFT coefficients",399,0.622222222222222,21,"ShapeletSim","svm"
"FFT + quantiles",500,0.583333333333333,21,"ShapeletSim","svm"
"quantiles",101,0.511111111111111,22,"ShapeletSim","svm"
"FFT coefficients",399,0.6,22,"ShapeletSim","svm"
"FFT + quantiles",500,0.6,22,"ShapeletSim","svm"
"quantiles",101,0.511111111111111,23,"ShapeletSim","svm"
"FFT coefficients",399,0.666666666666667,23,"ShapeletSim","svm"
"FFT + quantiles",500,0.594444444444444,23,"ShapeletSim","svm"
"quantiles",101,0.516666666666667,24,"ShapeletSim","svm"
"FFT coefficients",399,0.672222222222222,24,"ShapeletSim","svm"
"FFT + quantiles",500,0.633333333333333,24,"ShapeletSim","svm"
"quantiles",101,0.466666666666667,25,"ShapeletSim","svm"
"FFT coefficients",399,0.688888888888889,25,"ShapeletSim","svm"
"FFT + quantiles",500,0.666666666666667,25,"ShapeletSim","svm"
"quantiles",101,0.477777777777778,26,"ShapeletSim","svm"
"FFT coefficients",399,0.677777777777778,26,"ShapeletSim","svm"
"FFT + quantiles",500,0.516666666666667,26,"ShapeletSim","svm"
"quantiles",101,0.5,27,"ShapeletSim","svm"
"FFT coefficients",399,0.644444444444444,27,"ShapeletSim","svm"
"FFT + quantiles",500,0.6,27,"ShapeletSim","svm"
"quantiles",101,0.5,28,"ShapeletSim","svm"
"FFT coefficients",399,0.672222222222222,28,"ShapeletSim","svm"
"FFT + quantiles",500,0.55,28,"ShapeletSim","svm"
"quantiles",101,0.511111111111111,29,"ShapeletSim","svm"
"FFT coefficients",399,0.644444444444444,29,"ShapeletSim","svm"
"FFT + quantiles",500,0.638888888888889,29,"ShapeletSim","svm"
"quantiles",101,0.538888888888889,30,"ShapeletSim","svm"
"FFT coefficients",399,0.638888888888889,30,"ShapeletSim","svm"
