"feature_set","num_features","accuracy","resample","problem","classifier"
"quantiles",101,0.686335403726708,1,"SharePriceIncrease","svm"
"FFT coefficients",122,0.667701863354037,1,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.650103519668737,1,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,2,"SharePriceIncrease","svm"
"FFT coefficients",122,0.640786749482402,2,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.646997929606625,2,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,3,"SharePriceIncrease","svm"
"FFT coefficients",122,0.648033126293996,3,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.634575569358178,3,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,4,"SharePriceIncrease","svm"
"FFT coefficients",122,0.643892339544513,4,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.633540372670807,4,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,5,"SharePriceIncrease","svm"
"FFT coefficients",122,0.657349896480331,5,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.642857142857143,5,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,6,"SharePriceIncrease","svm"
"FFT coefficients",122,0.662525879917184,6,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.640786749482402,6,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,7,"SharePriceIncrease","svm"
"FFT coefficients",122,0.632505175983437,7,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.633540372670807,7,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,8,"SharePriceIncrease","svm"
"FFT coefficients",122,0.629399585921325,8,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.618012422360248,8,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,9,"SharePriceIncrease","svm"
"FFT coefficients",122,0.658385093167702,9,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.644927536231884,9,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,10,"SharePriceIncrease","svm"
"FFT coefficients",122,0.644927536231884,10,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.650103519668737,10,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,11,"SharePriceIncrease","svm"
"FFT coefficients",122,0.646997929606625,11,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.643892339544513,11,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,12,"SharePriceIncrease","svm"
"FFT coefficients",122,0.645962732919255,12,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.663561076604555,12,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,13,"SharePriceIncrease","svm"
"FFT coefficients",122,0.652173913043478,13,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.63871635610766,13,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,14,"SharePriceIncrease","svm"
"FFT coefficients",122,0.653209109730849,14,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.629399585921325,14,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,15,"SharePriceIncrease","svm"
"FFT coefficients",122,0.625258799171843,15,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.629399585921325,15,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,16,"SharePriceIncrease","svm"
"FFT coefficients",122,0.677018633540373,16,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.650103519668737,16,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,17,"SharePriceIncrease","svm"
"FFT coefficients",122,0.652173913043478,17,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.633540372670807,17,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,18,"SharePriceIncrease","svm"
"FFT coefficients",122,0.649068322981366,18,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.624223602484472,18,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,19,"SharePriceIncrease","svm"
"FFT coefficients",122,0.665631469979296,19,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.650103519668737,19,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,20,"SharePriceIncrease","svm"
"FFT coefficients",122,0.657349896480331,20,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.667701863354037,20,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,21,"SharePriceIncrease","svm"
"FFT coefficients",122,0.642857142857143,21,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.613871635610766,21,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,22,"SharePriceIncrease","svm"
"FFT coefficients",122,0.641821946169772,22,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.624223602484472,22,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,23,"SharePriceIncrease","svm"
"FFT coefficients",122,0.656314699792961,23,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.63871635610766,23,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,24,"SharePriceIncrease","svm"
"FFT coefficients",122,0.646997929606625,24,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.640786749482402,24,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,25,"SharePriceIncrease","svm"
"FFT coefficients",122,0.632505175983437,25,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.641821946169772,25,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,26,"SharePriceIncrease","svm"
"FFT coefficients",122,0.609730848861284,26,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.608695652173913,26,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,27,"SharePriceIncrease","svm"
"FFT coefficients",122,0.652173913043478,27,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.63768115942029,27,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,28,"SharePriceIncrease","svm"
"FFT coefficients",122,0.669772256728778,28,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.636645962732919,28,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,29,"SharePriceIncrease","svm"
"FFT coefficients",122,0.610766045548654,29,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.612836438923395,29,"SharePriceIncrease","svm"
"quantiles",101,0.686335403726708,30,"SharePriceIncrease","svm"
"FFT coefficients",122,0.653209109730849,30,"SharePriceIncrease","svm"
"FFT + quantiles",223,0.642857142857143,30,"SharePriceIncrease","svm"
