"feature_set","num_features","accuracy","resample","problem","classifier"
"quantiles",101,0.97,1,"Trace","svm"
"FFT coefficients",399,0.76,1,"Trace","svm"
"FFT + quantiles",500,0.85,1,"Trace","svm"
"quantiles",101,1,2,"Trace","svm"
"FFT coefficients",399,0.82,2,"Trace","svm"
"FFT + quantiles",500,0.94,2,"Trace","svm"
"quantiles",101,1,3,"Trace","svm"
"FFT coefficients",399,0.78,3,"Trace","svm"
"FFT + quantiles",500,0.94,3,"Trace","svm"
"quantiles",101,1,4,"Trace","svm"
"FFT coefficients",399,0.77,4,"Trace","svm"
"FFT + quantiles",500,0.9,4,"Trace","svm"
"quantiles",101,1,5,"Trace","svm"
"FFT coefficients",399,0.75,5,"Trace","svm"
"FFT + quantiles",500,0.86,5,"Trace","svm"
"quantiles",101,1,6,"Trace","svm"
"FFT coefficients",399,0.77,6,"Trace","svm"
"FFT + quantiles",500,0.86,6,"Trace","svm"
"quantiles",101,0.99,7,"Trace","svm"
"FFT coefficients",399,0.78,7,"Trace","svm"
"FFT + quantiles",500,0.9,7,"Trace","svm"
"quantiles",101,1,8,"Trace","svm"
"FFT coefficients",399,0.74,8,"Trace","svm"
"FFT + quantiles",500,0.9,8,"Trace","svm"
"quantiles",101,0.99,9,"Trace","svm"
"FFT coefficients",399,0.78,9,"Trace","svm"
"FFT + quantiles",500,0.88,9,"Trace","svm"
"quantiles",101,1,10,"Trace","svm"
"FFT coefficients",399,0.78,10,"Trace","svm"
"FFT + quantiles",500,0.89,10,"Trace","svm"
"quantiles",101,1,11,"Trace","svm"
"FFT coefficients",399,0.77,11,"Trace","svm"
"FFT + quantiles",500,0.92,11,"Trace","svm"
"quantiles",101,1,12,"Trace","svm"
"FFT coefficients",399,0.77,12,"Trace","svm"
"FFT + quantiles",500,0.92,12,"Trace","svm"
"quantiles",101,0.98,13,"Trace","svm"
"FFT coefficients",399,0.76,13,"Trace","svm"
"FFT + quantiles",500,0.92,13,"Trace","svm"
"quantiles",101,1,14,"Trace","svm"
"FFT coefficients",399,0.68,14,"Trace","svm"
"FFT + quantiles",500,0.82,14,"Trace","svm"
"quantiles",101,0.98,15,"Trace","svm"
"FFT coefficients",399,0.74,15,"Trace","svm"
"FFT + quantiles",500,0.93,15,"Trace","svm"
"quantiles",101,1,16,"Trace","svm"
"FFT coefficients",399,0.78,16,"Trace","svm"
"FFT + quantiles",500,0.91,16,"Trace","svm"
"quantiles",101,1,17,"Trace","svm"
"FFT coefficients",399,0.66,17,"Trace","svm"
"FFT + quantiles",500,0.81,17,"Trace","svm"
"quantiles",101,1,18,"Trace","svm"
"FFT coefficients",399,0.73,18,"Trace","svm"
"FFT + quantiles",500,0.86,18,"Trace","svm"
"quantiles",101,1,19,"Trace","svm"
"FFT coefficients",399,0.77,19,"Trace","svm"
"FFT + quantiles",500,0.91,19,"Trace","svm"
"quantiles",101,1,20,"Trace","svm"
"FFT coefficients",399,0.78,20,"Trace","svm"
"FFT + quantiles",500,0.95,20,"Trace","svm"
"quantiles",101,0.99,21,"Trace","svm"
"FFT coefficients",399,0.75,21,"Trace","svm"
"FFT + quantiles",500,0.94,21,"Trace","svm"
"quantiles",101,0.99,22,"Trace","svm"
"FFT coefficients",399,0.78,22,"Trace","svm"
"FFT + quantiles",500,0.95,22,"Trace","svm"
"quantiles",101,1,23,"Trace","svm"
"FFT coefficients",399,0.79,23,"Trace","svm"
"FFT + quantiles",500,0.92,23,"Trace","svm"
"quantiles",101,1,24,"Trace","svm"
"FFT coefficients",399,0.8,24,"Trace","svm"
"FFT + quantiles",500,0.92,24,"Trace","svm"
"quantiles",101,1,25,"Trace","svm"
"FFT coefficients",399,0.81,25,"Trace","svm"
"FFT + quantiles",500,0.94,25,"Trace","svm"
"quantiles",101,1,26,"Trace","svm"
"FFT coefficients",399,0.78,26,"Trace","svm"
"FFT + quantiles",500,0.91,26,"Trace","svm"
"quantiles",101,1,27,"Trace","svm"
"FFT coefficients",399,0.8,27,"Trace","svm"
"FFT + quantiles",500,0.94,27,"Trace","svm"
"quantiles",101,0.98,28,"Trace","svm"
"FFT coefficients",399,0.79,28,"Trace","svm"
"FFT + quantiles",500,0.95,28,"Trace","svm"
"quantiles",101,1,29,"Trace","svm"
"FFT coefficients",399,0.75,29,"Trace","svm"
"FFT + quantiles",500,0.82,29,"Trace","svm"
"quantiles",101,0.99,30,"Trace","svm"
"FFT coefficients",399,0.79,30,"Trace","svm"
"FFT + quantiles",500,0.93,30,"Trace","svm"
