"feature_set","num_features","accuracy","resample","problem","classifier"
"quantiles",101,0.875,1,"UMD","svm"
"FFT coefficients",302,0.729166666666667,1,"UMD","svm"
"FFT + quantiles",403,0.861111111111111,1,"UMD","svm"
"quantiles",101,0.875,2,"UMD","svm"
"FFT coefficients",302,0.819444444444444,2,"UMD","svm"
"FFT + quantiles",403,0.944444444444444,2,"UMD","svm"
"quantiles",101,0.895833333333333,3,"UMD","svm"
"FFT coefficients",302,0.854166666666667,3,"UMD","svm"
"FFT + quantiles",403,0.909722222222222,3,"UMD","svm"
"quantiles",101,0.881944444444444,4,"UMD","svm"
"FFT coefficients",302,0.715277777777778,4,"UMD","svm"
"FFT + quantiles",403,0.888888888888889,4,"UMD","svm"
"quantiles",101,0.958333333333333,5,"UMD","svm"
"FFT coefficients",302,0.763888888888889,5,"UMD","svm"
"FFT + quantiles",403,0.923611111111111,5,"UMD","svm"
"quantiles",101,0.916666666666667,6,"UMD","svm"
"FFT coefficients",302,0.736111111111111,6,"UMD","svm"
"FFT + quantiles",403,0.895833333333333,6,"UMD","svm"
"quantiles",101,0.861111111111111,7,"UMD","svm"
"FFT coefficients",302,0.770833333333333,7,"UMD","svm"
"FFT + quantiles",403,0.9375,7,"UMD","svm"
"quantiles",101,0.888888888888889,8,"UMD","svm"
"FFT coefficients",302,0.666666666666667,8,"UMD","svm"
"FFT + quantiles",403,0.833333333333333,8,"UMD","svm"
"quantiles",101,0.881944444444444,9,"UMD","svm"
"FFT coefficients",302,0.777777777777778,9,"UMD","svm"
"FFT + quantiles",403,0.847222222222222,9,"UMD","svm"
"quantiles",101,0.916666666666667,10,"UMD","svm"
"FFT coefficients",302,0.708333333333333,10,"UMD","svm"
"FFT + quantiles",403,0.847222222222222,10,"UMD","svm"
"quantiles",101,0.930555555555556,11,"UMD","svm"
"FFT coefficients",302,0.819444444444444,11,"UMD","svm"
"FFT + quantiles",403,0.930555555555556,11,"UMD","svm"
"quantiles",101,0.881944444444444,12,"UMD","svm"
"FFT coefficients",302,0.833333333333333,12,"UMD","svm"
"FFT + quantiles",403,0.930555555555556,12,"UMD","svm"
"quantiles",101,0.868055555555556,13,"UMD","svm"
"FFT coefficients",302,0.743055555555556,13,"UMD","svm"
"FFT + quantiles",403,0.868055555555556,13,"UMD","svm"
"quantiles",101,0.916666666666667,14,"UMD","svm"
"FFT coefficients",302,0.798611111111111,14,"UMD","svm"
"FFT + quantiles",403,0.875,14,"UMD","svm"
"quantiles",101,0.916666666666667,15,"UMD","svm"
"FFT coefficients",302,0.736111111111111,15,"UMD","svm"
"FFT + quantiles",403,0.840277777777778,15,"UMD","svm"
"quantiles",101,0.819444444444444,16,"UMD","svm"
"FFT coefficients",302,0.736111111111111,16,"UMD","svm"
"FFT + quantiles",403,0.888888888888889,16,"UMD","svm"
"quantiles",101,0.888888888888889,17,"UMD","svm"
"FFT coefficients",302,0.756944444444444,17,"UMD","svm"
"FFT + quantiles",403,0.826388888888889,17,"UMD","svm"
"quantiles",101,0.861111111111111,18,"UMD","svm"
"FFT coefficients",302,0.8125,18,"UMD","svm"
"FFT + quantiles",403,0.895833333333333,18,"UMD","svm"
"quantiles",101,0.902777777777778,19,"UMD","svm"
"FFT coefficients",302,0.819444444444444,19,"UMD","svm"
"FFT + quantiles",403,0.888888888888889,19,"UMD","svm"
"quantiles",101,0.881944444444444,20,"UMD","svm"
"FFT coefficients",302,0.729166666666667,20,"UMD","svm"
"FFT + quantiles",403,0.895833333333333,20,"UMD","svm"
"quantiles",101,0.895833333333333,21,"UMD","svm"
"FFT coefficients",302,0.826388888888889,21,"UMD","svm"
"FFT + quantiles",403,0.861111111111111,21,"UMD","svm"
"quantiles",101,0.902777777777778,22,"UMD","svm"
"FFT coefficients",302,0.736111111111111,22,"UMD","svm"
"FFT + quantiles",403,0.895833333333333,22,"UMD","svm"
"quantiles",101,0.916666666666667,23,"UMD","svm"
"FFT coefficients",302,0.743055555555556,23,"UMD","svm"
"FFT + quantiles",403,0.868055555555556,23,"UMD","svm"
"quantiles",101,0.791666666666667,24,"UMD","svm"
"FFT coefficients",302,0.6875,24,"UMD","svm"
"FFT + quantiles",403,0.888888888888889,24,"UMD","svm"
"quantiles",101,0.826388888888889,25,"UMD","svm"
"FFT coefficients",302,0.784722222222222,25,"UMD","svm"
"FFT + quantiles",403,0.847222222222222,25,"UMD","svm"
"quantiles",101,0.895833333333333,26,"UMD","svm"
"FFT coefficients",302,0.729166666666667,26,"UMD","svm"
"FFT + quantiles",403,0.777777777777778,26,"UMD","svm"
"quantiles",101,0.909722222222222,27,"UMD","svm"
"FFT coefficients",302,0.75,27,"UMD","svm"
"FFT + quantiles",403,0.895833333333333,27,"UMD","svm"
"quantiles",101,0.881944444444444,28,"UMD","svm"
"FFT coefficients",302,0.777777777777778,28,"UMD","svm"
"FFT + quantiles",403,0.923611111111111,28,"UMD","svm"
"quantiles",101,0.805555555555556,29,"UMD","svm"
"FFT coefficients",302,0.729166666666667,29,"UMD","svm"
"FFT + quantiles",403,0.826388888888889,29,"UMD","svm"
"quantiles",101,0.895833333333333,30,"UMD","svm"
"FFT coefficients",302,0.75,30,"UMD","svm"
"FFT + quantiles",403,0.854166666666667,30,"UMD","svm"
