"feature_set","num_features","accuracy","resample","problem","classifier"
"quantiles",101,0.987183646982479,1,"Wafer","svm"
"FFT coefficients",306,0.991888384166126,1,"Wafer","svm"
"FFT + quantiles",407,0.992861778066191,1,"Wafer","svm"
"quantiles",101,0.987994808565866,2,"Wafer","svm"
"FFT coefficients",306,0.992212848799481,2,"Wafer","svm"
"FFT + quantiles",407,0.993510707332901,2,"Wafer","svm"
"quantiles",101,0.986372485399092,3,"Wafer","svm"
"FFT coefficients",306,0.993024010382868,3,"Wafer","svm"
"FFT + quantiles",407,0.994808565866321,3,"Wafer","svm"
"quantiles",101,0.984587929915639,4,"Wafer","svm"
"FFT coefficients",306,0.993835171966256,4,"Wafer","svm"
"FFT + quantiles",407,0.99610642439974,4,"Wafer","svm"
"quantiles",101,0.988319273199221,5,"Wafer","svm"
"FFT coefficients",306,0.992537313432836,5,"Wafer","svm"
"FFT + quantiles",407,0.992375081116158,5,"Wafer","svm"
"quantiles",101,0.984263465282284,6,"Wafer","svm"
"FFT coefficients",306,0.993835171966256,6,"Wafer","svm"
"FFT + quantiles",407,0.996917585983128,6,"Wafer","svm"
"quantiles",101,0.987183646982479,7,"Wafer","svm"
"FFT coefficients",306,0.994321868916288,7,"Wafer","svm"
"FFT + quantiles",407,0.99610642439974,7,"Wafer","svm"
"quantiles",101,0.987183646982479,8,"Wafer","svm"
"FFT coefficients",306,0.993835171966256,8,"Wafer","svm"
"FFT + quantiles",407,0.992861778066191,8,"Wafer","svm"
"quantiles",101,0.984101232965607,9,"Wafer","svm"
"FFT coefficients",306,0.995133030499675,9,"Wafer","svm"
"FFT + quantiles",407,0.996268656716418,9,"Wafer","svm"
"quantiles",101,0.988805970149254,10,"Wafer","svm"
"FFT coefficients",306,0.995619727449708,10,"Wafer","svm"
"FFT + quantiles",407,0.99675535366645,10,"Wafer","svm"
"quantiles",101,0.988157040882544,11,"Wafer","svm"
"FFT coefficients",306,0.994321868916288,11,"Wafer","svm"
"FFT + quantiles",407,0.995295262816353,11,"Wafer","svm"
"quantiles",101,0.989130434782609,12,"Wafer","svm"
"FFT coefficients",306,0.991888384166126,12,"Wafer","svm"
"FFT + quantiles",407,0.994484101232966,12,"Wafer","svm"
"quantiles",101,0.983939000648929,13,"Wafer","svm"
"FFT coefficients",306,0.993510707332901,13,"Wafer","svm"
"FFT + quantiles",407,0.995295262816353,13,"Wafer","svm"
"quantiles",101,0.989454899415964,14,"Wafer","svm"
"FFT coefficients",306,0.994970798182998,14,"Wafer","svm"
"FFT + quantiles",407,0.99610642439974,14,"Wafer","svm"
"quantiles",101,0.985885788449059,15,"Wafer","svm"
"FFT coefficients",306,0.994159636599611,15,"Wafer","svm"
"FFT + quantiles",407,0.994646333549643,15,"Wafer","svm"
"quantiles",101,0.987508111615834,16,"Wafer","svm"
"FFT coefficients",306,0.993672939649578,16,"Wafer","svm"
"FFT + quantiles",407,0.994321868916288,16,"Wafer","svm"
"quantiles",101,0.987832576249189,17,"Wafer","svm"
"FFT coefficients",306,0.994159636599611,17,"Wafer","svm"
"FFT + quantiles",407,0.993835171966256,17,"Wafer","svm"
"quantiles",101,0.987183646982479,18,"Wafer","svm"
"FFT coefficients",306,0.993348475016223,18,"Wafer","svm"
"FFT + quantiles",407,0.995133030499675,18,"Wafer","svm"
"quantiles",101,0.987183646982479,19,"Wafer","svm"
"FFT coefficients",306,0.993997404282933,19,"Wafer","svm"
"FFT + quantiles",407,0.994484101232966,19,"Wafer","svm"
"quantiles",101,0.985723556132382,20,"Wafer","svm"
"FFT coefficients",306,0.993672939649578,20,"Wafer","svm"
"FFT + quantiles",407,0.995619727449708,20,"Wafer","svm"
"quantiles",101,0.983290071382219,21,"Wafer","svm"
"FFT coefficients",306,0.994484101232966,21,"Wafer","svm"
"FFT + quantiles",407,0.996430889033095,21,"Wafer","svm"
"quantiles",101,0.989454899415964,22,"Wafer","svm"
"FFT coefficients",306,0.992699545749513,22,"Wafer","svm"
"FFT + quantiles",407,0.994970798182998,22,"Wafer","svm"
"quantiles",101,0.989454899415964,23,"Wafer","svm"
"FFT coefficients",306,0.993997404282933,23,"Wafer","svm"
"FFT + quantiles",407,0.995944192083063,23,"Wafer","svm"
"quantiles",101,0.988481505515899,24,"Wafer","svm"
"FFT coefficients",306,0.992212848799481,24,"Wafer","svm"
"FFT + quantiles",407,0.992212848799481,24,"Wafer","svm"
"quantiles",101,0.987670343932511,25,"Wafer","svm"
"FFT coefficients",306,0.992861778066191,25,"Wafer","svm"
"FFT + quantiles",407,0.993510707332901,25,"Wafer","svm"
"quantiles",101,0.985561323815704,26,"Wafer","svm"
"FFT coefficients",306,0.994646333549643,26,"Wafer","svm"
"FFT + quantiles",407,0.994970798182998,26,"Wafer","svm"
"quantiles",101,0.985885788449059,27,"Wafer","svm"
"FFT coefficients",306,0.995133030499675,27,"Wafer","svm"
"FFT + quantiles",407,0.995133030499675,27,"Wafer","svm"
"quantiles",101,0.989617131732641,28,"Wafer","svm"
"FFT coefficients",306,0.992861778066191,28,"Wafer","svm"
"FFT + quantiles",407,0.994808565866321,28,"Wafer","svm"
"quantiles",101,0.987021414665801,29,"Wafer","svm"
"FFT coefficients",306,0.991726151849448,29,"Wafer","svm"
"FFT + quantiles",407,0.993186242699546,29,"Wafer","svm"
"quantiles",101,0.987508111615834,30,"Wafer","svm"
"FFT coefficients",306,0.993835171966256,30,"Wafer","svm"
"FFT + quantiles",407,0.994646333549643,30,"Wafer","svm"
