"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",21,0.78,1,"ACSF1","glmnet"
"feasts",38,0.7,1,"ACSF1","glmnet"
"tsfeatures",56,0.78,1,"ACSF1","glmnet"
"TSFEL",143,0.64,1,"ACSF1","glmnet"
"Kats",36,0.66,1,"ACSF1","glmnet"
"tsfresh",741,0.73,1,"ACSF1","glmnet"
"timegp",6,0.63,1,"ACSF1","glmnet"
"catch22",21,0.7,2,"ACSF1","glmnet"
"feasts",38,0.68,2,"ACSF1","glmnet"
"tsfeatures",56,0.76,2,"ACSF1","glmnet"
"TSFEL",145,0.61,2,"ACSF1","glmnet"
"Kats",36,0.69,2,"ACSF1","glmnet"
"tsfresh",741,0.71,2,"ACSF1","glmnet"
"timegp",6,0.59,2,"ACSF1","glmnet"
"catch22",21,0.78,3,"ACSF1","glmnet"
"feasts",38,0.64,3,"ACSF1","glmnet"
"tsfeatures",56,0.67,3,"ACSF1","glmnet"
"TSFEL",145,0.62,3,"ACSF1","glmnet"
"Kats",36,0.67,3,"ACSF1","glmnet"
"tsfresh",741,0.76,3,"ACSF1","glmnet"
"timegp",6,0.63,3,"ACSF1","glmnet"
"catch22",21,0.7,4,"ACSF1","glmnet"
"feasts",38,0.6,4,"ACSF1","glmnet"
"tsfeatures",56,0.68,4,"ACSF1","glmnet"
"TSFEL",143,0.67,4,"ACSF1","glmnet"
"Kats",36,0.59,4,"ACSF1","glmnet"
"tsfresh",741,0.68,4,"ACSF1","glmnet"
"timegp",6,0.59,4,"ACSF1","glmnet"
"catch22",20,0.74,5,"ACSF1","glmnet"
"feasts",38,0.6,5,"ACSF1","glmnet"
"tsfeatures",56,0.63,5,"ACSF1","glmnet"
"TSFEL",143,0.62,5,"ACSF1","glmnet"
"Kats",36,0.64,5,"ACSF1","glmnet"
"tsfresh",741,0.69,5,"ACSF1","glmnet"
"timegp",6,0.56,5,"ACSF1","glmnet"
"catch22",21,0.76,6,"ACSF1","glmnet"
"feasts",38,0.66,6,"ACSF1","glmnet"
"tsfeatures",56,0.67,6,"ACSF1","glmnet"
"TSFEL",145,0.57,6,"ACSF1","glmnet"
"Kats",36,0.68,6,"ACSF1","glmnet"
"tsfresh",740,0.75,6,"ACSF1","glmnet"
"timegp",6,0.64,6,"ACSF1","glmnet"
"catch22",21,0.75,7,"ACSF1","glmnet"
"feasts",38,0.64,7,"ACSF1","glmnet"
"tsfeatures",56,0.65,7,"ACSF1","glmnet"
"TSFEL",145,0.64,7,"ACSF1","glmnet"
"Kats",36,0.67,7,"ACSF1","glmnet"
"tsfresh",741,0.69,7,"ACSF1","glmnet"
"timegp",6,0.63,7,"ACSF1","glmnet"
"catch22",21,0.71,8,"ACSF1","glmnet"
"feasts",38,0.6,8,"ACSF1","glmnet"
"tsfeatures",56,0.62,8,"ACSF1","glmnet"
"TSFEL",145,0.6,8,"ACSF1","glmnet"
"Kats",36,0.62,8,"ACSF1","glmnet"
"tsfresh",741,0.71,8,"ACSF1","glmnet"
"timegp",6,0.61,8,"ACSF1","glmnet"
"catch22",21,0.74,9,"ACSF1","glmnet"
"feasts",38,0.68,9,"ACSF1","glmnet"
"tsfeatures",56,0.7,9,"ACSF1","glmnet"
"TSFEL",145,0.59,9,"ACSF1","glmnet"
"Kats",36,0.66,9,"ACSF1","glmnet"
"tsfresh",740,0.76,9,"ACSF1","glmnet"
"timegp",6,0.64,9,"ACSF1","glmnet"
"catch22",21,0.72,10,"ACSF1","glmnet"
"feasts",38,0.51,10,"ACSF1","glmnet"
"tsfeatures",56,0.6,10,"ACSF1","glmnet"
"TSFEL",143,0.64,10,"ACSF1","glmnet"
"Kats",36,0.64,10,"ACSF1","glmnet"
"tsfresh",741,0.72,10,"ACSF1","glmnet"
"timegp",6,0.56,10,"ACSF1","glmnet"
"catch22",21,0.71,11,"ACSF1","glmnet"
"feasts",38,0.58,11,"ACSF1","glmnet"
"tsfeatures",56,0.63,11,"ACSF1","glmnet"
"TSFEL",143,0.58,11,"ACSF1","glmnet"
