"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.0564102564102564,1,"CricketY","glmnet"
"feasts",37,0.0846153846153846,1,"CricketY","glmnet"
"tsfeatures",59,0.0564102564102564,1,"CricketY","glmnet"
"TSFEL",143,0.0717948717948718,1,"CricketY","glmnet"
"Kats",35,0.0692307692307692,1,"CricketY","glmnet"
"tsfresh",732,0.0564102564102564,1,"CricketY","glmnet"
"timegp",10,0.0641025641025641,1,"CricketY","glmnet"
"catch22",22,0.0615384615384615,2,"CricketY","glmnet"
"feasts",37,0.0666666666666667,2,"CricketY","glmnet"
"tsfeatures",59,0.0615384615384615,2,"CricketY","glmnet"
"TSFEL",143,0.0564102564102564,2,"CricketY","glmnet"
"Kats",35,0.0717948717948718,2,"CricketY","glmnet"
"tsfresh",732,0.0615384615384615,2,"CricketY","glmnet"
"timegp",10,0.0538461538461538,2,"CricketY","glmnet"
"catch22",22,0.0717948717948718,3,"CricketY","glmnet"
"feasts",38,0.0769230769230769,3,"CricketY","glmnet"
"tsfeatures",59,0.0692307692307692,3,"CricketY","glmnet"
"TSFEL",143,0.0743589743589744,3,"CricketY","glmnet"
"Kats",35,0.0846153846153846,3,"CricketY","glmnet"
"tsfresh",732,0.0538461538461538,3,"CricketY","glmnet"
"timegp",10,0.0666666666666667,3,"CricketY","glmnet"
"catch22",22,0.0615384615384615,4,"CricketY","glmnet"
"feasts",38,0.0666666666666667,4,"CricketY","glmnet"
"tsfeatures",59,0.0717948717948718,4,"CricketY","glmnet"
"TSFEL",143,0.0564102564102564,4,"CricketY","glmnet"
"Kats",35,0.0641025641025641,4,"CricketY","glmnet"
"tsfresh",733,0.0538461538461538,4,"CricketY","glmnet"
"timegp",10,0.0615384615384615,4,"CricketY","glmnet"
"catch22",22,0.0641025641025641,5,"CricketY","glmnet"
"feasts",38,0.0897435897435897,5,"CricketY","glmnet"
"tsfeatures",59,0.0743589743589744,5,"CricketY","glmnet"
"TSFEL",143,0.0692307692307692,5,"CricketY","glmnet"
"Kats",35,0.082051282051282,5,"CricketY","glmnet"
"tsfresh",732,0.0641025641025641,5,"CricketY","glmnet"
"timegp",10,0.041025641025641,5,"CricketY","glmnet"
"catch22",22,0.0615384615384615,6,"CricketY","glmnet"
"feasts",38,0.0923076923076923,6,"CricketY","glmnet"
"tsfeatures",59,0.0769230769230769,6,"CricketY","glmnet"
"TSFEL",143,0.0692307692307692,6,"CricketY","glmnet"
"Kats",35,0.0769230769230769,6,"CricketY","glmnet"
"tsfresh",733,0.0794871794871795,6,"CricketY","glmnet"
"timegp",10,0.0743589743589744,6,"CricketY","glmnet"
"catch22",22,0.0435897435897436,7,"CricketY","glmnet"
"feasts",38,0.0641025641025641,7,"CricketY","glmnet"
"tsfeatures",59,0.0641025641025641,7,"CricketY","glmnet"
"TSFEL",143,0.082051282051282,7,"CricketY","glmnet"
"Kats",35,0.0743589743589744,7,"CricketY","glmnet"
"tsfresh",732,0.0717948717948718,7,"CricketY","glmnet"
"timegp",10,0.0538461538461538,7,"CricketY","glmnet"
"catch22",22,0.0641025641025641,8,"CricketY","glmnet"
"feasts",38,0.0871794871794872,8,"CricketY","glmnet"
"tsfeatures",59,0.0743589743589744,8,"CricketY","glmnet"
"TSFEL",143,0.0615384615384615,8,"CricketY","glmnet"
"Kats",35,0.0897435897435897,8,"CricketY","glmnet"
"tsfresh",732,0.0769230769230769,8,"CricketY","glmnet"
"timegp",10,0.0564102564102564,8,"CricketY","glmnet"
"catch22",22,0.0512820512820513,9,"CricketY","glmnet"
"feasts",38,0.0666666666666667,9,"CricketY","glmnet"
"tsfeatures",59,0.0615384615384615,9,"CricketY","glmnet"
"TSFEL",143,0.0564102564102564,9,"CricketY","glmnet"
"Kats",35,0.0641025641025641,9,"CricketY","glmnet"
"tsfresh",732,0.0641025641025641,9,"CricketY","glmnet"
"timegp",10,0.0435897435897436,9,"CricketY","glmnet"
"catch22",22,0.0641025641025641,10,"CricketY","glmnet"
"feasts",38,0.0743589743589744,10,"CricketY","glmnet"
"tsfeatures",59,0.0461538461538462,10,"CricketY","glmnet"
"TSFEL",143,0.0692307692307692,10,"CricketY","glmnet"
"Kats",35,0.0666666666666667,10,"CricketY","glmnet"
"tsfresh",733,0.0717948717948718,10,"CricketY","glmnet"
"timegp",10,0.0538461538461538,10,"CricketY","glmnet"
"catch22",22,0.0769230769230769,11,"CricketY","glmnet"
"feasts",37,0.0897435897435897,11,"CricketY","glmnet"
"tsfeatures",59,0.0948717948717949,11,"CricketY","glmnet"
"TSFEL",143,0.0641025641025641,11,"CricketY","glmnet"
"Kats",35,0.0897435897435897,11,"CricketY","glmnet"
"tsfresh",733,0.1,11,"CricketY","glmnet"
"timegp",10,0.0846153846153846,11,"CricketY","glmnet"
"catch22",22,0.0769230769230769,12,"CricketY","glmnet"
"feasts",38,0.0769230769230769,12,"CricketY","glmnet"
"tsfeatures",59,0.0871794871794872,12,"CricketY","glmnet"
"TSFEL",143,0.0615384615384615,12,"CricketY","glmnet"
"Kats",35,0.0769230769230769,12,"CricketY","glmnet"
"tsfresh",732,0.082051282051282,12,"CricketY","glmnet"
"timegp",10,0.117948717948718,12,"CricketY","glmnet"
"catch22",22,0.0358974358974359,13,"CricketY","glmnet"
"feasts",38,0.0641025641025641,13,"CricketY","glmnet"
"tsfeatures",59,0.0641025641025641,13,"CricketY","glmnet"
"TSFEL",143,0.058974358974359,13,"CricketY","glmnet"
"Kats",35,0.0538461538461538,13,"CricketY","glmnet"
"tsfresh",733,0.0615384615384615,13,"CricketY","glmnet"
"timegp",10,0.0358974358974359,13,"CricketY","glmnet"
"catch22",22,0.0461538461538462,14,"CricketY","glmnet"
"feasts",37,0.0538461538461538,14,"CricketY","glmnet"
"tsfeatures",59,0.0538461538461538,14,"CricketY","glmnet"
"TSFEL",143,0.058974358974359,14,"CricketY","glmnet"
"Kats",35,0.0794871794871795,14,"CricketY","glmnet"
"tsfresh",732,0.0538461538461538,14,"CricketY","glmnet"
"timegp",10,0.0717948717948718,14,"CricketY","glmnet"
"catch22",22,0.0846153846153846,15,"CricketY","glmnet"
"feasts",36,0.0692307692307692,15,"CricketY","glmnet"
"tsfeatures",59,0.0666666666666667,15,"CricketY","glmnet"
"TSFEL",143,0.0846153846153846,15,"CricketY","glmnet"
"Kats",35,0.0769230769230769,15,"CricketY","glmnet"
"tsfresh",733,0.0794871794871795,15,"CricketY","glmnet"
"timegp",10,0.0692307692307692,15,"CricketY","glmnet"
"catch22",22,0.0743589743589744,16,"CricketY","glmnet"
"feasts",38,0.058974358974359,16,"CricketY","glmnet"
"tsfeatures",59,0.0743589743589744,16,"CricketY","glmnet"
"TSFEL",143,0.0692307692307692,16,"CricketY","glmnet"
"Kats",35,0.0846153846153846,16,"CricketY","glmnet"
"tsfresh",732,0.0871794871794872,16,"CricketY","glmnet"
"timegp",10,0.0846153846153846,16,"CricketY","glmnet"
"catch22",22,0.0692307692307692,17,"CricketY","glmnet"
"feasts",38,0.0692307692307692,17,"CricketY","glmnet"
"tsfeatures",59,0.0717948717948718,17,"CricketY","glmnet"
"TSFEL",143,0.0871794871794872,17,"CricketY","glmnet"
"Kats",35,0.102564102564103,17,"CricketY","glmnet"
"tsfresh",732,0.0871794871794872,17,"CricketY","glmnet"
"timegp",10,0.0512820512820513,17,"CricketY","glmnet"
"catch22",22,0.0564102564102564,18,"CricketY","glmnet"
"feasts",38,0.082051282051282,18,"CricketY","glmnet"
"tsfeatures",59,0.0692307692307692,18,"CricketY","glmnet"
"TSFEL",143,0.0769230769230769,18,"CricketY","glmnet"
"Kats",35,0.0743589743589744,18,"CricketY","glmnet"
"tsfresh",732,0.0769230769230769,18,"CricketY","glmnet"
"timegp",10,0.058974358974359,18,"CricketY","glmnet"
"catch22",22,0.0641025641025641,19,"CricketY","glmnet"
"feasts",38,0.1,19,"CricketY","glmnet"
"tsfeatures",59,0.0846153846153846,19,"CricketY","glmnet"
"TSFEL",143,0.0897435897435897,19,"CricketY","glmnet"
"Kats",35,0.082051282051282,19,"CricketY","glmnet"
"tsfresh",732,0.0794871794871795,19,"CricketY","glmnet"
"timegp",10,0.0564102564102564,19,"CricketY","glmnet"
"catch22",22,0.0794871794871795,20,"CricketY","glmnet"
"feasts",36,0.0717948717948718,20,"CricketY","glmnet"
"tsfeatures",59,0.0641025641025641,20,"CricketY","glmnet"
"TSFEL",143,0.0538461538461538,20,"CricketY","glmnet"
"Kats",35,0.082051282051282,20,"CricketY","glmnet"
"tsfresh",733,0.0846153846153846,20,"CricketY","glmnet"
"timegp",10,0.0461538461538462,20,"CricketY","glmnet"
"catch22",22,0.0794871794871795,21,"CricketY","glmnet"
"feasts",38,0.0948717948717949,21,"CricketY","glmnet"
"tsfeatures",59,0.082051282051282,21,"CricketY","glmnet"
"TSFEL",143,0.0794871794871795,21,"CricketY","glmnet"
"Kats",35,0.0717948717948718,21,"CricketY","glmnet"
"tsfresh",732,0.082051282051282,21,"CricketY","glmnet"
"timegp",10,0.0871794871794872,21,"CricketY","glmnet"
"catch22",22,0.0666666666666667,22,"CricketY","glmnet"
"feasts",36,0.0717948717948718,22,"CricketY","glmnet"
"tsfeatures",59,0.0717948717948718,22,"CricketY","glmnet"
"TSFEL",143,0.0666666666666667,22,"CricketY","glmnet"
"Kats",35,0.0692307692307692,22,"CricketY","glmnet"
"tsfresh",733,0.0846153846153846,22,"CricketY","glmnet"
"timegp",10,0.1,22,"CricketY","glmnet"
"catch22",22,0.0461538461538462,23,"CricketY","glmnet"
"feasts",37,0.0641025641025641,23,"CricketY","glmnet"
"tsfeatures",59,0.0641025641025641,23,"CricketY","glmnet"
"TSFEL",143,0.0743589743589744,23,"CricketY","glmnet"
"Kats",35,0.0717948717948718,23,"CricketY","glmnet"
"tsfresh",733,0.0615384615384615,23,"CricketY","glmnet"
"timegp",10,0.0666666666666667,23,"CricketY","glmnet"
"catch22",22,0.0871794871794872,24,"CricketY","glmnet"
"feasts",38,0.0871794871794872,24,"CricketY","glmnet"
"tsfeatures",59,0.0846153846153846,24,"CricketY","glmnet"
"TSFEL",143,0.0641025641025641,24,"CricketY","glmnet"
"Kats",35,0.0743589743589744,24,"CricketY","glmnet"
