"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.0508928571428571,1,"Crop","glmnet"
"feasts",39,0.0470833333333333,1,"Crop","glmnet"
"tsfeatures",54,0.0453571428571429,1,"Crop","glmnet"
"TSFEL",138,0.0460119047619048,1,"Crop","glmnet"
"Kats",36,0.0466666666666667,1,"Crop","glmnet"
"tsfresh",415,0.0446428571428571,1,"Crop","glmnet"
"timegp",8,0.0502380952380952,1,"Crop","glmnet"
"catch22",22,0.049702380952381,2,"Crop","glmnet"
"feasts",39,0.0454761904761905,2,"Crop","glmnet"
"tsfeatures",54,0.045,2,"Crop","glmnet"
"TSFEL",138,0.0455357142857143,2,"Crop","glmnet"
"Kats",36,0.0467261904761905,2,"Crop","glmnet"
"tsfresh",415,0.0438690476190476,2,"Crop","glmnet"
"timegp",8,0.0503571428571429,2,"Crop","glmnet"
"catch22",22,0.0488690476190476,3,"Crop","glmnet"
"feasts",39,0.0453571428571429,3,"Crop","glmnet"
"tsfeatures",54,0.0448809523809524,3,"Crop","glmnet"
"TSFEL",138,0.0439285714285714,3,"Crop","glmnet"
"Kats",36,0.0452380952380952,3,"Crop","glmnet"
"tsfresh",415,0.0425595238095238,3,"Crop","glmnet"
"timegp",8,0.0499404761904762,3,"Crop","glmnet"
"catch22",22,0.052202380952381,4,"Crop","glmnet"
"feasts",39,0.04625,4,"Crop","glmnet"
"tsfeatures",54,0.045,4,"Crop","glmnet"
"TSFEL",138,0.0461309523809524,4,"Crop","glmnet"
"Kats",36,0.0455357142857143,4,"Crop","glmnet"
"tsfresh",415,0.0439285714285714,4,"Crop","glmnet"
"timegp",8,0.0494642857142857,4,"Crop","glmnet"
"catch22",22,0.0514880952380952,5,"Crop","glmnet"
"feasts",39,0.047202380952381,5,"Crop","glmnet"
"tsfeatures",54,0.0454761904761905,5,"Crop","glmnet"
"TSFEL",138,0.0457142857142857,5,"Crop","glmnet"
"Kats",36,0.0460714285714286,5,"Crop","glmnet"
"tsfresh",415,0.0448809523809524,5,"Crop","glmnet"
"timegp",8,0.0495238095238095,5,"Crop","glmnet"
"catch22",22,0.0504761904761905,6,"Crop","glmnet"
"feasts",39,0.0463095238095238,6,"Crop","glmnet"
"tsfeatures",54,0.044702380952381,6,"Crop","glmnet"
"TSFEL",138,0.0460119047619048,6,"Crop","glmnet"
"Kats",36,0.0468452380952381,6,"Crop","glmnet"
"tsfresh",415,0.0442261904761905,6,"Crop","glmnet"
"timegp",8,0.0496428571428571,6,"Crop","glmnet"
"catch22",22,0.0502380952380952,7,"Crop","glmnet"
"feasts",39,0.0473809523809524,7,"Crop","glmnet"
"tsfeatures",54,0.0451190476190476,7,"Crop","glmnet"
"TSFEL",138,0.0450595238095238,7,"Crop","glmnet"
"Kats",36,0.0452380952380952,7,"Crop","glmnet"
"tsfresh",415,0.0441666666666667,7,"Crop","glmnet"
"timegp",8,0.0501785714285714,7,"Crop","glmnet"
"catch22",22,0.0514285714285714,8,"Crop","glmnet"
"feasts",39,0.0460119047619048,8,"Crop","glmnet"
"tsfeatures",54,0.0448809523809524,8,"Crop","glmnet"
"TSFEL",138,0.0458928571428571,8,"Crop","glmnet"
"Kats",36,0.0467261904761905,8,"Crop","glmnet"
"tsfresh",415,0.0442261904761905,8,"Crop","glmnet"
"timegp",8,0.0506547619047619,8,"Crop","glmnet"
"catch22",22,0.0513690476190476,9,"Crop","glmnet"
"feasts",39,0.0448214285714286,9,"Crop","glmnet"
"tsfeatures",54,0.0450595238095238,9,"Crop","glmnet"
"TSFEL",138,0.0451190476190476,9,"Crop","glmnet"
"Kats",36,0.0444047619047619,9,"Crop","glmnet"
"tsfresh",415,0.0423809523809524,9,"Crop","glmnet"
"timegp",8,0.0508333333333333,9,"Crop","glmnet"
"catch22",22,0.0488095238095238,10,"Crop","glmnet"
"feasts",39,0.0450595238095238,10,"Crop","glmnet"
"tsfeatures",54,0.0441666666666667,10,"Crop","glmnet"
"TSFEL",138,0.04375,10,"Crop","glmnet"
"Kats",36,0.0417857142857143,10,"Crop","glmnet"
"tsfresh",415,0.0439285714285714,10,"Crop","glmnet"
"timegp",8,0.050297619047619,10,"Crop","glmnet"
"catch22",22,0.05,11,"Crop","glmnet"
"feasts",39,0.0451190476190476,11,"Crop","glmnet"
"tsfeatures",54,0.044702380952381,11,"Crop","glmnet"
"TSFEL",138,0.0446428571428571,11,"Crop","glmnet"
"Kats",36,0.0454166666666667,11,"Crop","glmnet"
"tsfresh",415,0.0436904761904762,11,"Crop","glmnet"
"timegp",8,0.050297619047619,11,"Crop","glmnet"
"catch22",22,0.05,12,"Crop","glmnet"
"feasts",39,0.0466666666666667,12,"Crop","glmnet"
"tsfeatures",54,0.0448809523809524,12,"Crop","glmnet"
"TSFEL",136,0.044702380952381,12,"Crop","glmnet"
"Kats",36,0.0471428571428571,12,"Crop","glmnet"
"tsfresh",415,0.04375,12,"Crop","glmnet"
"timegp",8,0.0505952380952381,12,"Crop","glmnet"
"catch22",22,0.0519047619047619,13,"Crop","glmnet"
"feasts",38,0.0452380952380952,13,"Crop","glmnet"
"tsfeatures",54,0.044702380952381,13,"Crop","glmnet"
"TSFEL",138,0.0448214285714286,13,"Crop","glmnet"
"Kats",36,0.0463690476190476,13,"Crop","glmnet"
"tsfresh",414,0.045,13,"Crop","glmnet"
"timegp",8,0.0501785714285714,13,"Crop","glmnet"
"catch22",22,0.0511904761904762,14,"Crop","glmnet"
"feasts",39,0.0439285714285714,14,"Crop","glmnet"
"tsfeatures",54,0.0433928571428571,14,"Crop","glmnet"
"TSFEL",138,0.0432142857142857,14,"Crop","glmnet"
"Kats",36,0.0457738095238095,14,"Crop","glmnet"
"tsfresh",415,0.0421428571428571,14,"Crop","glmnet"
"timegp",8,0.0510119047619048,14,"Crop","glmnet"
"catch22",22,0.0511904761904762,15,"Crop","glmnet"
"feasts",39,0.0461904761904762,15,"Crop","glmnet"
"tsfeatures",54,0.0461904761904762,15,"Crop","glmnet"
"TSFEL",138,0.0460119047619048,15,"Crop","glmnet"
"Kats",36,0.0457738095238095,15,"Crop","glmnet"
"tsfresh",415,0.0436904761904762,15,"Crop","glmnet"
"timegp",8,0.0482142857142857,15,"Crop","glmnet"
"catch22",22,0.0470238095238095,16,"Crop","glmnet"
"feasts",39,0.0450595238095238,16,"Crop","glmnet"
"tsfeatures",54,0.0435119047619048,16,"Crop","glmnet"
"TSFEL",136,0.0427380952380952,16,"Crop","glmnet"
"Kats",36,0.0454761904761905,16,"Crop","glmnet"
"tsfresh",415,0.04375,16,"Crop","glmnet"
"timegp",8,0.0498809523809524,16,"Crop","glmnet"
"catch22",22,0.0525595238095238,17,"Crop","glmnet"
"feasts",39,0.0457142857142857,17,"Crop","glmnet"
"tsfeatures",54,0.045,17,"Crop","glmnet"
"TSFEL",138,0.0446428571428571,17,"Crop","glmnet"
"Kats",36,0.0460119047619048,17,"Crop","glmnet"
"tsfresh",415,0.0438690476190476,17,"Crop","glmnet"
"timegp",8,0.0514285714285714,17,"Crop","glmnet"
"catch22",22,0.0505952380952381,18,"Crop","glmnet"
"feasts",39,0.0468452380952381,18,"Crop","glmnet"
"tsfeatures",54,0.0451190476190476,18,"Crop","glmnet"
"TSFEL",138,0.0445833333333333,18,"Crop","glmnet"
"Kats",36,0.0454166666666667,18,"Crop","glmnet"
"tsfresh",415,0.0436309523809524,18,"Crop","glmnet"
"timegp",8,0.0491666666666667,18,"Crop","glmnet"
"catch22",22,0.0498214285714286,19,"Crop","glmnet"
"feasts",39,0.0464285714285714,19,"Crop","glmnet"
"tsfeatures",54,0.0458928571428571,19,"Crop","glmnet"
"TSFEL",138,0.0452380952380952,19,"Crop","glmnet"
"Kats",36,0.0454761904761905,19,"Crop","glmnet"
"tsfresh",415,0.0439285714285714,19,"Crop","glmnet"
"timegp",8,0.0499404761904762,19,"Crop","glmnet"
"catch22",22,0.0496428571428571,20,"Crop","glmnet"
"feasts",39,0.0455952380952381,20,"Crop","glmnet"
"tsfeatures",54,0.0438095238095238,20,"Crop","glmnet"
"TSFEL",138,0.0450595238095238,20,"Crop","glmnet"
"Kats",36,0.045,20,"Crop","glmnet"
"tsfresh",415,0.0430357142857143,20,"Crop","glmnet"
"timegp",8,0.0495833333333333,20,"Crop","glmnet"
"catch22",22,0.0505357142857143,21,"Crop","glmnet"
"feasts",39,0.0472619047619048,21,"Crop","glmnet"
"tsfeatures",54,0.0458333333333333,21,"Crop","glmnet"
"TSFEL",138,0.0464285714285714,21,"Crop","glmnet"
"Kats",36,0.0467857142857143,21,"Crop","glmnet"
"tsfresh",415,0.0454761904761905,21,"Crop","glmnet"
"timegp",8,0.0516071428571429,21,"Crop","glmnet"
"catch22",22,0.0483333333333333,22,"Crop","glmnet"
"feasts",39,0.0442261904761905,22,"Crop","glmnet"
"tsfeatures",54,0.0432738095238095,22,"Crop","glmnet"
"TSFEL",138,0.0451190476190476,22,"Crop","glmnet"
"Kats",36,0.045297619047619,22,"Crop","glmnet"
"tsfresh",415,0.045952380952381,22,"Crop","glmnet"
"timegp",8,0.0513690476190476,22,"Crop","glmnet"
"catch22",22,0.05125,23,"Crop","glmnet"
"feasts",39,0.0448214285714286,23,"Crop","glmnet"
"tsfeatures",54,0.0450595238095238,23,"Crop","glmnet"
"TSFEL",138,0.0460119047619048,23,"Crop","glmnet"
"Kats",36,0.0441666666666667,23,"Crop","glmnet"
