"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,NA,1,"ECG5000","glmnet"
"feasts",36,NA,1,"ECG5000","glmnet"
"tsfeatures",59,NA,1,"ECG5000","glmnet"
"TSFEL",144,NA,1,"ECG5000","glmnet"
"Kats",36,NA,1,"ECG5000","glmnet"
"tsfresh",614,NA,1,"ECG5000","glmnet"
"timegp",7,NA,1,"ECG5000","glmnet"
"catch22",22,NA,2,"ECG5000","glmnet"
"feasts",36,NA,2,"ECG5000","glmnet"
"tsfeatures",59,NA,2,"ECG5000","glmnet"
"TSFEL",144,NA,2,"ECG5000","glmnet"
"Kats",36,NA,2,"ECG5000","glmnet"
"tsfresh",615,NA,2,"ECG5000","glmnet"
"timegp",7,NA,2,"ECG5000","glmnet"
"catch22",22,NA,3,"ECG5000","glmnet"
"feasts",36,NA,3,"ECG5000","glmnet"
"tsfeatures",59,NA,3,"ECG5000","glmnet"
"TSFEL",144,NA,3,"ECG5000","glmnet"
"Kats",36,NA,3,"ECG5000","glmnet"
"tsfresh",612,NA,3,"ECG5000","glmnet"
"timegp",7,NA,3,"ECG5000","glmnet"
"catch22",22,NA,4,"ECG5000","glmnet"
"feasts",36,NA,4,"ECG5000","glmnet"
"tsfeatures",59,NA,4,"ECG5000","glmnet"
"TSFEL",144,NA,4,"ECG5000","glmnet"
"Kats",36,NA,4,"ECG5000","glmnet"
"tsfresh",614,NA,4,"ECG5000","glmnet"
"timegp",7,NA,4,"ECG5000","glmnet"
"catch22",22,NA,5,"ECG5000","glmnet"
"feasts",36,NA,5,"ECG5000","glmnet"
"tsfeatures",59,NA,5,"ECG5000","glmnet"
"TSFEL",144,NA,5,"ECG5000","glmnet"
"Kats",36,NA,5,"ECG5000","glmnet"
"tsfresh",616,NA,5,"ECG5000","glmnet"
"timegp",7,NA,5,"ECG5000","glmnet"
"catch22",22,NA,6,"ECG5000","glmnet"
"feasts",36,NA,6,"ECG5000","glmnet"
"tsfeatures",59,NA,6,"ECG5000","glmnet"
"TSFEL",144,NA,6,"ECG5000","glmnet"
"Kats",35,NA,6,"ECG5000","glmnet"
"tsfresh",612,NA,6,"ECG5000","glmnet"
"timegp",7,NA,6,"ECG5000","glmnet"
"catch22",22,NA,7,"ECG5000","glmnet"
"feasts",36,NA,7,"ECG5000","glmnet"
"tsfeatures",59,NA,7,"ECG5000","glmnet"
"TSFEL",144,NA,7,"ECG5000","glmnet"
"Kats",36,NA,7,"ECG5000","glmnet"
"tsfresh",613,NA,7,"ECG5000","glmnet"
"timegp",7,NA,7,"ECG5000","glmnet"
"catch22",22,NA,8,"ECG5000","glmnet"
"feasts",36,NA,8,"ECG5000","glmnet"
"tsfeatures",59,NA,8,"ECG5000","glmnet"
"TSFEL",144,NA,8,"ECG5000","glmnet"
"Kats",36,NA,8,"ECG5000","glmnet"
"tsfresh",617,NA,8,"ECG5000","glmnet"
"timegp",7,NA,8,"ECG5000","glmnet"
"catch22",22,NA,9,"ECG5000","glmnet"
"feasts",36,NA,9,"ECG5000","glmnet"
"tsfeatures",59,NA,9,"ECG5000","glmnet"
"TSFEL",144,NA,9,"ECG5000","glmnet"
"Kats",36,NA,9,"ECG5000","glmnet"
"tsfresh",612,NA,9,"ECG5000","glmnet"
"timegp",7,NA,9,"ECG5000","glmnet"
"catch22",22,NA,10,"ECG5000","glmnet"
"feasts",36,NA,10,"ECG5000","glmnet"
"tsfeatures",59,NA,10,"ECG5000","glmnet"
"TSFEL",144,NA,10,"ECG5000","glmnet"
"Kats",36,NA,10,"ECG5000","glmnet"
"tsfresh",612,NA,10,"ECG5000","glmnet"
"timegp",7,NA,10,"ECG5000","glmnet"
