"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.560975609756098,1,"ECGFiveDays","glmnet"
"feasts",36,0.579558652729384,1,"ECGFiveDays","glmnet"
"tsfeatures",59,0.682926829268293,1,"ECGFiveDays","glmnet"
"TSFEL",144,0.822299651567944,1,"ECGFiveDays","glmnet"
"Kats",35,0.718931475029036,1,"ECGFiveDays","glmnet"
"tsfresh",599,0.824622531939605,1,"ECGFiveDays","glmnet"
"timegp",2,0.715447154471545,1,"ECGFiveDays","glmnet"
"catch22",22,0.655052264808362,2,"ECGFiveDays","glmnet"
"feasts",37,0.777003484320557,2,"ECGFiveDays","glmnet"
"tsfeatures",59,0.774680603948897,2,"ECGFiveDays","glmnet"
"TSFEL",144,0.825783972125436,2,"ECGFiveDays","glmnet"
"Kats",35,0.747967479674797,2,"ECGFiveDays","glmnet"
"tsfresh",599,0.879210220673635,2,"ECGFiveDays","glmnet"
"timegp",2,0.737514518002323,2,"ECGFiveDays","glmnet"
"catch22",22,0.54123112659698,3,"ECGFiveDays","glmnet"
"feasts",35,0.681765389082462,3,"ECGFiveDays","glmnet"
"tsfeatures",59,0.691056910569106,3,"ECGFiveDays","glmnet"
"TSFEL",144,0.790940766550523,3,"ECGFiveDays","glmnet"
"Kats",35,0.659698025551684,3,"ECGFiveDays","glmnet"
"tsfresh",599,0.822299651567944,3,"ECGFiveDays","glmnet"
"timegp",2,0.738675958188153,3,"ECGFiveDays","glmnet"
"catch22",22,0.554006968641115,4,"ECGFiveDays","glmnet"
"feasts",34,0.615563298490128,4,"ECGFiveDays","glmnet"
"tsfeatures",59,0.717770034843206,4,"ECGFiveDays","glmnet"
"TSFEL",144,0.818815331010453,4,"ECGFiveDays","glmnet"
"Kats",35,0.708478513356562,4,"ECGFiveDays","glmnet"
"tsfresh",599,0.814169570267131,4,"ECGFiveDays","glmnet"
"timegp",2,0.659698025551684,4,"ECGFiveDays","glmnet"
"catch22",22,0.599303135888502,5,"ECGFiveDays","glmnet"
"feasts",36,0.636469221835075,5,"ECGFiveDays","glmnet"
"tsfeatures",59,0.706155632984901,5,"ECGFiveDays","glmnet"
"TSFEL",144,0.822299651567944,5,"ECGFiveDays","glmnet"
"Kats",35,0.672473867595819,5,"ECGFiveDays","glmnet"
"tsfresh",599,0.803716608594657,5,"ECGFiveDays","glmnet"
"timegp",2,0.727061556329849,5,"ECGFiveDays","glmnet"
"catch22",22,0.552845528455285,6,"ECGFiveDays","glmnet"
"feasts",35,0.656213704994193,6,"ECGFiveDays","glmnet"
"tsfeatures",59,0.67595818815331,6,"ECGFiveDays","glmnet"
"TSFEL",144,0.832752613240418,6,"ECGFiveDays","glmnet"
"Kats",35,0.668989547038328,6,"ECGFiveDays","glmnet"
"tsfresh",599,0.78397212543554,6,"ECGFiveDays","glmnet"
"timegp",2,0.67595818815331,6,"ECGFiveDays","glmnet"
"catch22",22,0.634146341463415,7,"ECGFiveDays","glmnet"
"feasts",37,0.711962833914053,7,"ECGFiveDays","glmnet"
"tsfeatures",59,0.743321718931475,7,"ECGFiveDays","glmnet"
"TSFEL",144,0.876887340301974,7,"ECGFiveDays","glmnet"
"Kats",35,0.713124274099884,7,"ECGFiveDays","glmnet"
"tsfresh",600,0.929152148664344,7,"ECGFiveDays","glmnet"
"timegp",2,0.628339140534262,7,"ECGFiveDays","glmnet"
"catch22",22,0.497096399535424,8,"ECGFiveDays","glmnet"
"feasts",38,0.557491289198606,8,"ECGFiveDays","glmnet"
"tsfeatures",59,0.700348432055749,8,"ECGFiveDays","glmnet"
"TSFEL",144,0.850174216027875,8,"ECGFiveDays","glmnet"
"Kats",35,0.689895470383275,8,"ECGFiveDays","glmnet"
"tsfresh",600,0.843205574912892,8,"ECGFiveDays","glmnet"
"timegp",2,0.700348432055749,8,"ECGFiveDays","glmnet"
"catch22",21,0.78513356562137,9,"ECGFiveDays","glmnet"
"feasts",36,0.766550522648084,9,"ECGFiveDays","glmnet"
"tsfeatures",59,0.797909407665505,9,"ECGFiveDays","glmnet"
"TSFEL",144,0.850174216027875,9,"ECGFiveDays","glmnet"
"Kats",35,0.70267131242741,9,"ECGFiveDays","glmnet"
"tsfresh",599,0.868757259001161,9,"ECGFiveDays","glmnet"
"timegp",2,0.601626016260163,9,"ECGFiveDays","glmnet"
"catch22",22,0.535423925667828,10,"ECGFiveDays","glmnet"
"feasts",35,0.737514518002323,10,"ECGFiveDays","glmnet"
"tsfeatures",59,0.777003484320557,10,"ECGFiveDays","glmnet"
"TSFEL",144,0.821138211382114,10,"ECGFiveDays","glmnet"
"Kats",35,0.696864111498258,10,"ECGFiveDays","glmnet"
"tsfresh",600,0.869918699186992,10,"ECGFiveDays","glmnet"
"timegp",2,0.629500580720093,10,"ECGFiveDays","glmnet"
"catch22",22,0.641114982578397,11,"ECGFiveDays","glmnet"
"feasts",38,0.779326364692218,11,"ECGFiveDays","glmnet"
"tsfeatures",59,0.81184668989547,11,"ECGFiveDays","glmnet"
"TSFEL",144,0.81068524970964,11,"ECGFiveDays","glmnet"
"Kats",35,0.760743321718931,11,"ECGFiveDays","glmnet"
"tsfresh",600,0.857142857142857,11,"ECGFiveDays","glmnet"
"timegp",2,0.655052264808362,11,"ECGFiveDays","glmnet"
"catch22",22,0.653890824622532,12,"ECGFiveDays","glmnet"
"feasts",36,0.56678281068525,12,"ECGFiveDays","glmnet"
"tsfeatures",59,0.670150987224158,12,"ECGFiveDays","glmnet"
"TSFEL",144,0.86527293844367,12,"ECGFiveDays","glmnet"
"Kats",35,0.662020905923345,12,"ECGFiveDays","glmnet"
"tsfresh",600,0.855981416957027,12,"ECGFiveDays","glmnet"
"timegp",2,0.718931475029036,12,"ECGFiveDays","glmnet"
"catch22",22,0.526132404181185,13,"ECGFiveDays","glmnet"
"feasts",36,0.650406504065041,13,"ECGFiveDays","glmnet"
"tsfeatures",59,0.678281068524971,13,"ECGFiveDays","glmnet"
"TSFEL",144,0.803716608594657,13,"ECGFiveDays","glmnet"
"Kats",35,0.636469221835075,13,"ECGFiveDays","glmnet"
"tsfresh",599,0.886178861788618,13,"ECGFiveDays","glmnet"
"timegp",2,0.751451800232288,13,"ECGFiveDays","glmnet"
"catch22",22,0.549361207897793,14,"ECGFiveDays","glmnet"
"feasts",38,0.630662020905923,14,"ECGFiveDays","glmnet"
"tsfeatures",59,0.765389082462253,14,"ECGFiveDays","glmnet"
"TSFEL",144,0.802555168408827,14,"ECGFiveDays","glmnet"
"Kats",35,0.699186991869919,14,"ECGFiveDays","glmnet"
"tsfresh",602,0.768873403019744,14,"ECGFiveDays","glmnet"
"timegp",2,0.67595818815331,14,"ECGFiveDays","glmnet"
"catch22",22,0.497096399535424,15,"ECGFiveDays","glmnet"
"feasts",37,0.803716608594657,15,"ECGFiveDays","glmnet"
"tsfeatures",59,0.740998838559814,15,"ECGFiveDays","glmnet"
"TSFEL",144,0.831591173054588,15,"ECGFiveDays","glmnet"
"Kats",35,0.777003484320557,15,"ECGFiveDays","glmnet"
"tsfresh",600,0.878048780487805,15,"ECGFiveDays","glmnet"
"timegp",2,0.709639953542393,15,"ECGFiveDays","glmnet"
"catch22",22,0.64924506387921,16,"ECGFiveDays","glmnet"
"feasts",36,0.727061556329849,16,"ECGFiveDays","glmnet"
"tsfeatures",59,0.760743321718931,16,"ECGFiveDays","glmnet"
"TSFEL",144,0.869918699186992,16,"ECGFiveDays","glmnet"
"Kats",35,0.72822299651568,16,"ECGFiveDays","glmnet"
"tsfresh",600,0.859465737514518,16,"ECGFiveDays","glmnet"
"timegp",2,0.70150987224158,16,"ECGFiveDays","glmnet"
"catch22",22,0.556329849012776,17,"ECGFiveDays","glmnet"
"feasts",36,0.72822299651568,17,"ECGFiveDays","glmnet"
"tsfeatures",59,0.673635307781649,17,"ECGFiveDays","glmnet"
"TSFEL",144,0.813008130081301,17,"ECGFiveDays","glmnet"
"Kats",35,0.713124274099884,17,"ECGFiveDays","glmnet"
"tsfresh",599,0.760743321718931,17,"ECGFiveDays","glmnet"
"timegp",2,0.584204413472706,17,"ECGFiveDays","glmnet"
"catch22",22,0.56678281068525,18,"ECGFiveDays","glmnet"
"feasts",36,0.659698025551684,18,"ECGFiveDays","glmnet"
"tsfeatures",59,0.686411149825784,18,"ECGFiveDays","glmnet"
"TSFEL",144,0.821138211382114,18,"ECGFiveDays","glmnet"
"Kats",35,0.698025551684088,18,"ECGFiveDays","glmnet"
"tsfresh",601,0.844367015098722,18,"ECGFiveDays","glmnet"
"timegp",2,0.753774680603949,18,"ECGFiveDays","glmnet"
"catch22",22,0.682926829268293,19,"ECGFiveDays","glmnet"
"feasts",35,0.799070847851336,19,"ECGFiveDays","glmnet"
"tsfeatures",59,0.78281068524971,19,"ECGFiveDays","glmnet"
"TSFEL",144,0.866434378629501,19,"ECGFiveDays","glmnet"
"Kats",35,0.75725900116144,19,"ECGFiveDays","glmnet"
"tsfresh",600,0.879210220673635,19,"ECGFiveDays","glmnet"
"timegp",2,0.497096399535424,19,"ECGFiveDays","glmnet"
"catch22",22,0.602787456445993,20,"ECGFiveDays","glmnet"
"feasts",36,0.641114982578397,20,"ECGFiveDays","glmnet"
"tsfeatures",59,0.684088269454123,20,"ECGFiveDays","glmnet"
"TSFEL",144,0.778164924506388,20,"ECGFiveDays","glmnet"
"Kats",35,0.664343786295006,20,"ECGFiveDays","glmnet"
"tsfresh",599,0.803716608594657,20,"ECGFiveDays","glmnet"
"timegp",2,0.731707317073171,20,"ECGFiveDays","glmnet"
"catch22",22,0.574912891986063,21,"ECGFiveDays","glmnet"
"feasts",35,0.573751451800232,21,"ECGFiveDays","glmnet"
"tsfeatures",59,0.579558652729384,21,"ECGFiveDays","glmnet"
"TSFEL",144,0.67595818815331,21,"ECGFiveDays","glmnet"
"Kats",35,0.577235772357724,21,"ECGFiveDays","glmnet"
"tsfresh",600,0.795586527293844,21,"ECGFiveDays","glmnet"
"timegp",2,0.681765389082462,21,"ECGFiveDays","glmnet"
"catch22",22,0.614401858304297,22,"ECGFiveDays","glmnet"
"feasts",34,0.67711962833914,22,"ECGFiveDays","glmnet"
"tsfeatures",59,0.742160278745645,22,"ECGFiveDays","glmnet"
"TSFEL",144,0.846689895470383,22,"ECGFiveDays","glmnet"
"Kats",35,0.743321718931475,22,"ECGFiveDays","glmnet"
"tsfresh",599,0.882694541231127,22,"ECGFiveDays","glmnet"
"timegp",2,0.754936120789779,22,"ECGFiveDays","glmnet"
"catch22",22,0.614401858304297,23,"ECGFiveDays","glmnet"
"feasts",36,0.81184668989547,23,"ECGFiveDays","glmnet"
"tsfeatures",59,0.824622531939605,23,"ECGFiveDays","glmnet"
"TSFEL",144,0.8931475029036,23,"ECGFiveDays","glmnet"
"Kats",35,0.78397212543554,23,"ECGFiveDays","glmnet"
"tsfresh",600,0.948896631823461,23,"ECGFiveDays","glmnet"
"timegp",2,0.497096399535424,23,"ECGFiveDays","glmnet"
"catch22",22,0.497096399535424,24,"ECGFiveDays","glmnet"
"feasts",36,0.67711962833914,24,"ECGFiveDays","glmnet"
"tsfeatures",59,0.742160278745645,24,"ECGFiveDays","glmnet"
"TSFEL",144,0.902439024390244,24,"ECGFiveDays","glmnet"
"Kats",35,0.707317073170732,24,"ECGFiveDays","glmnet"
"tsfresh",599,0.932636469221835,24,"ECGFiveDays","glmnet"
"timegp",2,0.752613240418119,24,"ECGFiveDays","glmnet"
"catch22",22,0.608594657375145,25,"ECGFiveDays","glmnet"
"feasts",36,0.720092915214866,25,"ECGFiveDays","glmnet"
"tsfeatures",59,0.78513356562137,25,"ECGFiveDays","glmnet"
"TSFEL",144,0.807200929152149,25,"ECGFiveDays","glmnet"
"Kats",35,0.724738675958188,25,"ECGFiveDays","glmnet"
"tsfresh",599,0.9465737514518,25,"ECGFiveDays","glmnet"
"timegp",2,0.723577235772358,25,"ECGFiveDays","glmnet"
"catch22",22,0.574912891986063,26,"ECGFiveDays","glmnet"
"feasts",36,0.718931475029036,26,"ECGFiveDays","glmnet"
"tsfeatures",59,0.714285714285714,26,"ECGFiveDays","glmnet"
"TSFEL",144,0.81068524970964,26,"ECGFiveDays","glmnet"
"Kats",35,0.699186991869919,26,"ECGFiveDays","glmnet"
"tsfresh",600,0.869918699186992,26,"ECGFiveDays","glmnet"
"timegp",2,0.744483159117305,26,"ECGFiveDays","glmnet"
"catch22",22,0.497096399535424,27,"ECGFiveDays","glmnet"
"feasts",36,0.67711962833914,27,"ECGFiveDays","glmnet"
"tsfeatures",59,0.635307781649245,27,"ECGFiveDays","glmnet"
"TSFEL",144,0.700348432055749,27,"ECGFiveDays","glmnet"
"Kats",35,0.658536585365854,27,"ECGFiveDays","glmnet"
"tsfresh",599,0.897793263646922,27,"ECGFiveDays","glmnet"
"timegp",2,0.764227642276423,27,"ECGFiveDays","glmnet"
"catch22",22,0.577235772357724,28,"ECGFiveDays","glmnet"
"feasts",36,0.716608594657375,28,"ECGFiveDays","glmnet"
"tsfeatures",59,0.816492450638792,28,"ECGFiveDays","glmnet"
"TSFEL",144,0.808362369337979,28,"ECGFiveDays","glmnet"
"Kats",35,0.749128919860627,28,"ECGFiveDays","glmnet"
"tsfresh",599,0.904761904761905,28,"ECGFiveDays","glmnet"
"timegp",2,0.711962833914053,28,"ECGFiveDays","glmnet"
"catch22",22,0.56794425087108,29,"ECGFiveDays","glmnet"
"feasts",37,0.662020905923345,29,"ECGFiveDays","glmnet"
"tsfeatures",59,0.691056910569106,29,"ECGFiveDays","glmnet"
"TSFEL",144,0.773519163763066,29,"ECGFiveDays","glmnet"
"Kats",35,0.739837398373984,29,"ECGFiveDays","glmnet"
"tsfresh",599,0.86411149825784,29,"ECGFiveDays","glmnet"
"timegp",2,0.704994192799071,29,"ECGFiveDays","glmnet"
"catch22",22,0.619047619047619,30,"ECGFiveDays","glmnet"
"feasts",36,0.642276422764228,30,"ECGFiveDays","glmnet"
"tsfeatures",59,0.645760743321719,30,"ECGFiveDays","glmnet"
"TSFEL",144,0.872241579558653,30,"ECGFiveDays","glmnet"
"Kats",35,0.689895470383275,30,"ECGFiveDays","glmnet"
"tsfresh",599,0.862950058072009,30,"ECGFiveDays","glmnet"
"timegp",2,0.720092915214866,30,"ECGFiveDays","glmnet"
