"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",19,0.362,1,"EthanolLevel","glmnet"
"feasts",33,0.296,1,"EthanolLevel","glmnet"
"tsfeatures",58,0.314,1,"EthanolLevel","glmnet"
"TSFEL",142,0.382,1,"EthanolLevel","glmnet"
"Kats",35,0.3,1,"EthanolLevel","glmnet"
"tsfresh",727,0.438,1,"EthanolLevel","glmnet"
"timegp",3,0.428,1,"EthanolLevel","glmnet"
"catch22",19,0.384,2,"EthanolLevel","glmnet"
"feasts",33,0.356,2,"EthanolLevel","glmnet"
"tsfeatures",58,0.336,2,"EthanolLevel","glmnet"
"TSFEL",142,0.414,2,"EthanolLevel","glmnet"
"Kats",35,0.368,2,"EthanolLevel","glmnet"
"tsfresh",727,0.514,2,"EthanolLevel","glmnet"
"timegp",3,0.424,2,"EthanolLevel","glmnet"
"catch22",19,0.4,3,"EthanolLevel","glmnet"
"feasts",33,0.344,3,"EthanolLevel","glmnet"
"tsfeatures",58,0.354,3,"EthanolLevel","glmnet"
"TSFEL",142,0.476,3,"EthanolLevel","glmnet"
"Kats",35,0.404,3,"EthanolLevel","glmnet"
"tsfresh",727,0.49,3,"EthanolLevel","glmnet"
"timegp",3,0.434,3,"EthanolLevel","glmnet"
"catch22",19,0.396,4,"EthanolLevel","glmnet"
"feasts",33,0.34,4,"EthanolLevel","glmnet"
"tsfeatures",58,0.36,4,"EthanolLevel","glmnet"
"TSFEL",142,0.45,4,"EthanolLevel","glmnet"
"Kats",35,0.386,4,"EthanolLevel","glmnet"
"tsfresh",727,0.512,4,"EthanolLevel","glmnet"
"timegp",3,0.426,4,"EthanolLevel","glmnet"
"catch22",19,0.38,5,"EthanolLevel","glmnet"
"feasts",33,0.326,5,"EthanolLevel","glmnet"
"tsfeatures",58,0.316,5,"EthanolLevel","glmnet"
"TSFEL",142,0.44,5,"EthanolLevel","glmnet"
"Kats",35,0.362,5,"EthanolLevel","glmnet"
"tsfresh",727,0.458,5,"EthanolLevel","glmnet"
"timegp",3,0.442,5,"EthanolLevel","glmnet"
"catch22",19,0.4,6,"EthanolLevel","glmnet"
"feasts",33,0.332,6,"EthanolLevel","glmnet"
"tsfeatures",58,0.342,6,"EthanolLevel","glmnet"
"TSFEL",142,0.458,6,"EthanolLevel","glmnet"
"Kats",35,0.378,6,"EthanolLevel","glmnet"
"tsfresh",727,0.48,6,"EthanolLevel","glmnet"
"timegp",3,0.456,6,"EthanolLevel","glmnet"
"catch22",19,0.384,7,"EthanolLevel","glmnet"
"feasts",33,0.322,7,"EthanolLevel","glmnet"
"tsfeatures",58,0.34,7,"EthanolLevel","glmnet"
"TSFEL",142,0.454,7,"EthanolLevel","glmnet"
"Kats",35,0.376,7,"EthanolLevel","glmnet"
"tsfresh",727,0.488,7,"EthanolLevel","glmnet"
"timegp",3,0.446,7,"EthanolLevel","glmnet"
"catch22",19,0.392,8,"EthanolLevel","glmnet"
"feasts",33,0.31,8,"EthanolLevel","glmnet"
"tsfeatures",58,0.35,8,"EthanolLevel","glmnet"
"TSFEL",142,0.438,8,"EthanolLevel","glmnet"
"Kats",35,0.386,8,"EthanolLevel","glmnet"
"tsfresh",727,0.488,8,"EthanolLevel","glmnet"
"timegp",3,0.47,8,"EthanolLevel","glmnet"
"catch22",19,0.396,9,"EthanolLevel","glmnet"
