"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.0448780487804878,1,"FacesUCR","glmnet"
"feasts",37,0.0492682926829268,1,"FacesUCR","glmnet"
"tsfeatures",59,0.0517073170731707,1,"FacesUCR","glmnet"
"TSFEL",144,0.0541463414634146,1,"FacesUCR","glmnet"
"Kats",35,0.0321951219512195,1,"FacesUCR","glmnet"
"tsfresh",594,0.0639024390243902,1,"FacesUCR","glmnet"
"timegp",6,0.0526829268292683,1,"FacesUCR","glmnet"
"catch22",22,0.0463414634146341,2,"FacesUCR","glmnet"
"feasts",36,0.0365853658536585,2,"FacesUCR","glmnet"
"tsfeatures",59,0.0365853658536585,2,"FacesUCR","glmnet"
"TSFEL",144,0.0560975609756098,2,"FacesUCR","glmnet"
"Kats",35,0.0346341463414634,2,"FacesUCR","glmnet"
"tsfresh",595,0.0497560975609756,2,"FacesUCR","glmnet"
"timegp",6,0.0307317073170732,2,"FacesUCR","glmnet"
"catch22",22,0.0580487804878049,3,"FacesUCR","glmnet"
"feasts",37,0.055609756097561,3,"FacesUCR","glmnet"
"tsfeatures",59,0.0604878048780488,3,"FacesUCR","glmnet"
"TSFEL",144,0.0585365853658537,3,"FacesUCR","glmnet"
"Kats",35,0.0375609756097561,3,"FacesUCR","glmnet"
"tsfresh",593,NA,3,"FacesUCR","glmnet"
"timegp",6,0.088780487804878,3,"FacesUCR","glmnet"
"catch22",22,0.0546341463414634,4,"FacesUCR","glmnet"
"feasts",37,0.044390243902439,4,"FacesUCR","glmnet"
"tsfeatures",59,0.0473170731707317,4,"FacesUCR","glmnet"
"TSFEL",144,0.0551219512195122,4,"FacesUCR","glmnet"
"Kats",35,0.044390243902439,4,"FacesUCR","glmnet"
"tsfresh",594,0.0521951219512195,4,"FacesUCR","glmnet"
"timegp",6,0.064390243902439,4,"FacesUCR","glmnet"
"catch22",22,0.0482926829268293,5,"FacesUCR","glmnet"
"feasts",38,0.0551219512195122,5,"FacesUCR","glmnet"
"tsfeatures",59,0.0468292682926829,5,"FacesUCR","glmnet"
"TSFEL",144,0.0526829268292683,5,"FacesUCR","glmnet"
"Kats",35,0.0521951219512195,5,"FacesUCR","glmnet"
"tsfresh",595,0.048780487804878,5,"FacesUCR","glmnet"
"timegp",6,0.168780487804878,5,"FacesUCR","glmnet"
"catch22",22,0.044390243902439,6,"FacesUCR","glmnet"
"feasts",38,0.0541463414634146,6,"FacesUCR","glmnet"
"tsfeatures",59,0.055609756097561,6,"FacesUCR","glmnet"
"TSFEL",144,0.0565853658536585,6,"FacesUCR","glmnet"
"Kats",35,0.0370731707317073,6,"FacesUCR","glmnet"
"tsfresh",597,0.0507317073170732,6,"FacesUCR","glmnet"
"timegp",6,0.0341463414634146,6,"FacesUCR","glmnet"
"catch22",22,0.0478048780487805,7,"FacesUCR","glmnet"
"feasts",38,0.0497560975609756,7,"FacesUCR","glmnet"
"tsfeatures",59,0.0458536585365854,7,"FacesUCR","glmnet"
"TSFEL",144,0.048780487804878,7,"FacesUCR","glmnet"
"Kats",35,0.0346341463414634,7,"FacesUCR","glmnet"
"tsfresh",594,0.0507317073170732,7,"FacesUCR","glmnet"
"timegp",6,0.0907317073170732,7,"FacesUCR","glmnet"
"catch22",22,0.0585365853658537,8,"FacesUCR","glmnet"
"feasts",37,0.0429268292682927,8,"FacesUCR","glmnet"
"tsfeatures",59,0.0414634146341463,8,"FacesUCR","glmnet"
"TSFEL",144,0.0565853658536585,8,"FacesUCR","glmnet"
"Kats",35,0.048780487804878,8,"FacesUCR","glmnet"
"tsfresh",594,0.0526829268292683,8,"FacesUCR","glmnet"
"timegp",6,0.0239024390243902,8,"FacesUCR","glmnet"
"catch22",22,0.0560975609756098,9,"FacesUCR","glmnet"
"feasts",37,0.051219512195122,9,"FacesUCR","glmnet"
"tsfeatures",59,0.0531707317073171,9,"FacesUCR","glmnet"
"TSFEL",144,0.055609756097561,9,"FacesUCR","glmnet"
"Kats",35,0.0380487804878049,9,"FacesUCR","glmnet"
"tsfresh",595,0.0439024390243902,9,"FacesUCR","glmnet"
"timegp",6,0.0526829268292683,9,"FacesUCR","glmnet"
"catch22",22,0.0604878048780488,10,"FacesUCR","glmnet"
"feasts",38,0.06,10,"FacesUCR","glmnet"
"tsfeatures",59,0.0463414634146341,10,"FacesUCR","glmnet"
"TSFEL",144,0.0531707317073171,10,"FacesUCR","glmnet"
"Kats",35,0.0482926829268293,10,"FacesUCR","glmnet"
"tsfresh",595,0.0482926829268293,10,"FacesUCR","glmnet"
"timegp",6,0.0907317073170732,10,"FacesUCR","glmnet"
"catch22",22,0.0541463414634146,11,"FacesUCR","glmnet"
"feasts",37,0.0482926829268293,11,"FacesUCR","glmnet"
"tsfeatures",59,0.0521951219512195,11,"FacesUCR","glmnet"
"TSFEL",144,0.0546341463414634,11,"FacesUCR","glmnet"
"Kats",35,0.0453658536585366,11,"FacesUCR","glmnet"
"tsfresh",594,0.0453658536585366,11,"FacesUCR","glmnet"
"timegp",6,0.0809756097560976,11,"FacesUCR","glmnet"
"catch22",22,0.0585365853658537,12,"FacesUCR","glmnet"
"feasts",37,0.0404878048780488,12,"FacesUCR","glmnet"
"tsfeatures",59,0.0482926829268293,12,"FacesUCR","glmnet"
"TSFEL",144,0.0468292682926829,12,"FacesUCR","glmnet"
"Kats",35,0.0351219512195122,12,"FacesUCR","glmnet"
"tsfresh",593,0.0492682926829268,12,"FacesUCR","glmnet"
"timegp",6,0.100487804878049,12,"FacesUCR","glmnet"
"catch22",22,0.0517073170731707,13,"FacesUCR","glmnet"
"feasts",37,0.051219512195122,13,"FacesUCR","glmnet"
"tsfeatures",59,0.0478048780487805,13,"FacesUCR","glmnet"
"TSFEL",144,0.0560975609756098,13,"FacesUCR","glmnet"
"Kats",35,0.0482926829268293,13,"FacesUCR","glmnet"
"tsfresh",594,0.0531707317073171,13,"FacesUCR","glmnet"
"timegp",6,0.0531707317073171,13,"FacesUCR","glmnet"
"catch22",22,0.0521951219512195,14,"FacesUCR","glmnet"
"feasts",36,0.0468292682926829,14,"FacesUCR","glmnet"
"tsfeatures",59,0.0502439024390244,14,"FacesUCR","glmnet"
"TSFEL",144,0.0526829268292683,14,"FacesUCR","glmnet"
"Kats",35,0.0458536585365854,14,"FacesUCR","glmnet"
"tsfresh",594,0.0468292682926829,14,"FacesUCR","glmnet"
"timegp",6,0.0224390243902439,14,"FacesUCR","glmnet"
"catch22",22,0.0619512195121951,15,"FacesUCR","glmnet"
"feasts",37,0.0424390243902439,15,"FacesUCR","glmnet"
"tsfeatures",59,0.0468292682926829,15,"FacesUCR","glmnet"
"TSFEL",144,0.0473170731707317,15,"FacesUCR","glmnet"
"Kats",35,0.0385365853658537,15,"FacesUCR","glmnet"
"tsfresh",594,0.0448780487804878,15,"FacesUCR","glmnet"
"timegp",6,NA,15,"FacesUCR","glmnet"
"catch22",22,0.0541463414634146,16,"FacesUCR","glmnet"
"feasts",36,0.0497560975609756,16,"FacesUCR","glmnet"
"tsfeatures",59,0.0434146341463415,16,"FacesUCR","glmnet"
"TSFEL",144,0.0565853658536585,16,"FacesUCR","glmnet"
"Kats",35,0.0482926829268293,16,"FacesUCR","glmnet"
"tsfresh",595,0.0473170731707317,16,"FacesUCR","glmnet"
"timegp",6,0.0814634146341463,16,"FacesUCR","glmnet"
"catch22",22,0.0546341463414634,17,"FacesUCR","glmnet"
"feasts",37,NA,17,"FacesUCR","glmnet"
"tsfeatures",59,0.0521951219512195,17,"FacesUCR","glmnet"
"TSFEL",144,0.0619512195121951,17,"FacesUCR","glmnet"
"Kats",35,0.0341463414634146,17,"FacesUCR","glmnet"
"tsfresh",596,0.0482926829268293,17,"FacesUCR","glmnet"
"timegp",6,0.0404878048780488,17,"FacesUCR","glmnet"
"catch22",22,0.0482926829268293,18,"FacesUCR","glmnet"
"feasts",38,0.0448780487804878,18,"FacesUCR","glmnet"
"tsfeatures",59,0.0424390243902439,18,"FacesUCR","glmnet"
"TSFEL",144,NA,18,"FacesUCR","glmnet"
"Kats",35,0.0375609756097561,18,"FacesUCR","glmnet"
"tsfresh",597,0.048780487804878,18,"FacesUCR","glmnet"
"timegp",6,0.0560975609756098,18,"FacesUCR","glmnet"
"catch22",22,0.0507317073170732,19,"FacesUCR","glmnet"
"feasts",38,NA,19,"FacesUCR","glmnet"
"tsfeatures",59,0.051219512195122,19,"FacesUCR","glmnet"
"TSFEL",144,0.0580487804878049,19,"FacesUCR","glmnet"
"Kats",35,0.0390243902439024,19,"FacesUCR","glmnet"
"tsfresh",598,0.0497560975609756,19,"FacesUCR","glmnet"
"timegp",6,0.0282926829268293,19,"FacesUCR","glmnet"
"catch22",22,0.0521951219512195,20,"FacesUCR","glmnet"
"feasts",38,0.0546341463414634,20,"FacesUCR","glmnet"
"tsfeatures",59,0.0448780487804878,20,"FacesUCR","glmnet"
"TSFEL",144,0.051219512195122,20,"FacesUCR","glmnet"
"Kats",35,0.0502439024390244,20,"FacesUCR","glmnet"
"tsfresh",596,0.0448780487804878,20,"FacesUCR","glmnet"
"timegp",6,0.0921951219512195,20,"FacesUCR","glmnet"
"catch22",22,0.0463414634146341,21,"FacesUCR","glmnet"
"feasts",37,0.0434146341463415,21,"FacesUCR","glmnet"
"tsfeatures",59,0.048780487804878,21,"FacesUCR","glmnet"
"TSFEL",144,0.055609756097561,21,"FacesUCR","glmnet"
"Kats",35,0.0282926829268293,21,"FacesUCR","glmnet"
"tsfresh",593,0.0546341463414634,21,"FacesUCR","glmnet"
"timegp",6,0.0351219512195122,21,"FacesUCR","glmnet"
"catch22",22,0.055609756097561,22,"FacesUCR","glmnet"
"feasts",38,0.0478048780487805,22,"FacesUCR","glmnet"
"tsfeatures",59,0.048780487804878,22,"FacesUCR","glmnet"
"TSFEL",144,0.0590243902439024,22,"FacesUCR","glmnet"
"Kats",35,0.0448780487804878,22,"FacesUCR","glmnet"
"tsfresh",594,0.0502439024390244,22,"FacesUCR","glmnet"
"timegp",6,0.104878048780488,22,"FacesUCR","glmnet"
"catch22",22,0.0560975609756098,23,"FacesUCR","glmnet"
"feasts",38,0.0507317073170732,23,"FacesUCR","glmnet"
"tsfeatures",59,0.0468292682926829,23,"FacesUCR","glmnet"
"TSFEL",144,0.0546341463414634,23,"FacesUCR","glmnet"
"Kats",35,0.0404878048780488,23,"FacesUCR","glmnet"
"tsfresh",594,0.0565853658536585,23,"FacesUCR","glmnet"
"timegp",6,0.0560975609756098,23,"FacesUCR","glmnet"
"catch22",22,0.0634146341463415,24,"FacesUCR","glmnet"
"feasts",38,0.0434146341463415,24,"FacesUCR","glmnet"
"tsfeatures",59,0.0531707317073171,24,"FacesUCR","glmnet"
"TSFEL",144,0.0546341463414634,24,"FacesUCR","glmnet"
"Kats",35,0.0458536585365854,24,"FacesUCR","glmnet"
"tsfresh",595,0.0439024390243902,24,"FacesUCR","glmnet"
"timegp",6,0.0517073170731707,24,"FacesUCR","glmnet"
