"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",21,0.955438596491228,1,"FreezerSmallTrain","glmnet"
"feasts",31,0.815438596491228,1,"FreezerSmallTrain","glmnet"
"tsfeatures",57,0.799649122807017,1,"FreezerSmallTrain","glmnet"
"TSFEL",142,0.823508771929825,1,"FreezerSmallTrain","glmnet"
"Kats",34,0.803508771929825,1,"FreezerSmallTrain","glmnet"
"tsfresh",731,0.812982456140351,1,"FreezerSmallTrain","glmnet"
"timegp",1,NA,1,"FreezerSmallTrain","glmnet"
"catch22",21,0.992280701754386,2,"FreezerSmallTrain","glmnet"
"feasts",33,0.849122807017544,2,"FreezerSmallTrain","glmnet"
"tsfeatures",58,0.852280701754386,2,"FreezerSmallTrain","glmnet"
"TSFEL",144,0.889122807017544,2,"FreezerSmallTrain","glmnet"
"Kats",34,0.819649122807018,2,"FreezerSmallTrain","glmnet"
"tsfresh",738,0.867368421052632,2,"FreezerSmallTrain","glmnet"
"timegp",1,NA,2,"FreezerSmallTrain","glmnet"
"catch22",22,0.951228070175439,3,"FreezerSmallTrain","glmnet"
"feasts",31,0.847368421052632,3,"FreezerSmallTrain","glmnet"
"tsfeatures",57,0.834385964912281,3,"FreezerSmallTrain","glmnet"
"TSFEL",142,0.883508771929825,3,"FreezerSmallTrain","glmnet"
"Kats",33,0.798245614035088,3,"FreezerSmallTrain","glmnet"
"tsfresh",733,0.798245614035088,3,"FreezerSmallTrain","glmnet"
"timegp",1,NA,3,"FreezerSmallTrain","glmnet"
"catch22",21,0.98280701754386,4,"FreezerSmallTrain","glmnet"
"feasts",31,0.841754385964912,4,"FreezerSmallTrain","glmnet"
"tsfeatures",57,0.82421052631579,4,"FreezerSmallTrain","glmnet"
"TSFEL",142,0.85578947368421,4,"FreezerSmallTrain","glmnet"
"Kats",33,0.801754385964912,4,"FreezerSmallTrain","glmnet"
"tsfresh",735,0.829824561403509,4,"FreezerSmallTrain","glmnet"
"timegp",1,NA,4,"FreezerSmallTrain","glmnet"
