"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.984177215189873,1,"GunPointMaleVersusFemale","glmnet"
"feasts",36,0.996835443037975,1,"GunPointMaleVersusFemale","glmnet"
"tsfeatures",59,0.993670886075949,1,"GunPointMaleVersusFemale","glmnet"
"TSFEL",142,0.993670886075949,1,"GunPointMaleVersusFemale","glmnet"
"Kats",36,0.993670886075949,1,"GunPointMaleVersusFemale","glmnet"
"tsfresh",638,0.984177215189873,1,"GunPointMaleVersusFemale","glmnet"
"timegp",1,NA,1,"GunPointMaleVersusFemale","glmnet"
"catch22",22,0.990506329113924,2,"GunPointMaleVersusFemale","glmnet"
"feasts",36,0.993670886075949,2,"GunPointMaleVersusFemale","glmnet"
"tsfeatures",59,0.996835443037975,2,"GunPointMaleVersusFemale","glmnet"
"TSFEL",142,0.996835443037975,2,"GunPointMaleVersusFemale","glmnet"
"Kats",36,0.984177215189873,2,"GunPointMaleVersusFemale","glmnet"
"tsfresh",638,0.984177215189873,2,"GunPointMaleVersusFemale","glmnet"
"timegp",1,NA,2,"GunPointMaleVersusFemale","glmnet"
"catch22",22,0.990506329113924,3,"GunPointMaleVersusFemale","glmnet"
"feasts",36,0.996835443037975,3,"GunPointMaleVersusFemale","glmnet"
"tsfeatures",59,0.996835443037975,3,"GunPointMaleVersusFemale","glmnet"
"TSFEL",142,0.993670886075949,3,"GunPointMaleVersusFemale","glmnet"
"Kats",36,0.987341772151899,3,"GunPointMaleVersusFemale","glmnet"
"tsfresh",638,0.993670886075949,3,"GunPointMaleVersusFemale","glmnet"
"timegp",1,NA,3,"GunPointMaleVersusFemale","glmnet"
"catch22",22,0.971518987341772,4,"GunPointMaleVersusFemale","glmnet"
"feasts",36,0.996835443037975,4,"GunPointMaleVersusFemale","glmnet"
"tsfeatures",59,0.996835443037975,4,"GunPointMaleVersusFemale","glmnet"
"TSFEL",142,0.990506329113924,4,"GunPointMaleVersusFemale","glmnet"
"Kats",36,0.993670886075949,4,"GunPointMaleVersusFemale","glmnet"
"tsfresh",638,0.993670886075949,4,"GunPointMaleVersusFemale","glmnet"
"timegp",1,NA,4,"GunPointMaleVersusFemale","glmnet"
"catch22",22,0.977848101265823,5,"GunPointMaleVersusFemale","glmnet"
"feasts",36,0.996835443037975,5,"GunPointMaleVersusFemale","glmnet"
"tsfeatures",59,0.996835443037975,5,"GunPointMaleVersusFemale","glmnet"
"TSFEL",142,0.987341772151899,5,"GunPointMaleVersusFemale","glmnet"
"Kats",36,0.990506329113924,5,"GunPointMaleVersusFemale","glmnet"
"tsfresh",637,0.996835443037975,5,"GunPointMaleVersusFemale","glmnet"
"timegp",1,NA,5,"GunPointMaleVersusFemale","glmnet"
"catch22",22,0.987341772151899,6,"GunPointMaleVersusFemale","glmnet"
"feasts",36,0.996835443037975,6,"GunPointMaleVersusFemale","glmnet"
"tsfeatures",59,0.993670886075949,6,"GunPointMaleVersusFemale","glmnet"
"TSFEL",142,0.987341772151899,6,"GunPointMaleVersusFemale","glmnet"
"Kats",36,0.990506329113924,6,"GunPointMaleVersusFemale","glmnet"
"tsfresh",638,0.977848101265823,6,"GunPointMaleVersusFemale","glmnet"
"timegp",1,NA,6,"GunPointMaleVersusFemale","glmnet"
"catch22",22,0.987341772151899,7,"GunPointMaleVersusFemale","glmnet"
"feasts",36,0.996835443037975,7,"GunPointMaleVersusFemale","glmnet"
"tsfeatures",59,0.993670886075949,7,"GunPointMaleVersusFemale","glmnet"
"TSFEL",142,0.996835443037975,7,"GunPointMaleVersusFemale","glmnet"
"Kats",36,0.990506329113924,7,"GunPointMaleVersusFemale","glmnet"
"tsfresh",637,0.996835443037975,7,"GunPointMaleVersusFemale","glmnet"
"timegp",1,NA,7,"GunPointMaleVersusFemale","glmnet"
"catch22",22,0.993670886075949,8,"GunPointMaleVersusFemale","glmnet"
"feasts",36,0.996835443037975,8,"GunPointMaleVersusFemale","glmnet"
"tsfeatures",59,0.993670886075949,8,"GunPointMaleVersusFemale","glmnet"
"TSFEL",142,0.996835443037975,8,"GunPointMaleVersusFemale","glmnet"
"Kats",36,0.993670886075949,8,"GunPointMaleVersusFemale","glmnet"
"tsfresh",638,0.993670886075949,8,"GunPointMaleVersusFemale","glmnet"
"timegp",1,NA,8,"GunPointMaleVersusFemale","glmnet"
