"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.726907630522088,1,"InsectEPGSmallTrain","glmnet"
"feasts",35,0.819277108433735,1,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,NA,1,"InsectEPGSmallTrain","glmnet"
"TSFEL",141,0.91566265060241,1,"InsectEPGSmallTrain","glmnet"
"Kats",36,0.847389558232932,1,"InsectEPGSmallTrain","glmnet"
"tsfresh",733,0.891566265060241,1,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,1,"InsectEPGSmallTrain","glmnet"
"catch22",22,0.751004016064257,2,"InsectEPGSmallTrain","glmnet"
"feasts",36,0.674698795180723,2,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,0.763052208835341,2,"InsectEPGSmallTrain","glmnet"
"TSFEL",142,0.755020080321285,2,"InsectEPGSmallTrain","glmnet"
"Kats",36,NA,2,"InsectEPGSmallTrain","glmnet"
"tsfresh",732,0.779116465863454,2,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,2,"InsectEPGSmallTrain","glmnet"
"catch22",22,0.730923694779116,3,"InsectEPGSmallTrain","glmnet"
"feasts",37,0.799196787148594,3,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,0.839357429718876,3,"InsectEPGSmallTrain","glmnet"
"TSFEL",143,0.847389558232932,3,"InsectEPGSmallTrain","glmnet"
"Kats",36,0.831325301204819,3,"InsectEPGSmallTrain","glmnet"
"tsfresh",733,NA,3,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,3,"InsectEPGSmallTrain","glmnet"
"catch22",22,0.763052208835341,4,"InsectEPGSmallTrain","glmnet"
"feasts",35,NA,4,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,0.85140562248996,4,"InsectEPGSmallTrain","glmnet"
"TSFEL",142,0.859437751004016,4,"InsectEPGSmallTrain","glmnet"
"Kats",36,0.807228915662651,4,"InsectEPGSmallTrain","glmnet"
"tsfresh",734,0.859437751004016,4,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,4,"InsectEPGSmallTrain","glmnet"
"catch22",22,0.775100401606426,5,"InsectEPGSmallTrain","glmnet"
"feasts",35,0.803212851405622,5,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,0.807228915662651,5,"InsectEPGSmallTrain","glmnet"
"TSFEL",141,0.867469879518072,5,"InsectEPGSmallTrain","glmnet"
"Kats",36,0.819277108433735,5,"InsectEPGSmallTrain","glmnet"
"tsfresh",735,0.85140562248996,5,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,5,"InsectEPGSmallTrain","glmnet"
"catch22",22,0.738955823293173,6,"InsectEPGSmallTrain","glmnet"
"feasts",35,0.771084337349398,6,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,0.831325301204819,6,"InsectEPGSmallTrain","glmnet"
"TSFEL",141,0.839357429718876,6,"InsectEPGSmallTrain","glmnet"
"Kats",36,0.819277108433735,6,"InsectEPGSmallTrain","glmnet"
"tsfresh",733,0.791164658634538,6,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,6,"InsectEPGSmallTrain","glmnet"
"catch22",22,0.76706827309237,7,"InsectEPGSmallTrain","glmnet"
"feasts",37,0.803212851405622,7,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,0.783132530120482,7,"InsectEPGSmallTrain","glmnet"
"TSFEL",143,0.8714859437751,7,"InsectEPGSmallTrain","glmnet"
"Kats",36,0.823293172690763,7,"InsectEPGSmallTrain","glmnet"
"tsfresh",733,0.855421686746988,7,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,7,"InsectEPGSmallTrain","glmnet"
"catch22",22,0.763052208835341,8,"InsectEPGSmallTrain","glmnet"
"feasts",36,0.815261044176707,8,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,0.875502008032129,8,"InsectEPGSmallTrain","glmnet"
"TSFEL",142,NA,8,"InsectEPGSmallTrain","glmnet"
"Kats",36,0.847389558232932,8,"InsectEPGSmallTrain","glmnet"
"tsfresh",732,0.891566265060241,8,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,8,"InsectEPGSmallTrain","glmnet"
"catch22",22,0.771084337349398,9,"InsectEPGSmallTrain","glmnet"
"feasts",35,NA,9,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,0.855421686746988,9,"InsectEPGSmallTrain","glmnet"
"TSFEL",142,NA,9,"InsectEPGSmallTrain","glmnet"
"Kats",36,0.855421686746988,9,"InsectEPGSmallTrain","glmnet"
"tsfresh",731,0.867469879518072,9,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,9,"InsectEPGSmallTrain","glmnet"
"catch22",22,0.734939759036145,10,"InsectEPGSmallTrain","glmnet"
"feasts",36,0.827309236947791,10,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,0.85140562248996,10,"InsectEPGSmallTrain","glmnet"
"TSFEL",143,0.875502008032129,10,"InsectEPGSmallTrain","glmnet"
"Kats",36,0.847389558232932,10,"InsectEPGSmallTrain","glmnet"
"tsfresh",733,NA,10,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,10,"InsectEPGSmallTrain","glmnet"
"catch22",22,0.730923694779116,11,"InsectEPGSmallTrain","glmnet"
"feasts",36,0.779116465863454,11,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,0.819277108433735,11,"InsectEPGSmallTrain","glmnet"
"TSFEL",143,0.863453815261044,11,"InsectEPGSmallTrain","glmnet"
"Kats",36,0.843373493975904,11,"InsectEPGSmallTrain","glmnet"
"tsfresh",731,0.823293172690763,11,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,11,"InsectEPGSmallTrain","glmnet"
"catch22",22,NA,12,"InsectEPGSmallTrain","glmnet"
"feasts",35,0.815261044176707,12,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,NA,12,"InsectEPGSmallTrain","glmnet"
"TSFEL",141,NA,12,"InsectEPGSmallTrain","glmnet"
"Kats",36,NA,12,"InsectEPGSmallTrain","glmnet"
"tsfresh",734,0.831325301204819,12,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,12,"InsectEPGSmallTrain","glmnet"
"catch22",22,0.755020080321285,13,"InsectEPGSmallTrain","glmnet"
"feasts",35,0.811244979919679,13,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,0.827309236947791,13,"InsectEPGSmallTrain","glmnet"
"TSFEL",141,0.867469879518072,13,"InsectEPGSmallTrain","glmnet"
"Kats",36,NA,13,"InsectEPGSmallTrain","glmnet"
"tsfresh",733,0.875502008032129,13,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,13,"InsectEPGSmallTrain","glmnet"
"catch22",22,0.799196787148594,14,"InsectEPGSmallTrain","glmnet"
"feasts",36,0.823293172690763,14,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,0.887550200803213,14,"InsectEPGSmallTrain","glmnet"
"TSFEL",141,NA,14,"InsectEPGSmallTrain","glmnet"
"Kats",36,0.847389558232932,14,"InsectEPGSmallTrain","glmnet"
"tsfresh",731,NA,14,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,14,"InsectEPGSmallTrain","glmnet"
"catch22",22,0.763052208835341,15,"InsectEPGSmallTrain","glmnet"
"feasts",36,0.831325301204819,15,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,0.8714859437751,15,"InsectEPGSmallTrain","glmnet"
"TSFEL",142,0.899598393574297,15,"InsectEPGSmallTrain","glmnet"
"Kats",36,0.855421686746988,15,"InsectEPGSmallTrain","glmnet"
"tsfresh",730,0.827309236947791,15,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,15,"InsectEPGSmallTrain","glmnet"
"catch22",22,0.779116465863454,16,"InsectEPGSmallTrain","glmnet"
"feasts",36,NA,16,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,0.883534136546185,16,"InsectEPGSmallTrain","glmnet"
"TSFEL",141,0.895582329317269,16,"InsectEPGSmallTrain","glmnet"
"Kats",36,NA,16,"InsectEPGSmallTrain","glmnet"
"tsfresh",734,0.867469879518072,16,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,16,"InsectEPGSmallTrain","glmnet"
"catch22",22,0.78714859437751,17,"InsectEPGSmallTrain","glmnet"
"feasts",35,0.807228915662651,17,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,NA,17,"InsectEPGSmallTrain","glmnet"
"TSFEL",143,0.899598393574297,17,"InsectEPGSmallTrain","glmnet"
"Kats",36,0.863453815261044,17,"InsectEPGSmallTrain","glmnet"
"tsfresh",732,0.903614457831325,17,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,17,"InsectEPGSmallTrain","glmnet"
"catch22",22,0.783132530120482,18,"InsectEPGSmallTrain","glmnet"
"feasts",36,NA,18,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,0.855421686746988,18,"InsectEPGSmallTrain","glmnet"
"TSFEL",142,0.867469879518072,18,"InsectEPGSmallTrain","glmnet"
"Kats",36,0.811244979919679,18,"InsectEPGSmallTrain","glmnet"
"tsfresh",732,0.85140562248996,18,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,18,"InsectEPGSmallTrain","glmnet"
"catch22",22,0.72289156626506,19,"InsectEPGSmallTrain","glmnet"
"feasts",35,NA,19,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,0.827309236947791,19,"InsectEPGSmallTrain","glmnet"
"TSFEL",141,0.78714859437751,19,"InsectEPGSmallTrain","glmnet"
"Kats",36,0.847389558232932,19,"InsectEPGSmallTrain","glmnet"
"tsfresh",732,NA,19,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,19,"InsectEPGSmallTrain","glmnet"
"catch22",22,0.779116465863454,20,"InsectEPGSmallTrain","glmnet"
"feasts",35,NA,20,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,0.855421686746988,20,"InsectEPGSmallTrain","glmnet"
"TSFEL",142,0.863453815261044,20,"InsectEPGSmallTrain","glmnet"
"Kats",36,0.819277108433735,20,"InsectEPGSmallTrain","glmnet"
"tsfresh",732,0.843373493975904,20,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,20,"InsectEPGSmallTrain","glmnet"
"catch22",22,0.746987951807229,21,"InsectEPGSmallTrain","glmnet"
"feasts",36,0.791164658634538,21,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,0.903614457831325,21,"InsectEPGSmallTrain","glmnet"
"TSFEL",143,0.91566265060241,21,"InsectEPGSmallTrain","glmnet"
"Kats",36,0.887550200803213,21,"InsectEPGSmallTrain","glmnet"
"tsfresh",732,0.835341365461847,21,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,21,"InsectEPGSmallTrain","glmnet"
"catch22",22,0.783132530120482,22,"InsectEPGSmallTrain","glmnet"
"feasts",35,0.835341365461847,22,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,0.879518072289157,22,"InsectEPGSmallTrain","glmnet"
"TSFEL",141,0.887550200803213,22,"InsectEPGSmallTrain","glmnet"
"Kats",36,0.859437751004016,22,"InsectEPGSmallTrain","glmnet"
"tsfresh",734,0.811244979919679,22,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,22,"InsectEPGSmallTrain","glmnet"
"catch22",22,0.755020080321285,23,"InsectEPGSmallTrain","glmnet"
"feasts",37,NA,23,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,NA,23,"InsectEPGSmallTrain","glmnet"
"TSFEL",143,0.827309236947791,23,"InsectEPGSmallTrain","glmnet"
"Kats",36,0.807228915662651,23,"InsectEPGSmallTrain","glmnet"
"tsfresh",733,0.799196787148594,23,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,23,"InsectEPGSmallTrain","glmnet"
"catch22",22,NA,24,"InsectEPGSmallTrain","glmnet"
"feasts",35,NA,24,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,0.8714859437751,24,"InsectEPGSmallTrain","glmnet"
"TSFEL",142,0.899598393574297,24,"InsectEPGSmallTrain","glmnet"
"Kats",36,0.843373493975904,24,"InsectEPGSmallTrain","glmnet"
"tsfresh",731,0.807228915662651,24,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,24,"InsectEPGSmallTrain","glmnet"
"catch22",22,0.755020080321285,25,"InsectEPGSmallTrain","glmnet"
"feasts",35,NA,25,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,NA,25,"InsectEPGSmallTrain","glmnet"
"TSFEL",143,0.867469879518072,25,"InsectEPGSmallTrain","glmnet"
"Kats",36,0.859437751004016,25,"InsectEPGSmallTrain","glmnet"
"tsfresh",733,0.823293172690763,25,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,25,"InsectEPGSmallTrain","glmnet"
"catch22",22,0.771084337349398,26,"InsectEPGSmallTrain","glmnet"
"feasts",34,0.795180722891566,26,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,0.859437751004016,26,"InsectEPGSmallTrain","glmnet"
"TSFEL",143,0.863453815261044,26,"InsectEPGSmallTrain","glmnet"
"Kats",36,0.859437751004016,26,"InsectEPGSmallTrain","glmnet"
"tsfresh",732,0.875502008032129,26,"InsectEPGSmallTrain","glmnet"
"timegp",1,NA,26,"InsectEPGSmallTrain","glmnet"
"catch22",22,0.779116465863454,27,"InsectEPGSmallTrain","glmnet"
"feasts",35,0.803212851405622,27,"InsectEPGSmallTrain","glmnet"
"tsfeatures",59,0.883534136546185,27,"InsectEPGSmallTrain","glmnet"
"TSFEL",141,0.919678714859438,27,"InsectEPGSmallTrain","glmnet"
