"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.917293233082707,1,"KeplerLightCurves","glmnet"
"feasts",39,0.929824561403509,1,"KeplerLightCurves","glmnet"
"tsfeatures",59,0.969924812030075,1,"KeplerLightCurves","glmnet"
"TSFEL",144,0.962406015037594,1,"KeplerLightCurves","glmnet"
"Kats",36,0.947368421052632,1,"KeplerLightCurves","glmnet"
"tsfresh",737,0.942355889724311,1,"KeplerLightCurves","glmnet"
"timegp",6,0.483709273182957,1,"KeplerLightCurves","glmnet"
"catch22",22,0.897243107769424,2,"KeplerLightCurves","glmnet"
"feasts",39,0.907268170426065,2,"KeplerLightCurves","glmnet"
"tsfeatures",59,0.93734335839599,2,"KeplerLightCurves","glmnet"
"TSFEL",144,0.93984962406015,2,"KeplerLightCurves","glmnet"
"Kats",36,0.917293233082707,2,"KeplerLightCurves","glmnet"
"tsfresh",737,0.952380952380952,2,"KeplerLightCurves","glmnet"
"timegp",6,0.491228070175439,2,"KeplerLightCurves","glmnet"
"catch22",22,0.912280701754386,3,"KeplerLightCurves","glmnet"
"feasts",39,0.919799498746867,3,"KeplerLightCurves","glmnet"
"tsfeatures",59,0.952380952380952,3,"KeplerLightCurves","glmnet"
"TSFEL",144,0.93984962406015,3,"KeplerLightCurves","glmnet"
"Kats",36,0.929824561403509,3,"KeplerLightCurves","glmnet"
"tsfresh",738,0.947368421052632,3,"KeplerLightCurves","glmnet"
"timegp",6,0.488721804511278,3,"KeplerLightCurves","glmnet"
"catch22",22,0.912280701754386,4,"KeplerLightCurves","glmnet"
"feasts",39,0.917293233082707,4,"KeplerLightCurves","glmnet"
"tsfeatures",59,0.944862155388471,4,"KeplerLightCurves","glmnet"
"TSFEL",144,0.947368421052632,4,"KeplerLightCurves","glmnet"
"Kats",36,0.93734335839599,4,"KeplerLightCurves","glmnet"
"tsfresh",738,0.952380952380952,4,"KeplerLightCurves","glmnet"
"timegp",6,0.466165413533835,4,"KeplerLightCurves","glmnet"
"catch22",22,0.912280701754386,5,"KeplerLightCurves","glmnet"
"feasts",39,0.959899749373434,5,"KeplerLightCurves","glmnet"
"tsfeatures",59,0.962406015037594,5,"KeplerLightCurves","glmnet"
"TSFEL",144,0.959899749373434,5,"KeplerLightCurves","glmnet"
"Kats",36,0.947368421052632,5,"KeplerLightCurves","glmnet"
"tsfresh",738,0.957393483709273,5,"KeplerLightCurves","glmnet"
"timegp",6,0.473684210526316,5,"KeplerLightCurves","glmnet"
"catch22",22,0.902255639097744,6,"KeplerLightCurves","glmnet"
"feasts",39,0.927318295739348,6,"KeplerLightCurves","glmnet"
"tsfeatures",59,0.947368421052632,6,"KeplerLightCurves","glmnet"
"TSFEL",144,0.952380952380952,6,"KeplerLightCurves","glmnet"
"Kats",36,0.932330827067669,6,"KeplerLightCurves","glmnet"
"tsfresh",738,0.949874686716792,6,"KeplerLightCurves","glmnet"
"timegp",6,0.493734335839599,6,"KeplerLightCurves","glmnet"
"catch22",22,0.909774436090226,7,"KeplerLightCurves","glmnet"
"feasts",39,0.912280701754386,7,"KeplerLightCurves","glmnet"
"tsfeatures",59,0.949874686716792,7,"KeplerLightCurves","glmnet"
"TSFEL",144,0.962406015037594,7,"KeplerLightCurves","glmnet"
"Kats",36,0.93734335839599,7,"KeplerLightCurves","glmnet"
"tsfresh",737,0.954887218045113,7,"KeplerLightCurves","glmnet"
"timegp",6,0.486215538847118,7,"KeplerLightCurves","glmnet"
"catch22",22,0.907268170426065,8,"KeplerLightCurves","glmnet"
"feasts",39,0.922305764411028,8,"KeplerLightCurves","glmnet"
"tsfeatures",59,0.942355889724311,8,"KeplerLightCurves","glmnet"
"TSFEL",144,0.93984962406015,8,"KeplerLightCurves","glmnet"
"Kats",36,0.924812030075188,8,"KeplerLightCurves","glmnet"
"tsfresh",738,0.932330827067669,8,"KeplerLightCurves","glmnet"
"timegp",6,0.496240601503759,8,"KeplerLightCurves","glmnet"
"catch22",22,0.899749373433584,9,"KeplerLightCurves","glmnet"
"feasts",38,0.929824561403509,9,"KeplerLightCurves","glmnet"
"tsfeatures",59,0.93734335839599,9,"KeplerLightCurves","glmnet"
"TSFEL",144,0.93984962406015,9,"KeplerLightCurves","glmnet"
"Kats",36,0.929824561403509,9,"KeplerLightCurves","glmnet"
"tsfresh",738,0.942355889724311,9,"KeplerLightCurves","glmnet"
