"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.690721649484536,1,"MiddlePhalanxOutlineCorrect","glmnet"
"feasts",33,0.752577319587629,1,"MiddlePhalanxOutlineCorrect","glmnet"
"tsfeatures",59,0.77319587628866,1,"MiddlePhalanxOutlineCorrect","glmnet"
"TSFEL",142,0.752577319587629,1,"MiddlePhalanxOutlineCorrect","glmnet"
"Kats",36,0.793814432989691,1,"MiddlePhalanxOutlineCorrect","glmnet"
"tsfresh",482,0.790378006872852,1,"MiddlePhalanxOutlineCorrect","glmnet"
"timegp",8,0.694158075601375,1,"MiddlePhalanxOutlineCorrect","glmnet"
"catch22",22,0.673539518900344,2,"MiddlePhalanxOutlineCorrect","glmnet"
"feasts",33,0.783505154639175,2,"MiddlePhalanxOutlineCorrect","glmnet"
"tsfeatures",59,0.762886597938144,2,"MiddlePhalanxOutlineCorrect","glmnet"
"TSFEL",141,0.786941580756014,2,"MiddlePhalanxOutlineCorrect","glmnet"
"Kats",36,0.790378006872852,2,"MiddlePhalanxOutlineCorrect","glmnet"
"tsfresh",481,0.824742268041237,2,"MiddlePhalanxOutlineCorrect","glmnet"
"timegp",8,0.756013745704467,2,"MiddlePhalanxOutlineCorrect","glmnet"
"catch22",22,0.711340206185567,3,"MiddlePhalanxOutlineCorrect","glmnet"
"feasts",33,0.752577319587629,3,"MiddlePhalanxOutlineCorrect","glmnet"
"tsfeatures",59,0.780068728522337,3,"MiddlePhalanxOutlineCorrect","glmnet"
"TSFEL",141,0.783505154639175,3,"MiddlePhalanxOutlineCorrect","glmnet"
"Kats",36,0.807560137457045,3,"MiddlePhalanxOutlineCorrect","glmnet"
"tsfresh",480,0.852233676975945,3,"MiddlePhalanxOutlineCorrect","glmnet"
"timegp",8,0.745704467353952,3,"MiddlePhalanxOutlineCorrect","glmnet"
"catch22",22,0.652920962199313,4,"MiddlePhalanxOutlineCorrect","glmnet"
"feasts",33,0.725085910652921,4,"MiddlePhalanxOutlineCorrect","glmnet"
"tsfeatures",59,0.718213058419244,4,"MiddlePhalanxOutlineCorrect","glmnet"
"TSFEL",141,0.766323024054983,4,"MiddlePhalanxOutlineCorrect","glmnet"
"Kats",36,0.783505154639175,4,"MiddlePhalanxOutlineCorrect","glmnet"
"tsfresh",481,0.797250859106529,4,"MiddlePhalanxOutlineCorrect","glmnet"
"timegp",8,0.728522336769759,4,"MiddlePhalanxOutlineCorrect","glmnet"
"catch22",22,0.718213058419244,5,"MiddlePhalanxOutlineCorrect","glmnet"
"feasts",33,0.738831615120275,5,"MiddlePhalanxOutlineCorrect","glmnet"
"tsfeatures",59,0.742268041237113,5,"MiddlePhalanxOutlineCorrect","glmnet"
"TSFEL",141,0.786941580756014,5,"MiddlePhalanxOutlineCorrect","glmnet"
