"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",19,0.666666666666667,1,"OliveOil","glmnet"
"feasts",31,0.266666666666667,1,"OliveOil","glmnet"
"tsfeatures",51,0.633333333333333,1,"OliveOil","glmnet"
"TSFEL",139,0.733333333333333,1,"OliveOil","glmnet"
"Kats",32,0.133333333333333,1,"OliveOil","glmnet"
"tsfresh",713,0.766666666666667,1,"OliveOil","glmnet"
"timegp",3,0.6,1,"OliveOil","glmnet"
"catch22",19,0.766666666666667,2,"OliveOil","glmnet"
"feasts",31,NA,2,"OliveOil","glmnet"
"tsfeatures",51,0.3,2,"OliveOil","glmnet"
"TSFEL",139,0.666666666666667,2,"OliveOil","glmnet"
"Kats",33,0.1,2,"OliveOil","glmnet"
"tsfresh",712,0.966666666666667,2,"OliveOil","glmnet"
"timegp",3,0.666666666666667,2,"OliveOil","glmnet"
"catch22",19,0.833333333333333,3,"OliveOil","glmnet"
"feasts",31,0.233333333333333,3,"OliveOil","glmnet"
"tsfeatures",51,0.233333333333333,3,"OliveOil","glmnet"
"TSFEL",139,0.666666666666667,3,"OliveOil","glmnet"
"Kats",33,0.233333333333333,3,"OliveOil","glmnet"
"tsfresh",712,0.866666666666667,3,"OliveOil","glmnet"
"timegp",3,0.3,3,"OliveOil","glmnet"
"catch22",19,0.8,4,"OliveOil","glmnet"
"feasts",31,0.133333333333333,4,"OliveOil","glmnet"
"tsfeatures",51,0.1,4,"OliveOil","glmnet"
"TSFEL",139,0.133333333333333,4,"OliveOil","glmnet"
"Kats",32,0.133333333333333,4,"OliveOil","glmnet"
"tsfresh",713,0.8,4,"OliveOil","glmnet"
"timegp",3,0.233333333333333,4,"OliveOil","glmnet"
"catch22",19,0.766666666666667,5,"OliveOil","glmnet"
"feasts",31,0.3,5,"OliveOil","glmnet"
"tsfeatures",51,0.233333333333333,5,"OliveOil","glmnet"
"TSFEL",139,0.166666666666667,5,"OliveOil","glmnet"
"Kats",33,0.166666666666667,5,"OliveOil","glmnet"
"tsfresh",713,0.766666666666667,5,"OliveOil","glmnet"
"timegp",3,0.366666666666667,5,"OliveOil","glmnet"
"catch22",17,0.4,6,"OliveOil","glmnet"
"feasts",31,0.2,6,"OliveOil","glmnet"
"tsfeatures",51,0.166666666666667,6,"OliveOil","glmnet"
"TSFEL",138,0.466666666666667,6,"OliveOil","glmnet"
"Kats",33,0.266666666666667,6,"OliveOil","glmnet"
"tsfresh",711,0.766666666666667,6,"OliveOil","glmnet"
"timegp",3,0.733333333333333,6,"OliveOil","glmnet"
"catch22",19,0.666666666666667,7,"OliveOil","glmnet"
"feasts",31,0.266666666666667,7,"OliveOil","glmnet"
"tsfeatures",51,0.233333333333333,7,"OliveOil","glmnet"
"TSFEL",139,0.733333333333333,7,"OliveOil","glmnet"
"Kats",32,0.166666666666667,7,"OliveOil","glmnet"
"tsfresh",711,0.866666666666667,7,"OliveOil","glmnet"
"timegp",3,0.4,7,"OliveOil","glmnet"
"catch22",19,0.8,8,"OliveOil","glmnet"
"feasts",31,0.233333333333333,8,"OliveOil","glmnet"
"tsfeatures",51,0.233333333333333,8,"OliveOil","glmnet"
"TSFEL",139,0.733333333333333,8,"OliveOil","glmnet"
"Kats",32,0.2,8,"OliveOil","glmnet"
"tsfresh",712,0.8,8,"OliveOil","glmnet"
"timegp",3,0.366666666666667,8,"OliveOil","glmnet"
"catch22",18,0.833333333333333,9,"OliveOil","glmnet"
"feasts",31,0.266666666666667,9,"OliveOil","glmnet"
"tsfeatures",51,0.333333333333333,9,"OliveOil","glmnet"
"TSFEL",139,0.733333333333333,9,"OliveOil","glmnet"
"Kats",33,0.6,9,"OliveOil","glmnet"
"tsfresh",711,0.866666666666667,9,"OliveOil","glmnet"
"timegp",3,0.666666666666667,9,"OliveOil","glmnet"
"catch22",18,0.666666666666667,10,"OliveOil","glmnet"
"feasts",31,0.266666666666667,10,"OliveOil","glmnet"
"tsfeatures",51,0.233333333333333,10,"OliveOil","glmnet"
"TSFEL",139,0.366666666666667,10,"OliveOil","glmnet"
"Kats",32,0.233333333333333,10,"OliveOil","glmnet"
"tsfresh",712,0.833333333333333,10,"OliveOil","glmnet"
"timegp",3,0.266666666666667,10,"OliveOil","glmnet"
"catch22",18,0.8,11,"OliveOil","glmnet"
"feasts",31,0.266666666666667,11,"OliveOil","glmnet"
"tsfeatures",51,0.133333333333333,11,"OliveOil","glmnet"
"TSFEL",139,0.4,11,"OliveOil","glmnet"
"Kats",32,0.133333333333333,11,"OliveOil","glmnet"
"tsfresh",711,0.766666666666667,11,"OliveOil","glmnet"
"timegp",3,0.266666666666667,11,"OliveOil","glmnet"
"catch22",19,0.733333333333333,12,"OliveOil","glmnet"
"feasts",31,0.2,12,"OliveOil","glmnet"
"tsfeatures",51,0.7,12,"OliveOil","glmnet"
"TSFEL",139,0.7,12,"OliveOil","glmnet"
"Kats",33,0.233333333333333,12,"OliveOil","glmnet"
"tsfresh",710,0.766666666666667,12,"OliveOil","glmnet"
"timegp",3,0.366666666666667,12,"OliveOil","glmnet"
"catch22",19,0.8,13,"OliveOil","glmnet"
"feasts",31,0.3,13,"OliveOil","glmnet"
"tsfeatures",51,0.333333333333333,13,"OliveOil","glmnet"
"TSFEL",139,0.766666666666667,13,"OliveOil","glmnet"
"Kats",33,0.166666666666667,13,"OliveOil","glmnet"
"tsfresh",711,0.866666666666667,13,"OliveOil","glmnet"
"timegp",3,0.366666666666667,13,"OliveOil","glmnet"
"catch22",17,0.733333333333333,14,"OliveOil","glmnet"
"feasts",31,0.2,14,"OliveOil","glmnet"
"tsfeatures",51,0.233333333333333,14,"OliveOil","glmnet"
"TSFEL",138,0.266666666666667,14,"OliveOil","glmnet"
"Kats",33,0.1,14,"OliveOil","glmnet"
