"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,NA,1,"PigCVP","glmnet"
"feasts",37,NA,1,"PigCVP","glmnet"
"tsfeatures",59,NA,1,"PigCVP","glmnet"
"TSFEL",144,NA,1,"PigCVP","glmnet"
"Kats",36,NA,1,"PigCVP","glmnet"
"tsfresh",736,NA,1,"PigCVP","glmnet"
"timegp",7,NA,1,"PigCVP","glmnet"
"catch22",22,NA,2,"PigCVP","glmnet"
"feasts",37,NA,2,"PigCVP","glmnet"
"tsfeatures",59,NA,2,"PigCVP","glmnet"
"TSFEL",144,NA,2,"PigCVP","glmnet"
"Kats",36,NA,2,"PigCVP","glmnet"
"tsfresh",737,NA,2,"PigCVP","glmnet"
"timegp",7,NA,2,"PigCVP","glmnet"
"catch22",22,NA,3,"PigCVP","glmnet"
"feasts",37,NA,3,"PigCVP","glmnet"
"tsfeatures",59,NA,3,"PigCVP","glmnet"
"TSFEL",144,NA,3,"PigCVP","glmnet"
"Kats",36,NA,3,"PigCVP","glmnet"
"tsfresh",737,NA,3,"PigCVP","glmnet"
"timegp",7,NA,3,"PigCVP","glmnet"
"catch22",22,NA,4,"PigCVP","glmnet"
"feasts",37,NA,4,"PigCVP","glmnet"
"tsfeatures",59,NA,4,"PigCVP","glmnet"
"TSFEL",144,NA,4,"PigCVP","glmnet"
"Kats",36,NA,4,"PigCVP","glmnet"
"tsfresh",736,NA,4,"PigCVP","glmnet"
"timegp",7,NA,4,"PigCVP","glmnet"
"catch22",22,NA,5,"PigCVP","glmnet"
"feasts",37,NA,5,"PigCVP","glmnet"
"tsfeatures",59,NA,5,"PigCVP","glmnet"
"TSFEL",144,NA,5,"PigCVP","glmnet"
"Kats",36,NA,5,"PigCVP","glmnet"
"tsfresh",737,NA,5,"PigCVP","glmnet"
"timegp",7,NA,5,"PigCVP","glmnet"
"catch22",22,NA,6,"PigCVP","glmnet"
"feasts",37,NA,6,"PigCVP","glmnet"
"tsfeatures",59,NA,6,"PigCVP","glmnet"
"TSFEL",144,NA,6,"PigCVP","glmnet"
"Kats",36,NA,6,"PigCVP","glmnet"
"tsfresh",737,NA,6,"PigCVP","glmnet"
"timegp",7,NA,6,"PigCVP","glmnet"
"catch22",22,NA,7,"PigCVP","glmnet"
"feasts",37,NA,7,"PigCVP","glmnet"
"tsfeatures",59,NA,7,"PigCVP","glmnet"
"TSFEL",144,NA,7,"PigCVP","glmnet"
"Kats",36,NA,7,"PigCVP","glmnet"
"tsfresh",737,NA,7,"PigCVP","glmnet"
"timegp",7,NA,7,"PigCVP","glmnet"
"catch22",22,NA,8,"PigCVP","glmnet"
"feasts",37,NA,8,"PigCVP","glmnet"
"tsfeatures",59,NA,8,"PigCVP","glmnet"
"TSFEL",144,NA,8,"PigCVP","glmnet"
"Kats",36,NA,8,"PigCVP","glmnet"
"tsfresh",737,NA,8,"PigCVP","glmnet"
"timegp",7,NA,8,"PigCVP","glmnet"
"catch22",22,NA,9,"PigCVP","glmnet"
"feasts",37,NA,9,"PigCVP","glmnet"
"tsfeatures",59,NA,9,"PigCVP","glmnet"
"TSFEL",144,NA,9,"PigCVP","glmnet"
"Kats",36,NA,9,"PigCVP","glmnet"
"tsfresh",737,NA,9,"PigCVP","glmnet"
"timegp",7,NA,9,"PigCVP","glmnet"
"catch22",22,NA,10,"PigCVP","glmnet"
"feasts",37,NA,10,"PigCVP","glmnet"
"tsfeatures",59,NA,10,"PigCVP","glmnet"
"TSFEL",144,NA,10,"PigCVP","glmnet"
"Kats",36,NA,10,"PigCVP","glmnet"
"tsfresh",737,NA,10,"PigCVP","glmnet"
"timegp",7,NA,10,"PigCVP","glmnet"
"catch22",22,NA,11,"PigCVP","glmnet"
"feasts",37,NA,11,"PigCVP","glmnet"
"tsfeatures",59,NA,11,"PigCVP","glmnet"
"TSFEL",144,NA,11,"PigCVP","glmnet"
"Kats",36,NA,11,"PigCVP","glmnet"
"tsfresh",736,NA,11,"PigCVP","glmnet"
"timegp",7,NA,11,"PigCVP","glmnet"
"catch22",22,NA,12,"PigCVP","glmnet"
"feasts",37,NA,12,"PigCVP","glmnet"
"tsfeatures",59,NA,12,"PigCVP","glmnet"
"TSFEL",144,NA,12,"PigCVP","glmnet"
"Kats",36,NA,12,"PigCVP","glmnet"
"tsfresh",737,NA,12,"PigCVP","glmnet"
"timegp",7,NA,12,"PigCVP","glmnet"
"catch22",22,NA,13,"PigCVP","glmnet"
"feasts",37,NA,13,"PigCVP","glmnet"
"tsfeatures",59,NA,13,"PigCVP","glmnet"
"TSFEL",144,NA,13,"PigCVP","glmnet"
"Kats",36,NA,13,"PigCVP","glmnet"
"tsfresh",737,NA,13,"PigCVP","glmnet"
"timegp",7,NA,13,"PigCVP","glmnet"
"catch22",22,NA,14,"PigCVP","glmnet"
"feasts",37,NA,14,"PigCVP","glmnet"
"tsfeatures",59,NA,14,"PigCVP","glmnet"
"TSFEL",144,NA,14,"PigCVP","glmnet"
"Kats",36,NA,14,"PigCVP","glmnet"
"tsfresh",736,NA,14,"PigCVP","glmnet"
"timegp",7,NA,14,"PigCVP","glmnet"
"catch22",22,NA,15,"PigCVP","glmnet"
"feasts",37,NA,15,"PigCVP","glmnet"
"tsfeatures",59,NA,15,"PigCVP","glmnet"
"TSFEL",144,NA,15,"PigCVP","glmnet"
"Kats",36,NA,15,"PigCVP","glmnet"
"tsfresh",735,NA,15,"PigCVP","glmnet"
"timegp",7,NA,15,"PigCVP","glmnet"
"catch22",22,NA,16,"PigCVP","glmnet"
"feasts",37,NA,16,"PigCVP","glmnet"
"tsfeatures",59,NA,16,"PigCVP","glmnet"
"TSFEL",144,NA,16,"PigCVP","glmnet"
"Kats",36,NA,16,"PigCVP","glmnet"
"tsfresh",737,NA,16,"PigCVP","glmnet"
"timegp",7,NA,16,"PigCVP","glmnet"
"catch22",22,NA,17,"PigCVP","glmnet"
"feasts",37,NA,17,"PigCVP","glmnet"
"tsfeatures",59,NA,17,"PigCVP","glmnet"
"TSFEL",144,NA,17,"PigCVP","glmnet"
"Kats",36,NA,17,"PigCVP","glmnet"
"tsfresh",737,NA,17,"PigCVP","glmnet"
"timegp",7,NA,17,"PigCVP","glmnet"
"catch22",22,NA,18,"PigCVP","glmnet"
"feasts",37,NA,18,"PigCVP","glmnet"
"tsfeatures",59,NA,18,"PigCVP","glmnet"
"TSFEL",144,NA,18,"PigCVP","glmnet"
"Kats",36,NA,18,"PigCVP","glmnet"
"tsfresh",737,NA,18,"PigCVP","glmnet"
"timegp",7,NA,18,"PigCVP","glmnet"
"catch22",22,NA,19,"PigCVP","glmnet"
"feasts",37,NA,19,"PigCVP","glmnet"
"tsfeatures",59,NA,19,"PigCVP","glmnet"
"TSFEL",144,NA,19,"PigCVP","glmnet"
"Kats",36,NA,19,"PigCVP","glmnet"
"tsfresh",736,NA,19,"PigCVP","glmnet"
"timegp",7,NA,19,"PigCVP","glmnet"
"catch22",22,NA,20,"PigCVP","glmnet"
"feasts",37,NA,20,"PigCVP","glmnet"
"tsfeatures",59,NA,20,"PigCVP","glmnet"
"TSFEL",144,NA,20,"PigCVP","glmnet"
"Kats",36,NA,20,"PigCVP","glmnet"
"tsfresh",737,NA,20,"PigCVP","glmnet"
"timegp",7,NA,20,"PigCVP","glmnet"
"catch22",22,NA,21,"PigCVP","glmnet"
"feasts",37,NA,21,"PigCVP","glmnet"
"tsfeatures",59,NA,21,"PigCVP","glmnet"
"TSFEL",144,NA,21,"PigCVP","glmnet"
"Kats",36,NA,21,"PigCVP","glmnet"
"tsfresh",737,NA,21,"PigCVP","glmnet"
"timegp",7,NA,21,"PigCVP","glmnet"
"catch22",22,NA,22,"PigCVP","glmnet"
"feasts",37,NA,22,"PigCVP","glmnet"
"tsfeatures",59,NA,22,"PigCVP","glmnet"
"TSFEL",144,NA,22,"PigCVP","glmnet"
"Kats",36,NA,22,"PigCVP","glmnet"
"tsfresh",737,NA,22,"PigCVP","glmnet"
"timegp",7,NA,22,"PigCVP","glmnet"
"catch22",22,NA,23,"PigCVP","glmnet"
"feasts",37,NA,23,"PigCVP","glmnet"
"tsfeatures",59,NA,23,"PigCVP","glmnet"
"TSFEL",144,NA,23,"PigCVP","glmnet"
"Kats",36,NA,23,"PigCVP","glmnet"
"tsfresh",737,NA,23,"PigCVP","glmnet"
"timegp",7,NA,23,"PigCVP","glmnet"
"catch22",22,NA,24,"PigCVP","glmnet"
"feasts",37,NA,24,"PigCVP","glmnet"
"tsfeatures",59,NA,24,"PigCVP","glmnet"
"TSFEL",144,NA,24,"PigCVP","glmnet"
"Kats",36,NA,24,"PigCVP","glmnet"
"tsfresh",737,NA,24,"PigCVP","glmnet"
"timegp",7,NA,24,"PigCVP","glmnet"
"catch22",22,NA,25,"PigCVP","glmnet"
"feasts",37,NA,25,"PigCVP","glmnet"
"tsfeatures",59,NA,25,"PigCVP","glmnet"
"TSFEL",144,NA,25,"PigCVP","glmnet"
"Kats",36,NA,25,"PigCVP","glmnet"
"tsfresh",737,NA,25,"PigCVP","glmnet"
"timegp",7,NA,25,"PigCVP","glmnet"
"catch22",22,NA,26,"PigCVP","glmnet"
"feasts",37,NA,26,"PigCVP","glmnet"
"tsfeatures",59,NA,26,"PigCVP","glmnet"
"TSFEL",144,NA,26,"PigCVP","glmnet"
"Kats",36,NA,26,"PigCVP","glmnet"
"tsfresh",736,NA,26,"PigCVP","glmnet"
"timegp",7,NA,26,"PigCVP","glmnet"
"catch22",22,NA,27,"PigCVP","glmnet"
"feasts",37,NA,27,"PigCVP","glmnet"
"tsfeatures",59,NA,27,"PigCVP","glmnet"
"TSFEL",144,NA,27,"PigCVP","glmnet"
"Kats",36,NA,27,"PigCVP","glmnet"
"tsfresh",737,NA,27,"PigCVP","glmnet"
"timegp",7,NA,27,"PigCVP","glmnet"
"catch22",22,NA,28,"PigCVP","glmnet"
"feasts",37,NA,28,"PigCVP","glmnet"
"tsfeatures",59,NA,28,"PigCVP","glmnet"
"TSFEL",144,NA,28,"PigCVP","glmnet"
"Kats",36,NA,28,"PigCVP","glmnet"
"tsfresh",736,NA,28,"PigCVP","glmnet"
"timegp",7,NA,28,"PigCVP","glmnet"
"catch22",22,NA,29,"PigCVP","glmnet"
"feasts",37,NA,29,"PigCVP","glmnet"
"tsfeatures",59,NA,29,"PigCVP","glmnet"
"TSFEL",144,NA,29,"PigCVP","glmnet"
"Kats",36,NA,29,"PigCVP","glmnet"
"tsfresh",737,NA,29,"PigCVP","glmnet"
"timegp",7,NA,29,"PigCVP","glmnet"
"catch22",22,NA,30,"PigCVP","glmnet"
"feasts",37,NA,30,"PigCVP","glmnet"
"tsfeatures",59,NA,30,"PigCVP","glmnet"
"TSFEL",144,NA,30,"PigCVP","glmnet"
"Kats",36,NA,30,"PigCVP","glmnet"
"tsfresh",737,NA,30,"PigCVP","glmnet"
"timegp",7,NA,30,"PigCVP","glmnet"
