"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.834146341463415,1,"ProximalPhalanxOutlineAgeGroup","glmnet"
"feasts",34,0.863414634146341,1,"ProximalPhalanxOutlineAgeGroup","glmnet"
"tsfeatures",59,0.84390243902439,1,"ProximalPhalanxOutlineAgeGroup","glmnet"
"TSFEL",141,0.848780487804878,1,"ProximalPhalanxOutlineAgeGroup","glmnet"
"Kats",36,0.853658536585366,1,"ProximalPhalanxOutlineAgeGroup","glmnet"
"tsfresh",477,0.853658536585366,1,"ProximalPhalanxOutlineAgeGroup","glmnet"
"timegp",5,0.873170731707317,1,"ProximalPhalanxOutlineAgeGroup","glmnet"
"catch22",21,0.853658536585366,2,"ProximalPhalanxOutlineAgeGroup","glmnet"
"feasts",34,0.873170731707317,2,"ProximalPhalanxOutlineAgeGroup","glmnet"
"tsfeatures",59,0.873170731707317,2,"ProximalPhalanxOutlineAgeGroup","glmnet"
"TSFEL",141,0.858536585365854,2,"ProximalPhalanxOutlineAgeGroup","glmnet"
"Kats",36,0.882926829268293,2,"ProximalPhalanxOutlineAgeGroup","glmnet"
"tsfresh",478,0.878048780487805,2,"ProximalPhalanxOutlineAgeGroup","glmnet"
"timegp",5,0.892682926829268,2,"ProximalPhalanxOutlineAgeGroup","glmnet"
"catch22",22,0.848780487804878,3,"ProximalPhalanxOutlineAgeGroup","glmnet"
"feasts",34,0.868292682926829,3,"ProximalPhalanxOutlineAgeGroup","glmnet"
"tsfeatures",59,0.863414634146341,3,"ProximalPhalanxOutlineAgeGroup","glmnet"
"TSFEL",141,0.873170731707317,3,"ProximalPhalanxOutlineAgeGroup","glmnet"
"Kats",36,0.868292682926829,3,"ProximalPhalanxOutlineAgeGroup","glmnet"
"tsfresh",478,0.858536585365854,3,"ProximalPhalanxOutlineAgeGroup","glmnet"
"timegp",5,0.858536585365854,3,"ProximalPhalanxOutlineAgeGroup","glmnet"
"catch22",22,0.84390243902439,4,"ProximalPhalanxOutlineAgeGroup","glmnet"
"feasts",34,0.853658536585366,4,"ProximalPhalanxOutlineAgeGroup","glmnet"
"tsfeatures",59,0.868292682926829,4,"ProximalPhalanxOutlineAgeGroup","glmnet"
"TSFEL",141,0.848780487804878,4,"ProximalPhalanxOutlineAgeGroup","glmnet"
"Kats",36,0.863414634146341,4,"ProximalPhalanxOutlineAgeGroup","glmnet"
"tsfresh",478,0.868292682926829,4,"ProximalPhalanxOutlineAgeGroup","glmnet"
"timegp",5,0.868292682926829,4,"ProximalPhalanxOutlineAgeGroup","glmnet"
"catch22",22,0.858536585365854,5,"ProximalPhalanxOutlineAgeGroup","glmnet"
"feasts",34,0.878048780487805,5,"ProximalPhalanxOutlineAgeGroup","glmnet"
"tsfeatures",59,0.878048780487805,5,"ProximalPhalanxOutlineAgeGroup","glmnet"
"TSFEL",141,0.868292682926829,5,"ProximalPhalanxOutlineAgeGroup","glmnet"
"Kats",36,0.868292682926829,5,"ProximalPhalanxOutlineAgeGroup","glmnet"
"tsfresh",478,0.882926829268293,5,"ProximalPhalanxOutlineAgeGroup","glmnet"
"timegp",5,0.88780487804878,5,"ProximalPhalanxOutlineAgeGroup","glmnet"
"catch22",22,0.863414634146341,6,"ProximalPhalanxOutlineAgeGroup","glmnet"
"feasts",34,0.834146341463415,6,"ProximalPhalanxOutlineAgeGroup","glmnet"
"tsfeatures",59,0.834146341463415,6,"ProximalPhalanxOutlineAgeGroup","glmnet"
"TSFEL",141,0.84390243902439,6,"ProximalPhalanxOutlineAgeGroup","glmnet"
"Kats",36,0.858536585365854,6,"ProximalPhalanxOutlineAgeGroup","glmnet"
"tsfresh",478,0.878048780487805,6,"ProximalPhalanxOutlineAgeGroup","glmnet"
"timegp",5,0.88780487804878,6,"ProximalPhalanxOutlineAgeGroup","glmnet"
"catch22",22,0.863414634146341,7,"ProximalPhalanxOutlineAgeGroup","glmnet"
"feasts",34,0.878048780487805,7,"ProximalPhalanxOutlineAgeGroup","glmnet"
"tsfeatures",59,0.892682926829268,7,"ProximalPhalanxOutlineAgeGroup","glmnet"
