"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",21,0.68,1,"Rock","glmnet"
"feasts",34,0.72,1,"Rock","glmnet"
"tsfeatures",58,0.74,1,"Rock","glmnet"
"TSFEL",143,0.68,1,"Rock","glmnet"
"Kats",36,0.7,1,"Rock","glmnet"
"tsfresh",735,0.84,1,"Rock","glmnet"
"timegp",3,0.54,1,"Rock","glmnet"
"catch22",21,0.6,2,"Rock","glmnet"
"feasts",34,0.78,2,"Rock","glmnet"
"tsfeatures",58,0.72,2,"Rock","glmnet"
"TSFEL",142,0.8,2,"Rock","glmnet"
"Kats",36,0.76,2,"Rock","glmnet"
"tsfresh",735,0.82,2,"Rock","glmnet"
"timegp",3,0.54,2,"Rock","glmnet"
"catch22",21,0.66,3,"Rock","glmnet"
"feasts",34,0.78,3,"Rock","glmnet"
"tsfeatures",58,0.72,3,"Rock","glmnet"
"TSFEL",143,0.66,3,"Rock","glmnet"
"Kats",36,0.7,3,"Rock","glmnet"
"tsfresh",735,0.74,3,"Rock","glmnet"
"timegp",3,0.54,3,"Rock","glmnet"
"catch22",21,0.6,4,"Rock","glmnet"
"feasts",34,0.64,4,"Rock","glmnet"
"tsfeatures",58,0.72,4,"Rock","glmnet"
"TSFEL",143,0.68,4,"Rock","glmnet"
"Kats",36,0.7,4,"Rock","glmnet"
"tsfresh",736,0.84,4,"Rock","glmnet"
"timegp",3,0.54,4,"Rock","glmnet"
"catch22",21,0.62,5,"Rock","glmnet"
"feasts",34,0.74,5,"Rock","glmnet"
"tsfeatures",58,0.72,5,"Rock","glmnet"
"TSFEL",143,0.68,5,"Rock","glmnet"
"Kats",36,0.76,5,"Rock","glmnet"
"tsfresh",736,0.86,5,"Rock","glmnet"
"timegp",3,0.5,5,"Rock","glmnet"
"catch22",21,0.72,6,"Rock","glmnet"
"feasts",34,0.7,6,"Rock","glmnet"
"tsfeatures",58,0.74,6,"Rock","glmnet"
"TSFEL",142,0.7,6,"Rock","glmnet"
"Kats",36,0.8,6,"Rock","glmnet"
"tsfresh",736,0.84,6,"Rock","glmnet"
"timegp",3,0.54,6,"Rock","glmnet"
"catch22",21,0.7,7,"Rock","glmnet"
"feasts",34,0.78,7,"Rock","glmnet"
"tsfeatures",58,0.78,7,"Rock","glmnet"
"TSFEL",142,0.72,7,"Rock","glmnet"
"Kats",36,0.82,7,"Rock","glmnet"
"tsfresh",735,0.76,7,"Rock","glmnet"
"timegp",3,0.48,7,"Rock","glmnet"
"catch22",21,0.66,8,"Rock","glmnet"
"feasts",34,0.8,8,"Rock","glmnet"
"tsfeatures",58,0.68,8,"Rock","glmnet"
"TSFEL",142,0.72,8,"Rock","glmnet"
"Kats",36,0.72,8,"Rock","glmnet"
"tsfresh",735,0.8,8,"Rock","glmnet"
"timegp",3,0.54,8,"Rock","glmnet"
"catch22",21,0.72,9,"Rock","glmnet"
"feasts",34,0.74,9,"Rock","glmnet"
"tsfeatures",58,0.8,9,"Rock","glmnet"
"TSFEL",143,0.76,9,"Rock","glmnet"
"Kats",36,0.7,9,"Rock","glmnet"
"tsfresh",734,0.78,9,"Rock","glmnet"
"timegp",3,0.62,9,"Rock","glmnet"
"catch22",21,0.72,10,"Rock","glmnet"
"feasts",34,0.76,10,"Rock","glmnet"
