"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.0183333333333333,1,"ShapesAll","glmnet"
"feasts",36,0.0233333333333333,1,"ShapesAll","glmnet"
"tsfeatures",59,0.015,1,"ShapesAll","glmnet"
"TSFEL",144,0.0166666666666667,1,"ShapesAll","glmnet"
"Kats",36,0.0183333333333333,1,"ShapesAll","glmnet"
"tsfresh",736,0.015,1,"ShapesAll","glmnet"
"timegp",9,0.015,1,"ShapesAll","glmnet"
"catch22",22,0.02,2,"ShapesAll","glmnet"
"feasts",36,0.0166666666666667,2,"ShapesAll","glmnet"
"tsfeatures",59,0.0233333333333333,2,"ShapesAll","glmnet"
"TSFEL",144,0.025,2,"ShapesAll","glmnet"
"Kats",36,0.0216666666666667,2,"ShapesAll","glmnet"
"tsfresh",736,0.02,2,"ShapesAll","glmnet"
"timegp",9,0.02,2,"ShapesAll","glmnet"
"catch22",22,0.0183333333333333,3,"ShapesAll","glmnet"
"feasts",36,0.0233333333333333,3,"ShapesAll","glmnet"
"tsfeatures",59,0.0216666666666667,3,"ShapesAll","glmnet"
"TSFEL",144,0.0183333333333333,3,"ShapesAll","glmnet"
"Kats",36,0.0133333333333333,3,"ShapesAll","glmnet"
"tsfresh",736,0.02,3,"ShapesAll","glmnet"
"timegp",9,0.0166666666666667,3,"ShapesAll","glmnet"
"catch22",22,0.015,4,"ShapesAll","glmnet"
"feasts",36,0.0166666666666667,4,"ShapesAll","glmnet"
"tsfeatures",59,0.0166666666666667,4,"ShapesAll","glmnet"
"TSFEL",144,0.0166666666666667,4,"ShapesAll","glmnet"
"Kats",36,0.0166666666666667,4,"ShapesAll","glmnet"
"tsfresh",736,0.0166666666666667,4,"ShapesAll","glmnet"
"timegp",9,0.02,4,"ShapesAll","glmnet"
"catch22",22,0.015,5,"ShapesAll","glmnet"
"feasts",36,0.0233333333333333,5,"ShapesAll","glmnet"
"tsfeatures",59,0.0183333333333333,5,"ShapesAll","glmnet"
"TSFEL",144,0.0183333333333333,5,"ShapesAll","glmnet"
"Kats",36,0.0166666666666667,5,"ShapesAll","glmnet"
"tsfresh",735,0.0183333333333333,5,"ShapesAll","glmnet"
"timegp",9,0.02,5,"ShapesAll","glmnet"
"catch22",22,0.02,6,"ShapesAll","glmnet"
"feasts",36,0.02,6,"ShapesAll","glmnet"
"tsfeatures",59,0.0216666666666667,6,"ShapesAll","glmnet"
"TSFEL",144,0.0183333333333333,6,"ShapesAll","glmnet"
"Kats",36,0.0233333333333333,6,"ShapesAll","glmnet"
"tsfresh",736,0.0166666666666667,6,"ShapesAll","glmnet"
"timegp",9,0.02,6,"ShapesAll","glmnet"
"catch22",22,0.0216666666666667,7,"ShapesAll","glmnet"
"feasts",36,0.0183333333333333,7,"ShapesAll","glmnet"
"tsfeatures",59,0.02,7,"ShapesAll","glmnet"
"TSFEL",144,0.0166666666666667,7,"ShapesAll","glmnet"
"Kats",36,0.0166666666666667,7,"ShapesAll","glmnet"
"tsfresh",736,0.0183333333333333,7,"ShapesAll","glmnet"
"timegp",9,0.025,7,"ShapesAll","glmnet"
"catch22",22,0.02,8,"ShapesAll","glmnet"
"feasts",36,0.0183333333333333,8,"ShapesAll","glmnet"
"tsfeatures",59,0.0133333333333333,8,"ShapesAll","glmnet"
"TSFEL",144,0.015,8,"ShapesAll","glmnet"
"Kats",36,0.015,8,"ShapesAll","glmnet"
"tsfresh",735,0.0166666666666667,8,"ShapesAll","glmnet"
"timegp",9,0.02,8,"ShapesAll","glmnet"
"catch22",22,0.0166666666666667,9,"ShapesAll","glmnet"
"feasts",36,0.0166666666666667,9,"ShapesAll","glmnet"
"tsfeatures",59,0.025,9,"ShapesAll","glmnet"
"TSFEL",144,0.0166666666666667,9,"ShapesAll","glmnet"
"Kats",36,0.0166666666666667,9,"ShapesAll","glmnet"
"tsfresh",736,0.0183333333333333,9,"ShapesAll","glmnet"
"timegp",9,0.015,9,"ShapesAll","glmnet"
"catch22",22,0.0183333333333333,10,"ShapesAll","glmnet"
"feasts",36,0.0233333333333333,10,"ShapesAll","glmnet"
"tsfeatures",59,0.0216666666666667,10,"ShapesAll","glmnet"
"TSFEL",144,0.0216666666666667,10,"ShapesAll","glmnet"
"Kats",36,0.015,10,"ShapesAll","glmnet"
"tsfresh",736,0.02,10,"ShapesAll","glmnet"
"timegp",9,0.0216666666666667,10,"ShapesAll","glmnet"
"catch22",22,0.0166666666666667,11,"ShapesAll","glmnet"
"feasts",36,0.0183333333333333,11,"ShapesAll","glmnet"
"tsfeatures",59,0.0166666666666667,11,"ShapesAll","glmnet"
"TSFEL",144,0.0166666666666667,11,"ShapesAll","glmnet"
"Kats",36,0.0166666666666667,11,"ShapesAll","glmnet"
"tsfresh",736,0.0133333333333333,11,"ShapesAll","glmnet"
"timegp",9,0.0233333333333333,11,"ShapesAll","glmnet"
"catch22",22,0.0166666666666667,12,"ShapesAll","glmnet"
"feasts",36,0.0183333333333333,12,"ShapesAll","glmnet"
"tsfeatures",59,0.02,12,"ShapesAll","glmnet"
"TSFEL",144,0.0233333333333333,12,"ShapesAll","glmnet"
"Kats",36,0.0166666666666667,12,"ShapesAll","glmnet"
"tsfresh",735,0.0183333333333333,12,"ShapesAll","glmnet"
"timegp",9,0.02,12,"ShapesAll","glmnet"
"catch22",22,0.015,13,"ShapesAll","glmnet"
"feasts",36,0.0183333333333333,13,"ShapesAll","glmnet"
"tsfeatures",59,0.02,13,"ShapesAll","glmnet"
"TSFEL",144,0.0183333333333333,13,"ShapesAll","glmnet"
"Kats",36,0.015,13,"ShapesAll","glmnet"
"tsfresh",736,0.0183333333333333,13,"ShapesAll","glmnet"
"timegp",9,0.0216666666666667,13,"ShapesAll","glmnet"
"catch22",22,0.0183333333333333,14,"ShapesAll","glmnet"
"feasts",36,0.0216666666666667,14,"ShapesAll","glmnet"
"tsfeatures",59,0.0183333333333333,14,"ShapesAll","glmnet"
"TSFEL",144,0.0216666666666667,14,"ShapesAll","glmnet"
"Kats",36,0.0166666666666667,14,"ShapesAll","glmnet"
"tsfresh",735,0.0166666666666667,14,"ShapesAll","glmnet"
"timegp",9,0.0233333333333333,14,"ShapesAll","glmnet"
"catch22",22,0.02,15,"ShapesAll","glmnet"
"feasts",36,0.0183333333333333,15,"ShapesAll","glmnet"
"tsfeatures",59,0.0233333333333333,15,"ShapesAll","glmnet"
"TSFEL",144,0.0183333333333333,15,"ShapesAll","glmnet"
"Kats",36,0.0166666666666667,15,"ShapesAll","glmnet"
"tsfresh",735,0.0183333333333333,15,"ShapesAll","glmnet"
"timegp",9,0.02,15,"ShapesAll","glmnet"
"catch22",22,0.0183333333333333,16,"ShapesAll","glmnet"
"feasts",36,0.0216666666666667,16,"ShapesAll","glmnet"
"tsfeatures",59,0.0166666666666667,16,"ShapesAll","glmnet"
"TSFEL",144,0.0183333333333333,16,"ShapesAll","glmnet"
"Kats",36,0.015,16,"ShapesAll","glmnet"
"tsfresh",736,0.0166666666666667,16,"ShapesAll","glmnet"
"timegp",9,0.0166666666666667,16,"ShapesAll","glmnet"
"catch22",22,0.02,17,"ShapesAll","glmnet"
"feasts",36,0.025,17,"ShapesAll","glmnet"
"tsfeatures",59,0.02,17,"ShapesAll","glmnet"
"TSFEL",144,0.0183333333333333,17,"ShapesAll","glmnet"
"Kats",36,0.0183333333333333,17,"ShapesAll","glmnet"
"tsfresh",736,0.0216666666666667,17,"ShapesAll","glmnet"
"timegp",9,0.0233333333333333,17,"ShapesAll","glmnet"
"catch22",22,0.02,18,"ShapesAll","glmnet"
"feasts",36,0.0183333333333333,18,"ShapesAll","glmnet"
"tsfeatures",59,0.0183333333333333,18,"ShapesAll","glmnet"
"TSFEL",144,0.0183333333333333,18,"ShapesAll","glmnet"
"Kats",36,0.0216666666666667,18,"ShapesAll","glmnet"
"tsfresh",735,0.0183333333333333,18,"ShapesAll","glmnet"
"timegp",9,0.02,18,"ShapesAll","glmnet"
"catch22",22,0.0166666666666667,19,"ShapesAll","glmnet"
"feasts",36,0.015,19,"ShapesAll","glmnet"
"tsfeatures",59,0.0166666666666667,19,"ShapesAll","glmnet"
"TSFEL",144,0.0183333333333333,19,"ShapesAll","glmnet"
"Kats",36,0.0183333333333333,19,"ShapesAll","glmnet"
"tsfresh",736,0.02,19,"ShapesAll","glmnet"
"timegp",9,0.0216666666666667,19,"ShapesAll","glmnet"
"catch22",22,0.0233333333333333,20,"ShapesAll","glmnet"
"feasts",36,0.0216666666666667,20,"ShapesAll","glmnet"
"tsfeatures",59,0.0233333333333333,20,"ShapesAll","glmnet"
"TSFEL",144,0.0216666666666667,20,"ShapesAll","glmnet"
"Kats",36,0.0233333333333333,20,"ShapesAll","glmnet"
"tsfresh",735,0.0183333333333333,20,"ShapesAll","glmnet"
"timegp",9,0.02,20,"ShapesAll","glmnet"
"catch22",22,0.0216666666666667,21,"ShapesAll","glmnet"
"feasts",36,0.0216666666666667,21,"ShapesAll","glmnet"
"tsfeatures",59,0.0216666666666667,21,"ShapesAll","glmnet"
"TSFEL",144,0.02,21,"ShapesAll","glmnet"
"Kats",36,0.0166666666666667,21,"ShapesAll","glmnet"
"tsfresh",736,0.0166666666666667,21,"ShapesAll","glmnet"
"timegp",9,0.0216666666666667,21,"ShapesAll","glmnet"
"catch22",22,0.015,22,"ShapesAll","glmnet"
"feasts",36,0.0183333333333333,22,"ShapesAll","glmnet"
"tsfeatures",59,0.0183333333333333,22,"ShapesAll","glmnet"
"TSFEL",144,0.015,22,"ShapesAll","glmnet"
"Kats",36,0.0166666666666667,22,"ShapesAll","glmnet"
"tsfresh",736,0.015,22,"ShapesAll","glmnet"
"timegp",9,0.0183333333333333,22,"ShapesAll","glmnet"
"catch22",22,0.02,23,"ShapesAll","glmnet"
"feasts",36,0.02,23,"ShapesAll","glmnet"
"tsfeatures",59,0.0183333333333333,23,"ShapesAll","glmnet"
"TSFEL",144,0.0183333333333333,23,"ShapesAll","glmnet"
"Kats",36,0.0183333333333333,23,"ShapesAll","glmnet"
"tsfresh",736,0.0183333333333333,23,"ShapesAll","glmnet"
"timegp",9,0.02,23,"ShapesAll","glmnet"
"catch22",22,0.0183333333333333,24,"ShapesAll","glmnet"
"feasts",36,0.02,24,"ShapesAll","glmnet"
"tsfeatures",59,0.02,24,"ShapesAll","glmnet"
"TSFEL",144,0.025,24,"ShapesAll","glmnet"
"Kats",36,0.015,24,"ShapesAll","glmnet"
"tsfresh",735,0.0216666666666667,24,"ShapesAll","glmnet"
"timegp",9,0.0233333333333333,24,"ShapesAll","glmnet"
"catch22",22,0.015,25,"ShapesAll","glmnet"
"feasts",36,0.0216666666666667,25,"ShapesAll","glmnet"
"tsfeatures",59,0.02,25,"ShapesAll","glmnet"
"TSFEL",144,0.0216666666666667,25,"ShapesAll","glmnet"
"Kats",36,0.02,25,"ShapesAll","glmnet"
"tsfresh",736,0.02,25,"ShapesAll","glmnet"
"timegp",9,0.0216666666666667,25,"ShapesAll","glmnet"
"catch22",22,0.0183333333333333,26,"ShapesAll","glmnet"
"feasts",36,0.0166666666666667,26,"ShapesAll","glmnet"
"tsfeatures",59,0.0183333333333333,26,"ShapesAll","glmnet"
"TSFEL",144,0.0183333333333333,26,"ShapesAll","glmnet"
"Kats",36,0.02,26,"ShapesAll","glmnet"
"tsfresh",735,0.0166666666666667,26,"ShapesAll","glmnet"
"timegp",9,0.0216666666666667,26,"ShapesAll","glmnet"
