"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",21,0.900314795383001,1,"SonyAIBORobotSurface2","glmnet"
"feasts",36,0.947534102833158,1,"SonyAIBORobotSurface2","glmnet"
"tsfeatures",57,0.952780692549843,1,"SonyAIBORobotSurface2","glmnet"
"TSFEL",143,0.945435466946485,1,"SonyAIBORobotSurface2","glmnet"
"Kats",35,0.948583420776495,1,"SonyAIBORobotSurface2","glmnet"
"tsfresh",453,0.943336831059811,1,"SonyAIBORobotSurface2","glmnet"
"timegp",3,0.908709338929696,1,"SonyAIBORobotSurface2","glmnet"
"catch22",22,0.907660020986359,2,"SonyAIBORobotSurface2","glmnet"
"feasts",36,0.919202518363064,2,"SonyAIBORobotSurface2","glmnet"
"tsfeatures",59,0.918153200419727,2,"SonyAIBORobotSurface2","glmnet"
"TSFEL",145,0.939139559286464,2,"SonyAIBORobotSurface2","glmnet"
"Kats",35,0.943336831059811,2,"SonyAIBORobotSurface2","glmnet"
"tsfresh",452,0.923399790136411,2,"SonyAIBORobotSurface2","glmnet"
"timegp",3,0.884575026232949,2,"SonyAIBORobotSurface2","glmnet"
"catch22",22,0.885624344176285,3,"SonyAIBORobotSurface2","glmnet"
"feasts",36,0.924449108079748,3,"SonyAIBORobotSurface2","glmnet"
"tsfeatures",57,0.923399790136411,3,"SonyAIBORobotSurface2","glmnet"
"TSFEL",144,0.925498426023085,3,"SonyAIBORobotSurface2","glmnet"
"Kats",36,0.934942287513116,3,"SonyAIBORobotSurface2","glmnet"
"tsfresh",452,0.856243441762854,3,"SonyAIBORobotSurface2","glmnet"
"timegp",3,0.861490031479538,3,"SonyAIBORobotSurface2","glmnet"
"catch22",22,0.91710388247639,4,"SonyAIBORobotSurface2","glmnet"
"feasts",36,0.929695697796432,4,"SonyAIBORobotSurface2","glmnet"
"tsfeatures",57,0.939139559286464,4,"SonyAIBORobotSurface2","glmnet"
"TSFEL",142,0.945435466946485,4,"SonyAIBORobotSurface2","glmnet"
"Kats",35,0.93704092339979,4,"SonyAIBORobotSurface2","glmnet"
"tsfresh",452,0.953830010493179,4,"SonyAIBORobotSurface2","glmnet"
"timegp",3,0.903462749213012,4,"SonyAIBORobotSurface2","glmnet"
"catch22",22,0.869884575026233,5,"SonyAIBORobotSurface2","glmnet"
"feasts",36,0.879328436516264,5,"SonyAIBORobotSurface2","glmnet"
"tsfeatures",57,0.887722980062959,5,"SonyAIBORobotSurface2","glmnet"
"TSFEL",145,0.873032528856243,5,"SonyAIBORobotSurface2","glmnet"
"Kats",36,0.889821615949633,5,"SonyAIBORobotSurface2","glmnet"
"tsfresh",452,0.886673662119622,5,"SonyAIBORobotSurface2","glmnet"
"timegp",3,0.869884575026233,5,"SonyAIBORobotSurface2","glmnet"
"catch22",22,0.871983210912907,6,"SonyAIBORobotSurface2","glmnet"
"feasts",36,0.915005246589717,6,"SonyAIBORobotSurface2","glmnet"
"tsfeatures",59,0.911857292759706,6,"SonyAIBORobotSurface2","glmnet"
"TSFEL",144,0.929695697796432,6,"SonyAIBORobotSurface2","glmnet"
"Kats",35,0.940188877229801,6,"SonyAIBORobotSurface2","glmnet"
"tsfresh",453,0.934942287513116,6,"SonyAIBORobotSurface2","glmnet"
"timegp",3,0.906610703043022,6,"SonyAIBORobotSurface2","glmnet"
"catch22",22,0.907660020986359,7,"SonyAIBORobotSurface2","glmnet"
"feasts",36,0.909758656873032,7,"SonyAIBORobotSurface2","glmnet"
"tsfeatures",57,0.928646379853096,7,"SonyAIBORobotSurface2","glmnet"
"TSFEL",144,0.934942287513116,7,"SonyAIBORobotSurface2","glmnet"
"Kats",35,0.918153200419727,7,"SonyAIBORobotSurface2","glmnet"
"tsfresh",452,0.944386149003148,7,"SonyAIBORobotSurface2","glmnet"
"timegp",3,0.909758656873032,7,"SonyAIBORobotSurface2","glmnet"
"catch22",22,0.887722980062959,8,"SonyAIBORobotSurface2","glmnet"
"feasts",36,0.89401888772298,8,"SonyAIBORobotSurface2","glmnet"
"tsfeatures",57,0.906610703043022,8,"SonyAIBORobotSurface2","glmnet"
"TSFEL",145,0.921301154249738,8,"SonyAIBORobotSurface2","glmnet"
"Kats",35,0.918153200419727,8,"SonyAIBORobotSurface2","glmnet"
"tsfresh",452,0.930745015739769,8,"SonyAIBORobotSurface2","glmnet"
"timegp",3,0.877229800629591,8,"SonyAIBORobotSurface2","glmnet"
"catch22",22,0.887722980062959,9,"SonyAIBORobotSurface2","glmnet"
"feasts",36,0.91710388247639,9,"SonyAIBORobotSurface2","glmnet"
"tsfeatures",57,0.925498426023085,9,"SonyAIBORobotSurface2","glmnet"
"TSFEL",145,0.934942287513116,9,"SonyAIBORobotSurface2","glmnet"
"Kats",36,0.934942287513116,9,"SonyAIBORobotSurface2","glmnet"
"tsfresh",452,0.85414480587618,9,"SonyAIBORobotSurface2","glmnet"
"timegp",3,0.884575026232949,9,"SonyAIBORobotSurface2","glmnet"
"catch22",22,0.909758656873032,10,"SonyAIBORobotSurface2","glmnet"
"feasts",36,0.91395592864638,10,"SonyAIBORobotSurface2","glmnet"
"tsfeatures",57,0.935991605456453,10,"SonyAIBORobotSurface2","glmnet"
"TSFEL",146,0.939139559286464,10,"SonyAIBORobotSurface2","glmnet"
"Kats",36,0.938090241343127,10,"SonyAIBORobotSurface2","glmnet"
"tsfresh",453,0.886673662119622,10,"SonyAIBORobotSurface2","glmnet"
"timegp",3,0.901364113326338,10,"SonyAIBORobotSurface2","glmnet"
"catch22",22,0.908709338929696,11,"SonyAIBORobotSurface2","glmnet"
"feasts",36,0.903462749213012,11,"SonyAIBORobotSurface2","glmnet"
"tsfeatures",57,0.918153200419727,11,"SonyAIBORobotSurface2","glmnet"
"TSFEL",143,0.931794333683106,11,"SonyAIBORobotSurface2","glmnet"
"Kats",35,0.93704092339979,11,"SonyAIBORobotSurface2","glmnet"
"tsfresh",453,0.944386149003148,11,"SonyAIBORobotSurface2","glmnet"
"timegp",3,0.892969569779643,11,"SonyAIBORobotSurface2","glmnet"
"catch22",22,0.910807974816369,12,"SonyAIBORobotSurface2","glmnet"
"feasts",36,0.941238195173137,12,"SonyAIBORobotSurface2","glmnet"
"tsfeatures",59,0.947534102833158,12,"SonyAIBORobotSurface2","glmnet"
"TSFEL",143,0.963273871983211,12,"SonyAIBORobotSurface2","glmnet"
"Kats",35,0.948583420776495,12,"SonyAIBORobotSurface2","glmnet"
"tsfresh",452,0.946484784889822,12,"SonyAIBORobotSurface2","glmnet"
"timegp",3,0.912906610703043,12,"SonyAIBORobotSurface2","glmnet"
"catch22",22,0.911857292759706,13,"SonyAIBORobotSurface2","glmnet"
"feasts",36,0.91710388247639,13,"SonyAIBORobotSurface2","glmnet"
"tsfeatures",59,0.935991605456453,13,"SonyAIBORobotSurface2","glmnet"
"TSFEL",144,0.944386149003148,13,"SonyAIBORobotSurface2","glmnet"
"Kats",35,0.93389296956978,13,"SonyAIBORobotSurface2","glmnet"
"tsfresh",452,0.975865687303253,13,"SonyAIBORobotSurface2","glmnet"
"timegp",3,0.906610703043022,13,"SonyAIBORobotSurface2","glmnet"
"catch22",22,0.89401888772298,14,"SonyAIBORobotSurface2","glmnet"
"feasts",36,0.907660020986359,14,"SonyAIBORobotSurface2","glmnet"
"tsfeatures",59,0.915005246589717,14,"SonyAIBORobotSurface2","glmnet"
"TSFEL",144,0.938090241343127,14,"SonyAIBORobotSurface2","glmnet"
"Kats",36,0.915005246589717,14,"SonyAIBORobotSurface2","glmnet"
"tsfresh",452,0.904512067156348,14,"SonyAIBORobotSurface2","glmnet"
"timegp",3,0.884575026232949,14,"SonyAIBORobotSurface2","glmnet"
"catch22",22,0.908709338929696,15,"SonyAIBORobotSurface2","glmnet"
"feasts",36,0.931794333683106,15,"SonyAIBORobotSurface2","glmnet"
"tsfeatures",59,0.934942287513116,15,"SonyAIBORobotSurface2","glmnet"
"TSFEL",145,0.939139559286464,15,"SonyAIBORobotSurface2","glmnet"
"Kats",36,0.949632738719832,15,"SonyAIBORobotSurface2","glmnet"
"tsfresh",452,0.922350472193075,15,"SonyAIBORobotSurface2","glmnet"
"timegp",3,0.899265477439664,15,"SonyAIBORobotSurface2","glmnet"
"catch22",22,0.918153200419727,16,"SonyAIBORobotSurface2","glmnet"
"feasts",36,0.916054564533054,16,"SonyAIBORobotSurface2","glmnet"
"tsfeatures",59,0.927597061909759,16,"SonyAIBORobotSurface2","glmnet"
"TSFEL",145,0.931794333683106,16,"SonyAIBORobotSurface2","glmnet"
"Kats",36,0.947534102833158,16,"SonyAIBORobotSurface2","glmnet"
"tsfresh",452,0.93389296956978,16,"SonyAIBORobotSurface2","glmnet"
"timegp",3,0.803777544596013,16,"SonyAIBORobotSurface2","glmnet"
"catch22",22,0.882476390346275,17,"SonyAIBORobotSurface2","glmnet"
"feasts",36,0.898216159496327,17,"SonyAIBORobotSurface2","glmnet"
"tsfeatures",57,0.916054564533054,17,"SonyAIBORobotSurface2","glmnet"
"TSFEL",144,0.927597061909759,17,"SonyAIBORobotSurface2","glmnet"
"Kats",35,0.919202518363064,17,"SonyAIBORobotSurface2","glmnet"
"tsfresh",452,0.904512067156348,17,"SonyAIBORobotSurface2","glmnet"
"timegp",3,0.89401888772298,17,"SonyAIBORobotSurface2","glmnet"
"catch22",22,0.906610703043022,18,"SonyAIBORobotSurface2","glmnet"
"feasts",36,0.911857292759706,18,"SonyAIBORobotSurface2","glmnet"
"tsfeatures",59,0.91710388247639,18,"SonyAIBORobotSurface2","glmnet"
"TSFEL",144,0.926547743966422,18,"SonyAIBORobotSurface2","glmnet"
"Kats",36,0.930745015739769,18,"SonyAIBORobotSurface2","glmnet"
"tsfresh",452,0.882476390346275,18,"SonyAIBORobotSurface2","glmnet"
"timegp",3,0.85414480587618,18,"SonyAIBORobotSurface2","glmnet"
"catch22",22,0.905561385099685,19,"SonyAIBORobotSurface2","glmnet"
"feasts",36,0.886673662119622,19,"SonyAIBORobotSurface2","glmnet"
"tsfeatures",57,0.908709338929696,19,"SonyAIBORobotSurface2","glmnet"
"TSFEL",144,0.910807974816369,19,"SonyAIBORobotSurface2","glmnet"
"Kats",35,0.909758656873032,19,"SonyAIBORobotSurface2","glmnet"
"tsfresh",453,0.931794333683106,19,"SonyAIBORobotSurface2","glmnet"
"timegp",3,0.885624344176285,19,"SonyAIBORobotSurface2","glmnet"
"catch22",22,0.900314795383001,20,"SonyAIBORobotSurface2","glmnet"
"feasts",36,0.910807974816369,20,"SonyAIBORobotSurface2","glmnet"
"tsfeatures",59,0.908709338929696,20,"SonyAIBORobotSurface2","glmnet"
"TSFEL",144,0.926547743966422,20,"SonyAIBORobotSurface2","glmnet"
"Kats",36,0.925498426023085,20,"SonyAIBORobotSurface2","glmnet"
"tsfresh",453,0.891920251836306,20,"SonyAIBORobotSurface2","glmnet"
"timegp",3,0.889821615949633,20,"SonyAIBORobotSurface2","glmnet"
"catch22",22,0.884575026232949,21,"SonyAIBORobotSurface2","glmnet"
"feasts",36,0.884575026232949,21,"SonyAIBORobotSurface2","glmnet"
"tsfeatures",57,0.901364113326338,21,"SonyAIBORobotSurface2","glmnet"
"TSFEL",145,0.93389296956978,21,"SonyAIBORobotSurface2","glmnet"
"Kats",36,0.89087093389297,21,"SonyAIBORobotSurface2","glmnet"
"tsfresh",452,0.910807974816369,21,"SonyAIBORobotSurface2","glmnet"
"timegp",3,0.903462749213012,21,"SonyAIBORobotSurface2","glmnet"
"catch22",22,0.898216159496327,22,"SonyAIBORobotSurface2","glmnet"
"feasts",36,0.908709338929696,22,"SonyAIBORobotSurface2","glmnet"
"tsfeatures",59,0.927597061909759,22,"SonyAIBORobotSurface2","glmnet"
"TSFEL",146,0.938090241343127,22,"SonyAIBORobotSurface2","glmnet"
"Kats",35,0.932843651626443,22,"SonyAIBORobotSurface2","glmnet"
"tsfresh",452,0.942287513116474,22,"SonyAIBORobotSurface2","glmnet"
"timegp",3,0.889821615949633,22,"SonyAIBORobotSurface2","glmnet"
"catch22",22,0.900314795383001,23,"SonyAIBORobotSurface2","glmnet"
"feasts",36,0.923399790136411,23,"SonyAIBORobotSurface2","glmnet"
"tsfeatures",59,0.931794333683106,23,"SonyAIBORobotSurface2","glmnet"
"TSFEL",145,0.929695697796432,23,"SonyAIBORobotSurface2","glmnet"
"Kats",35,0.939139559286464,23,"SonyAIBORobotSurface2","glmnet"
"tsfresh",452,0.943336831059811,23,"SonyAIBORobotSurface2","glmnet"
"timegp",3,0.901364113326338,23,"SonyAIBORobotSurface2","glmnet"
"catch22",22,0.888772298006296,24,"SonyAIBORobotSurface2","glmnet"
