"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.81578947368421,1,"ToeSegmentation1","glmnet"
"feasts",37,0.837719298245614,1,"ToeSegmentation1","glmnet"
"tsfeatures",59,0.855263157894737,1,"ToeSegmentation1","glmnet"
"TSFEL",144,0.842105263157895,1,"ToeSegmentation1","glmnet"
"Kats",35,0.741228070175439,1,"ToeSegmentation1","glmnet"
"tsfresh",733,0.793859649122807,1,"ToeSegmentation1","glmnet"
"timegp",3,0.68859649122807,1,"ToeSegmentation1","glmnet"
"catch22",22,0.758771929824561,2,"ToeSegmentation1","glmnet"
"feasts",37,0.807017543859649,2,"ToeSegmentation1","glmnet"
"tsfeatures",59,0.837719298245614,2,"ToeSegmentation1","glmnet"
"TSFEL",144,0.81578947368421,2,"ToeSegmentation1","glmnet"
"Kats",35,0.75,2,"ToeSegmentation1","glmnet"
"tsfresh",734,0.802631578947368,2,"ToeSegmentation1","glmnet"
"timegp",3,0.745614035087719,2,"ToeSegmentation1","glmnet"
"catch22",22,0.723684210526316,3,"ToeSegmentation1","glmnet"
"feasts",37,0.850877192982456,3,"ToeSegmentation1","glmnet"
"tsfeatures",59,0.846491228070175,3,"ToeSegmentation1","glmnet"
"TSFEL",144,0.850877192982456,3,"ToeSegmentation1","glmnet"
"Kats",35,0.793859649122807,3,"ToeSegmentation1","glmnet"
"tsfresh",733,0.820175438596491,3,"ToeSegmentation1","glmnet"
"timegp",3,0.75,3,"ToeSegmentation1","glmnet"
"catch22",22,0.767543859649123,4,"ToeSegmentation1","glmnet"
"feasts",37,0.81140350877193,4,"ToeSegmentation1","glmnet"
"tsfeatures",59,0.824561403508772,4,"ToeSegmentation1","glmnet"
"TSFEL",144,0.833333333333333,4,"ToeSegmentation1","glmnet"
"Kats",35,0.754385964912281,4,"ToeSegmentation1","glmnet"
"tsfresh",733,0.81140350877193,4,"ToeSegmentation1","glmnet"
"timegp",3,0.758771929824561,4,"ToeSegmentation1","glmnet"
"catch22",22,0.767543859649123,5,"ToeSegmentation1","glmnet"
"feasts",37,0.850877192982456,5,"ToeSegmentation1","glmnet"
"tsfeatures",59,0.87719298245614,5,"ToeSegmentation1","glmnet"
"TSFEL",144,0.899122807017544,5,"ToeSegmentation1","glmnet"
"Kats",35,0.81578947368421,5,"ToeSegmentation1","glmnet"
"tsfresh",733,0.802631578947368,5,"ToeSegmentation1","glmnet"
"timegp",3,0.780701754385965,5,"ToeSegmentation1","glmnet"
"catch22",22,0.728070175438597,6,"ToeSegmentation1","glmnet"
"feasts",37,0.785087719298246,6,"ToeSegmentation1","glmnet"
"tsfeatures",59,0.776315789473684,6,"ToeSegmentation1","glmnet"
"TSFEL",144,0.81140350877193,6,"ToeSegmentation1","glmnet"
"Kats",35,0.776315789473684,6,"ToeSegmentation1","glmnet"
"tsfresh",732,0.767543859649123,6,"ToeSegmentation1","glmnet"
"timegp",3,0.789473684210526,6,"ToeSegmentation1","glmnet"
"catch22",22,0.780701754385965,7,"ToeSegmentation1","glmnet"
"feasts",37,0.837719298245614,7,"ToeSegmentation1","glmnet"
"tsfeatures",59,0.824561403508772,7,"ToeSegmentation1","glmnet"
"TSFEL",144,0.846491228070175,7,"ToeSegmentation1","glmnet"
"Kats",35,0.785087719298246,7,"ToeSegmentation1","glmnet"
"tsfresh",733,0.776315789473684,7,"ToeSegmentation1","glmnet"
"timegp",3,0.754385964912281,7,"ToeSegmentation1","glmnet"
"catch22",22,0.741228070175439,8,"ToeSegmentation1","glmnet"
"feasts",37,0.842105263157895,8,"ToeSegmentation1","glmnet"
"tsfeatures",59,0.850877192982456,8,"ToeSegmentation1","glmnet"
"TSFEL",144,0.842105263157895,8,"ToeSegmentation1","glmnet"
"Kats",35,0.798245614035088,8,"ToeSegmentation1","glmnet"
"tsfresh",734,0.81140350877193,8,"ToeSegmentation1","glmnet"
"timegp",3,0.758771929824561,8,"ToeSegmentation1","glmnet"
"catch22",22,0.710526315789474,9,"ToeSegmentation1","glmnet"
"feasts",37,0.789473684210526,9,"ToeSegmentation1","glmnet"
"tsfeatures",59,0.798245614035088,9,"ToeSegmentation1","glmnet"
"TSFEL",144,0.798245614035088,9,"ToeSegmentation1","glmnet"
"Kats",35,0.754385964912281,9,"ToeSegmentation1","glmnet"
"tsfresh",734,0.81140350877193,9,"ToeSegmentation1","glmnet"
"timegp",3,0.758771929824561,9,"ToeSegmentation1","glmnet"
"catch22",22,0.807017543859649,10,"ToeSegmentation1","glmnet"
"feasts",37,0.820175438596491,10,"ToeSegmentation1","glmnet"
"tsfeatures",59,0.842105263157895,10,"ToeSegmentation1","glmnet"
"TSFEL",144,0.837719298245614,10,"ToeSegmentation1","glmnet"
"Kats",35,0.780701754385965,10,"ToeSegmentation1","glmnet"
"tsfresh",732,0.732456140350877,10,"ToeSegmentation1","glmnet"
"timegp",3,0.728070175438597,10,"ToeSegmentation1","glmnet"
"catch22",22,0.776315789473684,11,"ToeSegmentation1","glmnet"
"feasts",37,0.837719298245614,11,"ToeSegmentation1","glmnet"
"tsfeatures",59,0.855263157894737,11,"ToeSegmentation1","glmnet"
"TSFEL",144,0.868421052631579,11,"ToeSegmentation1","glmnet"
"Kats",35,0.828947368421053,11,"ToeSegmentation1","glmnet"
"tsfresh",732,0.807017543859649,11,"ToeSegmentation1","glmnet"
"timegp",3,0.780701754385965,11,"ToeSegmentation1","glmnet"
"catch22",22,0.75,12,"ToeSegmentation1","glmnet"
"feasts",37,0.885964912280702,12,"ToeSegmentation1","glmnet"
"tsfeatures",59,0.903508771929825,12,"ToeSegmentation1","glmnet"
"TSFEL",144,0.859649122807018,12,"ToeSegmentation1","glmnet"
"Kats",35,0.828947368421053,12,"ToeSegmentation1","glmnet"
"tsfresh",732,0.798245614035088,12,"ToeSegmentation1","glmnet"
"timegp",3,0.776315789473684,12,"ToeSegmentation1","glmnet"
"catch22",22,0.723684210526316,13,"ToeSegmentation1","glmnet"
"feasts",37,0.771929824561403,13,"ToeSegmentation1","glmnet"
"tsfeatures",59,0.824561403508772,13,"ToeSegmentation1","glmnet"
"TSFEL",144,0.833333333333333,13,"ToeSegmentation1","glmnet"
"Kats",35,0.771929824561403,13,"ToeSegmentation1","glmnet"
"tsfresh",732,0.81140350877193,13,"ToeSegmentation1","glmnet"
"timegp",3,0.763157894736842,13,"ToeSegmentation1","glmnet"
"catch22",22,0.81140350877193,14,"ToeSegmentation1","glmnet"
"feasts",37,0.828947368421053,14,"ToeSegmentation1","glmnet"
"tsfeatures",59,0.881578947368421,14,"ToeSegmentation1","glmnet"
"TSFEL",144,0.846491228070175,14,"ToeSegmentation1","glmnet"
"Kats",35,0.81140350877193,14,"ToeSegmentation1","glmnet"
"tsfresh",734,0.776315789473684,14,"ToeSegmentation1","glmnet"
"timegp",3,0.758771929824561,14,"ToeSegmentation1","glmnet"
"catch22",22,0.785087719298246,15,"ToeSegmentation1","glmnet"
"feasts",37,0.820175438596491,15,"ToeSegmentation1","glmnet"
"tsfeatures",59,0.81140350877193,15,"ToeSegmentation1","glmnet"
"TSFEL",144,0.807017543859649,15,"ToeSegmentation1","glmnet"
"Kats",35,0.789473684210526,15,"ToeSegmentation1","glmnet"
"tsfresh",733,0.758771929824561,15,"ToeSegmentation1","glmnet"
"timegp",3,0.776315789473684,15,"ToeSegmentation1","glmnet"
"catch22",22,0.81140350877193,16,"ToeSegmentation1","glmnet"
"feasts",37,0.87719298245614,16,"ToeSegmentation1","glmnet"
"tsfeatures",59,0.885964912280702,16,"ToeSegmentation1","glmnet"
"TSFEL",144,0.881578947368421,16,"ToeSegmentation1","glmnet"
"Kats",35,0.828947368421053,16,"ToeSegmentation1","glmnet"
"tsfresh",733,0.780701754385965,16,"ToeSegmentation1","glmnet"
"timegp",3,0.758771929824561,16,"ToeSegmentation1","glmnet"
"catch22",22,0.81578947368421,17,"ToeSegmentation1","glmnet"
"feasts",37,0.824561403508772,17,"ToeSegmentation1","glmnet"
"tsfeatures",59,0.855263157894737,17,"ToeSegmentation1","glmnet"
"TSFEL",144,0.850877192982456,17,"ToeSegmentation1","glmnet"
"Kats",35,0.828947368421053,17,"ToeSegmentation1","glmnet"
"tsfresh",733,0.776315789473684,17,"ToeSegmentation1","glmnet"
"timegp",3,0.745614035087719,17,"ToeSegmentation1","glmnet"
"catch22",22,0.697368421052632,18,"ToeSegmentation1","glmnet"
"feasts",37,0.837719298245614,18,"ToeSegmentation1","glmnet"
"tsfeatures",59,0.859649122807018,18,"ToeSegmentation1","glmnet"
"TSFEL",144,0.850877192982456,18,"ToeSegmentation1","glmnet"
"Kats",35,0.820175438596491,18,"ToeSegmentation1","glmnet"
"tsfresh",733,0.837719298245614,18,"ToeSegmentation1","glmnet"
