"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.799,1,"TwoPatterns","glmnet"
"feasts",36,0.85675,1,"TwoPatterns","glmnet"
"tsfeatures",57,0.95375,1,"TwoPatterns","glmnet"
"TSFEL",143,0.72325,1,"TwoPatterns","glmnet"
"Kats",35,0.5235,1,"TwoPatterns","glmnet"
"tsfresh",579,0.97775,1,"TwoPatterns","glmnet"
"timegp",7,0.825,1,"TwoPatterns","glmnet"
"catch22",22,0.81,2,"TwoPatterns","glmnet"
"feasts",36,0.84575,2,"TwoPatterns","glmnet"
"tsfeatures",57,0.9555,2,"TwoPatterns","glmnet"
"TSFEL",143,0.71725,2,"TwoPatterns","glmnet"
"Kats",35,0.528,2,"TwoPatterns","glmnet"
"tsfresh",579,0.98,2,"TwoPatterns","glmnet"
"timegp",7,0.8275,2,"TwoPatterns","glmnet"
"catch22",22,0.787,3,"TwoPatterns","glmnet"
"feasts",36,0.85025,3,"TwoPatterns","glmnet"
"tsfeatures",57,0.95075,3,"TwoPatterns","glmnet"
"TSFEL",143,0.72175,3,"TwoPatterns","glmnet"
"Kats",35,0.5155,3,"TwoPatterns","glmnet"
"tsfresh",579,0.9765,3,"TwoPatterns","glmnet"
"timegp",7,0.82325,3,"TwoPatterns","glmnet"
"catch22",22,0.7995,4,"TwoPatterns","glmnet"
"feasts",36,0.8435,4,"TwoPatterns","glmnet"
"tsfeatures",57,0.955,4,"TwoPatterns","glmnet"
"TSFEL",143,0.71675,4,"TwoPatterns","glmnet"
"Kats",35,0.52675,4,"TwoPatterns","glmnet"
"tsfresh",579,0.9815,4,"TwoPatterns","glmnet"
"timegp",7,0.82825,4,"TwoPatterns","glmnet"
"catch22",22,0.794,5,"TwoPatterns","glmnet"
"feasts",36,0.848,5,"TwoPatterns","glmnet"
"tsfeatures",57,0.95625,5,"TwoPatterns","glmnet"
"TSFEL",143,0.717,5,"TwoPatterns","glmnet"
"Kats",35,0.5285,5,"TwoPatterns","glmnet"
"tsfresh",579,0.9775,5,"TwoPatterns","glmnet"
"timegp",7,0.82475,5,"TwoPatterns","glmnet"
"catch22",22,0.8045,6,"TwoPatterns","glmnet"
"feasts",36,0.84425,6,"TwoPatterns","glmnet"
"tsfeatures",57,0.95275,6,"TwoPatterns","glmnet"
"TSFEL",143,0.708,6,"TwoPatterns","glmnet"
"Kats",35,0.528,6,"TwoPatterns","glmnet"
"tsfresh",579,0.97925,6,"TwoPatterns","glmnet"
"timegp",7,0.82775,6,"TwoPatterns","glmnet"
"catch22",22,0.7905,7,"TwoPatterns","glmnet"
"feasts",36,0.83925,7,"TwoPatterns","glmnet"
"tsfeatures",57,0.94625,7,"TwoPatterns","glmnet"
"TSFEL",143,0.7155,7,"TwoPatterns","glmnet"
"Kats",35,0.52925,7,"TwoPatterns","glmnet"
"tsfresh",579,0.97475,7,"TwoPatterns","glmnet"
"timegp",7,0.82925,7,"TwoPatterns","glmnet"
"catch22",22,0.7995,8,"TwoPatterns","glmnet"
"feasts",36,0.8515,8,"TwoPatterns","glmnet"
"tsfeatures",57,0.95575,8,"TwoPatterns","glmnet"
"TSFEL",143,0.70825,8,"TwoPatterns","glmnet"
"Kats",35,0.52425,8,"TwoPatterns","glmnet"
"tsfresh",579,0.97675,8,"TwoPatterns","glmnet"
"timegp",7,0.8225,8,"TwoPatterns","glmnet"
"catch22",22,0.81525,9,"TwoPatterns","glmnet"
"feasts",36,0.856,9,"TwoPatterns","glmnet"
"tsfeatures",57,0.95775,9,"TwoPatterns","glmnet"
"TSFEL",143,0.7145,9,"TwoPatterns","glmnet"
"Kats",35,0.525,9,"TwoPatterns","glmnet"
"tsfresh",579,0.9805,9,"TwoPatterns","glmnet"
"timegp",7,0.8295,9,"TwoPatterns","glmnet"
"catch22",22,0.80375,10,"TwoPatterns","glmnet"
"feasts",36,0.85775,10,"TwoPatterns","glmnet"
"tsfeatures",57,0.95575,10,"TwoPatterns","glmnet"
"TSFEL",143,0.71775,10,"TwoPatterns","glmnet"
"Kats",35,0.523,10,"TwoPatterns","glmnet"
"tsfresh",579,0.98075,10,"TwoPatterns","glmnet"
"timegp",7,0.823,10,"TwoPatterns","glmnet"
"catch22",22,0.794,11,"TwoPatterns","glmnet"
"feasts",36,0.84925,11,"TwoPatterns","glmnet"
"tsfeatures",57,0.95275,11,"TwoPatterns","glmnet"
"TSFEL",143,0.7145,11,"TwoPatterns","glmnet"
"Kats",35,0.53,11,"TwoPatterns","glmnet"
"tsfresh",579,0.979,11,"TwoPatterns","glmnet"
"timegp",7,0.8245,11,"TwoPatterns","glmnet"
"catch22",22,0.80275,12,"TwoPatterns","glmnet"
"feasts",36,0.84725,12,"TwoPatterns","glmnet"
"tsfeatures",57,0.95125,12,"TwoPatterns","glmnet"
"TSFEL",143,0.7025,12,"TwoPatterns","glmnet"
"Kats",35,0.5265,12,"TwoPatterns","glmnet"
"tsfresh",579,0.97825,12,"TwoPatterns","glmnet"
"timegp",7,0.81625,12,"TwoPatterns","glmnet"
"catch22",22,0.798,13,"TwoPatterns","glmnet"
"feasts",36,0.84075,13,"TwoPatterns","glmnet"
"tsfeatures",57,0.95625,13,"TwoPatterns","glmnet"
"TSFEL",143,0.71075,13,"TwoPatterns","glmnet"
"Kats",35,0.528,13,"TwoPatterns","glmnet"
"tsfresh",579,0.977,13,"TwoPatterns","glmnet"
"timegp",7,0.82925,13,"TwoPatterns","glmnet"
"catch22",22,0.793,14,"TwoPatterns","glmnet"
"feasts",36,0.851,14,"TwoPatterns","glmnet"
"tsfeatures",57,0.957,14,"TwoPatterns","glmnet"
"TSFEL",143,0.71625,14,"TwoPatterns","glmnet"
"Kats",35,0.52425,14,"TwoPatterns","glmnet"
"tsfresh",579,0.97975,14,"TwoPatterns","glmnet"
"timegp",7,0.823,14,"TwoPatterns","glmnet"
"catch22",22,0.8065,15,"TwoPatterns","glmnet"
"feasts",36,0.849,15,"TwoPatterns","glmnet"
