"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",16,0.388888888888889,1,"Wine","glmnet"
"feasts",30,0.666666666666667,1,"Wine","glmnet"
"tsfeatures",50,0.574074074074074,1,"Wine","glmnet"
"TSFEL",140,0.703703703703704,1,"Wine","glmnet"
"Kats",31,0.740740740740741,1,"Wine","glmnet"
"tsfresh",716,0.722222222222222,1,"Wine","glmnet"
"timegp",5,0.62962962962963,1,"Wine","glmnet"
"catch22",18,0.5,2,"Wine","glmnet"
"feasts",31,0.833333333333333,2,"Wine","glmnet"
"tsfeatures",51,0.777777777777778,2,"Wine","glmnet"
"TSFEL",141,0.814814814814815,2,"Wine","glmnet"
"Kats",31,0.796296296296296,2,"Wine","glmnet"
"tsfresh",717,0.851851851851852,2,"Wine","glmnet"
"timegp",5,0.796296296296296,2,"Wine","glmnet"
"catch22",18,0.611111111111111,3,"Wine","glmnet"
"feasts",32,0.740740740740741,3,"Wine","glmnet"
"tsfeatures",52,0.666666666666667,3,"Wine","glmnet"
"TSFEL",141,0.648148148148148,3,"Wine","glmnet"
"Kats",31,0.722222222222222,3,"Wine","glmnet"
"tsfresh",718,0.703703703703704,3,"Wine","glmnet"
"timegp",5,0.777777777777778,3,"Wine","glmnet"
"catch22",18,0.481481481481481,4,"Wine","glmnet"
"feasts",31,0.851851851851852,4,"Wine","glmnet"
"tsfeatures",51,0.759259259259259,4,"Wine","glmnet"
"TSFEL",141,0.685185185185185,4,"Wine","glmnet"
"Kats",31,0.759259259259259,4,"Wine","glmnet"
"tsfresh",718,0.814814814814815,4,"Wine","glmnet"
"timegp",5,0.740740740740741,4,"Wine","glmnet"
"catch22",18,0.666666666666667,5,"Wine","glmnet"
"feasts",32,0.759259259259259,5,"Wine","glmnet"
"tsfeatures",52,0.833333333333333,5,"Wine","glmnet"
"TSFEL",141,0.759259259259259,5,"Wine","glmnet"
"Kats",31,0.777777777777778,5,"Wine","glmnet"
"tsfresh",718,0.833333333333333,5,"Wine","glmnet"
