"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.675324675324675,1,"Worms","glmnet"
"feasts",37,0.701298701298701,1,"Worms","glmnet"
"tsfeatures",59,0.74025974025974,1,"Worms","glmnet"
"TSFEL",144,0.675324675324675,1,"Worms","glmnet"
"Kats",36,0.74025974025974,1,"Worms","glmnet"
"tsfresh",730,0.558441558441558,1,"Worms","glmnet"
"timegp",5,0.467532467532468,1,"Worms","glmnet"
"catch22",22,0.636363636363636,2,"Worms","glmnet"
"feasts",37,0.584415584415584,2,"Worms","glmnet"
"tsfeatures",59,0.714285714285714,2,"Worms","glmnet"
"TSFEL",144,0.61038961038961,2,"Worms","glmnet"
"Kats",36,0.662337662337662,2,"Worms","glmnet"
"tsfresh",731,0.597402597402597,2,"Worms","glmnet"
"timegp",5,0.48051948051948,2,"Worms","glmnet"
"catch22",22,0.636363636363636,3,"Worms","glmnet"
"feasts",37,0.623376623376623,3,"Worms","glmnet"
"tsfeatures",59,0.701298701298701,3,"Worms","glmnet"
"TSFEL",144,0.688311688311688,3,"Worms","glmnet"
"Kats",36,0.662337662337662,3,"Worms","glmnet"
"tsfresh",730,0.61038961038961,3,"Worms","glmnet"
"timegp",5,0.532467532467532,3,"Worms","glmnet"
"catch22",22,0.688311688311688,4,"Worms","glmnet"
"feasts",37,0.649350649350649,4,"Worms","glmnet"
"tsfeatures",59,0.714285714285714,4,"Worms","glmnet"
"TSFEL",144,0.623376623376623,4,"Worms","glmnet"
"Kats",36,0.675324675324675,4,"Worms","glmnet"
"tsfresh",729,0.623376623376623,4,"Worms","glmnet"
"timegp",5,0.545454545454545,4,"Worms","glmnet"
"catch22",22,0.571428571428571,5,"Worms","glmnet"
"feasts",37,0.649350649350649,5,"Worms","glmnet"
"tsfeatures",59,0.74025974025974,5,"Worms","glmnet"
"TSFEL",144,0.636363636363636,5,"Worms","glmnet"
"Kats",36,0.662337662337662,5,"Worms","glmnet"
"tsfresh",729,0.48051948051948,5,"Worms","glmnet"
"timegp",5,0.545454545454545,5,"Worms","glmnet"
"catch22",22,0.662337662337662,6,"Worms","glmnet"
"feasts",37,0.636363636363636,6,"Worms","glmnet"
"tsfeatures",59,0.649350649350649,6,"Worms","glmnet"
"TSFEL",144,0.675324675324675,6,"Worms","glmnet"
"Kats",36,0.649350649350649,6,"Worms","glmnet"
"tsfresh",730,0.584415584415584,6,"Worms","glmnet"
"timegp",5,0.558441558441558,6,"Worms","glmnet"
"catch22",22,0.662337662337662,7,"Worms","glmnet"
"feasts",37,0.636363636363636,7,"Worms","glmnet"
"tsfeatures",59,0.675324675324675,7,"Worms","glmnet"
"TSFEL",144,0.623376623376623,7,"Worms","glmnet"
"Kats",36,0.649350649350649,7,"Worms","glmnet"
"tsfresh",730,0.571428571428571,7,"Worms","glmnet"
"timegp",5,0.532467532467532,7,"Worms","glmnet"
"catch22",22,0.701298701298701,8,"Worms","glmnet"
"feasts",37,0.74025974025974,8,"Worms","glmnet"
"tsfeatures",59,0.792207792207792,8,"Worms","glmnet"
"TSFEL",144,0.727272727272727,8,"Worms","glmnet"
"Kats",36,0.688311688311688,8,"Worms","glmnet"
"tsfresh",729,0.636363636363636,8,"Worms","glmnet"
"timegp",5,0.545454545454545,8,"Worms","glmnet"
"catch22",22,0.61038961038961,9,"Worms","glmnet"
"feasts",37,0.714285714285714,9,"Worms","glmnet"
"tsfeatures",59,0.753246753246753,9,"Worms","glmnet"
"TSFEL",144,0.766233766233766,9,"Worms","glmnet"
"Kats",36,0.675324675324675,9,"Worms","glmnet"
"tsfresh",729,0.545454545454545,9,"Worms","glmnet"
"timegp",5,0.519480519480519,9,"Worms","glmnet"
"catch22",22,0.662337662337662,10,"Worms","glmnet"
"feasts",37,0.675324675324675,10,"Worms","glmnet"
"tsfeatures",59,0.74025974025974,10,"Worms","glmnet"
"TSFEL",144,0.701298701298701,10,"Worms","glmnet"
"Kats",36,0.61038961038961,10,"Worms","glmnet"
"tsfresh",731,0.584415584415584,10,"Worms","glmnet"
"timegp",5,0.545454545454545,10,"Worms","glmnet"
"catch22",22,0.623376623376623,11,"Worms","glmnet"
"feasts",37,0.662337662337662,11,"Worms","glmnet"
"tsfeatures",59,0.688311688311688,11,"Worms","glmnet"
"TSFEL",144,0.662337662337662,11,"Worms","glmnet"
"Kats",36,0.688311688311688,11,"Worms","glmnet"
"tsfresh",731,0.61038961038961,11,"Worms","glmnet"
"timegp",5,0.467532467532468,11,"Worms","glmnet"
"catch22",22,0.597402597402597,12,"Worms","glmnet"
"feasts",37,0.636363636363636,12,"Worms","glmnet"
"tsfeatures",59,0.701298701298701,12,"Worms","glmnet"
"TSFEL",144,0.597402597402597,12,"Worms","glmnet"
"Kats",36,0.649350649350649,12,"Worms","glmnet"
"tsfresh",730,0.532467532467532,12,"Worms","glmnet"
"timegp",5,0.493506493506494,12,"Worms","glmnet"
"catch22",22,0.688311688311688,13,"Worms","glmnet"
"feasts",37,0.74025974025974,13,"Worms","glmnet"
"tsfeatures",59,0.714285714285714,13,"Worms","glmnet"
"TSFEL",144,0.727272727272727,13,"Worms","glmnet"
"Kats",36,0.74025974025974,13,"Worms","glmnet"
"tsfresh",730,0.636363636363636,13,"Worms","glmnet"
"timegp",5,0.558441558441558,13,"Worms","glmnet"
"catch22",22,0.597402597402597,14,"Worms","glmnet"
"feasts",37,0.636363636363636,14,"Worms","glmnet"
"tsfeatures",59,0.701298701298701,14,"Worms","glmnet"
"TSFEL",144,0.675324675324675,14,"Worms","glmnet"
"Kats",36,0.714285714285714,14,"Worms","glmnet"
"tsfresh",730,0.558441558441558,14,"Worms","glmnet"
"timegp",5,0.532467532467532,14,"Worms","glmnet"
"catch22",22,0.649350649350649,15,"Worms","glmnet"
"feasts",37,0.636363636363636,15,"Worms","glmnet"
"tsfeatures",59,0.701298701298701,15,"Worms","glmnet"
"TSFEL",144,0.662337662337662,15,"Worms","glmnet"
"Kats",36,0.597402597402597,15,"Worms","glmnet"
"tsfresh",731,0.571428571428571,15,"Worms","glmnet"
"timegp",5,0.493506493506494,15,"Worms","glmnet"
"catch22",22,0.636363636363636,16,"Worms","glmnet"
"feasts",37,0.688311688311688,16,"Worms","glmnet"
"tsfeatures",59,0.753246753246753,16,"Worms","glmnet"
"TSFEL",144,0.688311688311688,16,"Worms","glmnet"
"Kats",36,0.727272727272727,16,"Worms","glmnet"
"tsfresh",730,0.545454545454545,16,"Worms","glmnet"
"timegp",5,0.506493506493506,16,"Worms","glmnet"
"catch22",22,0.688311688311688,17,"Worms","glmnet"
"feasts",37,0.649350649350649,17,"Worms","glmnet"
"tsfeatures",59,0.766233766233766,17,"Worms","glmnet"
"TSFEL",144,0.675324675324675,17,"Worms","glmnet"
"Kats",36,0.61038961038961,17,"Worms","glmnet"
"tsfresh",730,0.519480519480519,17,"Worms","glmnet"
"timegp",5,0.506493506493506,17,"Worms","glmnet"
"catch22",22,0.675324675324675,18,"Worms","glmnet"
"feasts",37,0.662337662337662,18,"Worms","glmnet"
"tsfeatures",59,0.727272727272727,18,"Worms","glmnet"
"TSFEL",144,0.636363636363636,18,"Worms","glmnet"
"Kats",36,0.636363636363636,18,"Worms","glmnet"
