"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",22,0.875844594594595,1,"AconityMINIPrinterLarge","pyridge","cv"
"feasts",39,0.903716216216216,1,"AconityMINIPrinterLarge","pyridge","cv"
"tsfeatures",57,0.907094594594595,1,"AconityMINIPrinterLarge","pyridge","cv"
"TSFEL",144,0.909628378378378,1,"AconityMINIPrinterLarge","pyridge","cv"
"Kats",36,0.900337837837838,1,"AconityMINIPrinterLarge","pyridge","cv"
"tsfresh",738,0.931587837837838,1,"AconityMINIPrinterLarge","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.902027027027027,1,"AconityMINIPrinterLarge","pyridge","cv"
"Quantiles",101,0.827702702702703,1,"AconityMINIPrinterLarge","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.875,1,"AconityMINIPrinterLarge","pyridge","cv"
"catch22",22,0.867398648648649,2,"AconityMINIPrinterLarge","pyridge","cv"
"feasts",39,0.899493243243243,2,"AconityMINIPrinterLarge","pyridge","cv"
"tsfeatures",57,0.910472972972973,2,"AconityMINIPrinterLarge","pyridge","cv"
"TSFEL",144,0.907094594594595,2,"AconityMINIPrinterLarge","pyridge","cv"
"Kats",36,0.897804054054054,2,"AconityMINIPrinterLarge","pyridge","cv"
"tsfresh",738,0.920608108108108,2,"AconityMINIPrinterLarge","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.898648648648649,2,"AconityMINIPrinterLarge","pyridge","cv"
"Quantiles",101,0.836148648648649,2,"AconityMINIPrinterLarge","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.862331081081081,2,"AconityMINIPrinterLarge","pyridge","cv"
"catch22",22,0.86402027027027,3,"AconityMINIPrinterLarge","pyridge","cv"
"feasts",39,0.907939189189189,3,"AconityMINIPrinterLarge","pyridge","cv"
"tsfeatures",57,0.914695945945946,3,"AconityMINIPrinterLarge","pyridge","cv"
"TSFEL",144,0.912162162162162,3,"AconityMINIPrinterLarge","pyridge","cv"
"Kats",36,0.90625,3,"AconityMINIPrinterLarge","pyridge","cv"
"tsfresh",738,0.924831081081081,3,"AconityMINIPrinterLarge","pyridge","cv"
