"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",21,0.433333333333333,1,"Beef","pyridge","fixed"
"feasts",34,0.566666666666667,1,"Beef","pyridge","fixed"
"tsfeatures",59,0.633333333333333,1,"Beef","pyridge","fixed"
"TSFEL",144,0.566666666666667,1,"Beef","pyridge","fixed"
"Kats",36,0.5,1,"Beef","pyridge","fixed"
"tsfresh",732,0.766666666666667,1,"Beef","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.766666666666667,1,"Beef","pyridge","fixed"
"Quantiles",101,0.7,1,"Beef","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.833333333333333,1,"Beef","pyridge","fixed"
"catch22",21,0.333333333333333,2,"Beef","pyridge","fixed"
"feasts",34,0.533333333333333,2,"Beef","pyridge","fixed"
"tsfeatures",59,0.566666666666667,2,"Beef","pyridge","fixed"
"TSFEL",143,0.533333333333333,2,"Beef","pyridge","fixed"
"Kats",36,0.466666666666667,2,"Beef","pyridge","fixed"
"tsfresh",731,0.766666666666667,2,"Beef","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.7,2,"Beef","pyridge","fixed"
"Quantiles",101,0.533333333333333,2,"Beef","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.666666666666667,2,"Beef","pyridge","fixed"
"catch22",21,0.3,3,"Beef","pyridge","fixed"
"feasts",34,0.5,3,"Beef","pyridge","fixed"
"tsfeatures",59,0.466666666666667,3,"Beef","pyridge","fixed"
"TSFEL",143,0.6,3,"Beef","pyridge","fixed"
"Kats",36,0.366666666666667,3,"Beef","pyridge","fixed"
"tsfresh",731,0.733333333333333,3,"Beef","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.566666666666667,3,"Beef","pyridge","fixed"
"Quantiles",101,0.5,3,"Beef","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.6,3,"Beef","pyridge","fixed"
"catch22",22,0.433333333333333,4,"Beef","pyridge","fixed"
"feasts",34,0.666666666666667,4,"Beef","pyridge","fixed"
"tsfeatures",59,0.733333333333333,4,"Beef","pyridge","fixed"
"TSFEL",143,0.6,4,"Beef","pyridge","fixed"
"Kats",35,0.566666666666667,4,"Beef","pyridge","fixed"
"tsfresh",731,0.7,4,"Beef","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.766666666666667,4,"Beef","pyridge","fixed"
"Quantiles",101,0.566666666666667,4,"Beef","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.766666666666667,4,"Beef","pyridge","fixed"
"catch22",22,0.4,5,"Beef","pyridge","fixed"
"feasts",34,0.466666666666667,5,"Beef","pyridge","fixed"
