"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",22,0.945555555555556,1,"CBF","pyridge","fixed"
"feasts",39,0.917777777777778,1,"CBF","pyridge","fixed"
"tsfeatures",57,0.971111111111111,1,"CBF","pyridge","fixed"
"TSFEL",141,0.806666666666667,1,"CBF","pyridge","fixed"
"Kats",34,0.931111111111111,1,"CBF","pyridge","fixed"
"tsfresh",588,0.994444444444444,1,"CBF","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",231,0.678888888888889,1,"CBF","pyridge","fixed"
"Quantiles",101,0.641111111111111,1,"CBF","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",130,0.572222222222222,1,"CBF","pyridge","fixed"
"catch22",22,0.974444444444444,2,"CBF","pyridge","fixed"
"feasts",39,0.97,2,"CBF","pyridge","fixed"
"tsfeatures",57,0.997777777777778,2,"CBF","pyridge","fixed"
"TSFEL",141,0.801111111111111,2,"CBF","pyridge","fixed"
"Kats",34,0.974444444444444,2,"CBF","pyridge","fixed"
"tsfresh",587,0.995555555555556,2,"CBF","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",231,0.696666666666667,2,"CBF","pyridge","fixed"
"Quantiles",101,0.607777777777778,2,"CBF","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",130,0.594444444444444,2,"CBF","pyridge","fixed"
"catch22",22,0.862222222222222,3,"CBF","pyridge","fixed"
"feasts",39,0.924444444444444,3,"CBF","pyridge","fixed"
"tsfeatures",57,0.977777777777778,3,"CBF","pyridge","fixed"
"TSFEL",141,0.75,3,"CBF","pyridge","fixed"
"Kats",35,0.832222222222222,3,"CBF","pyridge","fixed"
"tsfresh",587,0.97,3,"CBF","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",231,0.618888888888889,3,"CBF","pyridge","fixed"
"Quantiles",101,0.546666666666667,3,"CBF","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",130,0.596666666666667,3,"CBF","pyridge","fixed"
"catch22",22,0.964444444444444,4,"CBF","pyridge","fixed"
"feasts",39,0.94,4,"CBF","pyridge","fixed"
"tsfeatures",57,0.983333333333333,4,"CBF","pyridge","fixed"
"TSFEL",141,0.792222222222222,4,"CBF","pyridge","fixed"
"Kats",35,0.927777777777778,4,"CBF","pyridge","fixed"
"tsfresh",586,0.995555555555556,4,"CBF","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",231,0.67,4,"CBF","pyridge","fixed"
"Quantiles",101,0.645555555555556,4,"CBF","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",130,0.571111111111111,4,"CBF","pyridge","fixed"
"catch22",22,0.93,5,"CBF","pyridge","fixed"
"feasts",39,0.931111111111111,5,"CBF","pyridge","fixed"
"tsfeatures",57,0.972222222222222,5,"CBF","pyridge","fixed"
"TSFEL",141,0.771111111111111,5,"CBF","pyridge","fixed"
"Kats",35,0.92,5,"CBF","pyridge","fixed"
"tsfresh",588,0.997777777777778,5,"CBF","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",231,0.661111111111111,5,"CBF","pyridge","fixed"
"Quantiles",101,0.647777777777778,5,"CBF","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",130,0.562222222222222,5,"CBF","pyridge","fixed"
"catch22",22,0.95,6,"CBF","pyridge","fixed"
"feasts",39,0.95,6,"CBF","pyridge","fixed"
"tsfeatures",57,0.957777777777778,6,"CBF","pyridge","fixed"
"TSFEL",141,0.783333333333333,6,"CBF","pyridge","fixed"
"Kats",35,0.872222222222222,6,"CBF","pyridge","fixed"
