"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",22,0.5671875,1,"ChlorineConcentration","pyridge","cv"
"feasts",38,0.561979166666667,1,"ChlorineConcentration","pyridge","cv"
"tsfeatures",59,0.559635416666667,1,"ChlorineConcentration","pyridge","cv"
"TSFEL",144,0.6375,1,"ChlorineConcentration","pyridge","cv"
"Kats",36,0.558854166666667,1,"ChlorineConcentration","pyridge","cv"
"tsfresh",673,0.722916666666667,1,"ChlorineConcentration","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",269,0.6828125,1,"ChlorineConcentration","pyridge","cv"
"Quantiles",101,0.55859375,1,"ChlorineConcentration","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",168,0.720572916666667,1,"ChlorineConcentration","pyridge","cv"
"catch22",22,0.567447916666667,2,"ChlorineConcentration","pyridge","cv"
"feasts",38,0.559114583333333,2,"ChlorineConcentration","pyridge","cv"
"tsfeatures",59,0.55859375,2,"ChlorineConcentration","pyridge","cv"
"TSFEL",144,0.6125,2,"ChlorineConcentration","pyridge","cv"
"Kats",36,0.558854166666667,2,"ChlorineConcentration","pyridge","cv"
"tsfresh",674,0.711197916666667,2,"ChlorineConcentration","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",269,0.7171875,2,"ChlorineConcentration","pyridge","cv"
"Quantiles",101,0.5609375,2,"ChlorineConcentration","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",168,0.729947916666667,2,"ChlorineConcentration","pyridge","cv"
"catch22",22,0.5671875,3,"ChlorineConcentration","pyridge","cv"
"feasts",38,0.565364583333333,3,"ChlorineConcentration","pyridge","cv"
"tsfeatures",59,0.567708333333333,3,"ChlorineConcentration","pyridge","cv"
"TSFEL",144,0.613541666666667,3,"ChlorineConcentration","pyridge","cv"
"Kats",36,0.570572916666667,3,"ChlorineConcentration","pyridge","cv"
"tsfresh",673,0.709635416666667,3,"ChlorineConcentration","pyridge","cv"
