"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",22,0.297029702970297,1,"Colposcopy","pyridge","fixed"
"feasts",39,0.227722772277228,1,"Colposcopy","pyridge","fixed"
"tsfeatures",59,0.287128712871287,1,"Colposcopy","pyridge","fixed"
"TSFEL",146,0.247524752475248,1,"Colposcopy","pyridge","fixed"
"Kats",36,0.297029702970297,1,"Colposcopy","pyridge","fixed"
"tsfresh",697,0.326732673267327,1,"Colposcopy","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",283,0.316831683168317,1,"Colposcopy","pyridge","fixed"
"Quantiles",101,0.168316831683168,1,"Colposcopy","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",182,0.297029702970297,1,"Colposcopy","pyridge","fixed"
"catch22",22,0.306930693069307,2,"Colposcopy","pyridge","fixed"
"feasts",39,0.277227722772277,2,"Colposcopy","pyridge","fixed"
"tsfeatures",57,0.247524752475248,2,"Colposcopy","pyridge","fixed"
"TSFEL",145,0.326732673267327,2,"Colposcopy","pyridge","fixed"
"Kats",36,0.277227722772277,2,"Colposcopy","pyridge","fixed"
"tsfresh",696,0.366336633663366,2,"Colposcopy","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",283,0.287128712871287,2,"Colposcopy","pyridge","fixed"
"Quantiles",101,0.237623762376238,2,"Colposcopy","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",182,0.257425742574257,2,"Colposcopy","pyridge","fixed"
"catch22",22,0.316831683168317,3,"Colposcopy","pyridge","fixed"
"feasts",39,0.306930693069307,3,"Colposcopy","pyridge","fixed"
"tsfeatures",59,0.297029702970297,3,"Colposcopy","pyridge","fixed"
"TSFEL",146,0.277227722772277,3,"Colposcopy","pyridge","fixed"
"Kats",36,0.287128712871287,3,"Colposcopy","pyridge","fixed"
"tsfresh",698,0.297029702970297,3,"Colposcopy","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",283,0.316831683168317,3,"Colposcopy","pyridge","fixed"
"Quantiles",101,0.237623762376238,3,"Colposcopy","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",182,0.326732673267327,3,"Colposcopy","pyridge","fixed"
"catch22",22,0.316831683168317,4,"Colposcopy","pyridge","fixed"
"feasts",39,0.277227722772277,4,"Colposcopy","pyridge","fixed"
"tsfeatures",59,0.247524752475248,4,"Colposcopy","pyridge","fixed"
"TSFEL",144,0.267326732673267,4,"Colposcopy","pyridge","fixed"
"Kats",36,0.306930693069307,4,"Colposcopy","pyridge","fixed"
"tsfresh",698,0.306930693069307,4,"Colposcopy","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",283,0.326732673267327,4,"Colposcopy","pyridge","fixed"
"Quantiles",101,0.306930693069307,4,"Colposcopy","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",182,0.287128712871287,4,"Colposcopy","pyridge","fixed"
"catch22",22,0.287128712871287,5,"Colposcopy","pyridge","fixed"
"feasts",39,0.297029702970297,5,"Colposcopy","pyridge","fixed"
"tsfeatures",57,0.247524752475248,5,"Colposcopy","pyridge","fixed"
"TSFEL",145,0.287128712871287,5,"Colposcopy","pyridge","fixed"
"Kats",36,0.277227722772277,5,"Colposcopy","pyridge","fixed"
"tsfresh",697,0.326732673267327,5,"Colposcopy","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",283,0.346534653465347,5,"Colposcopy","pyridge","fixed"
"Quantiles",101,0.227722772277228,5,"Colposcopy","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",182,0.297029702970297,5,"Colposcopy","pyridge","fixed"
"catch22",22,0.306930693069307,6,"Colposcopy","pyridge","fixed"
"feasts",39,0.306930693069307,6,"Colposcopy","pyridge","fixed"
"tsfeatures",57,0.198019801980198,6,"Colposcopy","pyridge","fixed"
"TSFEL",146,0.297029702970297,6,"Colposcopy","pyridge","fixed"
"Kats",36,0.316831683168317,6,"Colposcopy","pyridge","fixed"
"tsfresh",696,0.306930693069307,6,"Colposcopy","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",283,0.257425742574257,6,"Colposcopy","pyridge","fixed"
"Quantiles",101,0.188118811881188,6,"Colposcopy","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",182,0.316831683168317,6,"Colposcopy","pyridge","fixed"
"catch22",22,0.336633663366337,7,"Colposcopy","pyridge","fixed"
"feasts",39,0.257425742574257,7,"Colposcopy","pyridge","fixed"
"tsfeatures",59,0.178217821782178,7,"Colposcopy","pyridge","fixed"
"TSFEL",146,0.356435643564356,7,"Colposcopy","pyridge","fixed"
"Kats",36,0.277227722772277,7,"Colposcopy","pyridge","fixed"
"tsfresh",698,0.366336633663366,7,"Colposcopy","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",283,0.277227722772277,7,"Colposcopy","pyridge","fixed"
"Quantiles",101,0.267326732673267,7,"Colposcopy","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",182,0.247524752475248,7,"Colposcopy","pyridge","fixed"
"catch22",22,0.366336633663366,8,"Colposcopy","pyridge","fixed"
"feasts",39,0.316831683168317,8,"Colposcopy","pyridge","fixed"
"tsfeatures",59,0.277227722772277,8,"Colposcopy","pyridge","fixed"
"TSFEL",144,0.297029702970297,8,"Colposcopy","pyridge","fixed"
"Kats",36,0.326732673267327,8,"Colposcopy","pyridge","fixed"
"tsfresh",696,0.336633663366337,8,"Colposcopy","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",283,0.306930693069307,8,"Colposcopy","pyridge","fixed"
"Quantiles",101,0.277227722772277,8,"Colposcopy","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",182,0.297029702970297,8,"Colposcopy","pyridge","fixed"
"catch22",22,0.356435643564356,9,"Colposcopy","pyridge","fixed"
"feasts",39,0.257425742574257,9,"Colposcopy","pyridge","fixed"
"tsfeatures",57,0.237623762376238,9,"Colposcopy","pyridge","fixed"
"TSFEL",145,0.346534653465347,9,"Colposcopy","pyridge","fixed"
"Kats",36,0.257425742574257,9,"Colposcopy","pyridge","fixed"
"tsfresh",697,0.336633663366337,9,"Colposcopy","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",283,0.267326732673267,9,"Colposcopy","pyridge","fixed"
"Quantiles",101,0.198019801980198,9,"Colposcopy","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",182,0.247524752475248,9,"Colposcopy","pyridge","fixed"
"catch22",22,0.336633663366337,10,"Colposcopy","pyridge","fixed"
"feasts",39,0.247524752475248,10,"Colposcopy","pyridge","fixed"
"tsfeatures",57,0.227722772277228,10,"Colposcopy","pyridge","fixed"
"TSFEL",144,0.277227722772277,10,"Colposcopy","pyridge","fixed"
"Kats",36,0.277227722772277,10,"Colposcopy","pyridge","fixed"
"tsfresh",697,0.356435643564356,10,"Colposcopy","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",283,0.306930693069307,10,"Colposcopy","pyridge","fixed"
"Quantiles",101,0.227722772277228,10,"Colposcopy","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",182,0.237623762376238,10,"Colposcopy","pyridge","fixed"
"catch22",22,0.297029702970297,11,"Colposcopy","pyridge","fixed"
"feasts",39,0.267326732673267,11,"Colposcopy","pyridge","fixed"
"tsfeatures",59,0.207920792079208,11,"Colposcopy","pyridge","fixed"
"TSFEL",143,0.237623762376238,11,"Colposcopy","pyridge","fixed"
"Kats",36,0.316831683168317,11,"Colposcopy","pyridge","fixed"
"tsfresh",696,0.257425742574257,11,"Colposcopy","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",283,0.326732673267327,11,"Colposcopy","pyridge","fixed"
"Quantiles",101,0.267326732673267,11,"Colposcopy","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",182,0.267326732673267,11,"Colposcopy","pyridge","fixed"
"catch22",22,0.287128712871287,12,"Colposcopy","pyridge","fixed"
"feasts",39,0.227722772277228,12,"Colposcopy","pyridge","fixed"
"tsfeatures",57,0.158415841584158,12,"Colposcopy","pyridge","fixed"
"TSFEL",145,0.217821782178218,12,"Colposcopy","pyridge","fixed"
"Kats",36,0.247524752475248,12,"Colposcopy","pyridge","fixed"
"tsfresh",698,0.326732673267327,12,"Colposcopy","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",283,0.267326732673267,12,"Colposcopy","pyridge","fixed"
"Quantiles",101,0.287128712871287,12,"Colposcopy","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",182,0.257425742574257,12,"Colposcopy","pyridge","fixed"
"catch22",22,0.346534653465347,13,"Colposcopy","pyridge","fixed"
"feasts",39,0.267326732673267,13,"Colposcopy","pyridge","fixed"
"tsfeatures",57,0.326732673267327,13,"Colposcopy","pyridge","fixed"
"TSFEL",146,0.287128712871287,13,"Colposcopy","pyridge","fixed"
"Kats",36,0.316831683168317,13,"Colposcopy","pyridge","fixed"
"tsfresh",697,0.287128712871287,13,"Colposcopy","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",283,0.257425742574257,13,"Colposcopy","pyridge","fixed"
"Quantiles",101,0.168316831683168,13,"Colposcopy","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",182,0.198019801980198,13,"Colposcopy","pyridge","fixed"
"catch22",22,0.396039603960396,14,"Colposcopy","pyridge","fixed"
"feasts",39,0.297029702970297,14,"Colposcopy","pyridge","fixed"
"tsfeatures",57,0.247524752475248,14,"Colposcopy","pyridge","fixed"
"TSFEL",146,0.287128712871287,14,"Colposcopy","pyridge","fixed"
"Kats",36,0.247524752475248,14,"Colposcopy","pyridge","fixed"
"tsfresh",697,0.326732673267327,14,"Colposcopy","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",283,0.247524752475248,14,"Colposcopy","pyridge","fixed"
"Quantiles",101,0.168316831683168,14,"Colposcopy","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",182,0.237623762376238,14,"Colposcopy","pyridge","fixed"
"catch22",22,0.247524752475248,15,"Colposcopy","pyridge","fixed"
"feasts",39,0.198019801980198,15,"Colposcopy","pyridge","fixed"
"tsfeatures",57,0.198019801980198,15,"Colposcopy","pyridge","fixed"
"TSFEL",145,0.168316831683168,15,"Colposcopy","pyridge","fixed"
"Kats",36,0.316831683168317,15,"Colposcopy","pyridge","fixed"
"tsfresh",696,0.277227722772277,15,"Colposcopy","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",283,0.227722772277228,15,"Colposcopy","pyridge","fixed"
