"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",22,0.724,1,"Computers","pyridge","cv"
"feasts",39,0.748,1,"Computers","pyridge","cv"
"tsfeatures",59,0.728,1,"Computers","pyridge","cv"
"TSFEL",145,0.728,1,"Computers","pyridge","cv"
"Kats",36,0.708,1,"Computers","pyridge","cv"
"tsfresh",747,0.712,1,"Computers","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.632,1,"Computers","pyridge","cv"
"Quantiles",101,0.664,1,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.588,1,"Computers","pyridge","cv"
"catch22",22,0.74,2,"Computers","pyridge","cv"
"feasts",39,0.732,2,"Computers","pyridge","cv"
"tsfeatures",59,0.764,2,"Computers","pyridge","cv"
"TSFEL",145,0.808,2,"Computers","pyridge","cv"
"Kats",36,0.732,2,"Computers","pyridge","cv"
"tsfresh",746,0.74,2,"Computers","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.66,2,"Computers","pyridge","cv"
"Quantiles",101,0.692,2,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.608,2,"Computers","pyridge","cv"
"catch22",22,0.716,3,"Computers","pyridge","cv"
"feasts",39,0.72,3,"Computers","pyridge","cv"
"tsfeatures",59,0.744,3,"Computers","pyridge","cv"
"TSFEL",145,0.764,3,"Computers","pyridge","cv"
"Kats",36,0.764,3,"Computers","pyridge","cv"
"tsfresh",747,0.748,3,"Computers","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.652,3,"Computers","pyridge","cv"
"Quantiles",101,0.68,3,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.584,3,"Computers","pyridge","cv"
"catch22",22,0.704,4,"Computers","pyridge","cv"
"feasts",39,0.724,4,"Computers","pyridge","cv"
"tsfeatures",59,0.764,4,"Computers","pyridge","cv"
"TSFEL",145,0.752,4,"Computers","pyridge","cv"
"Kats",36,0.74,4,"Computers","pyridge","cv"
"tsfresh",747,0.724,4,"Computers","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.64,4,"Computers","pyridge","cv"
"Quantiles",101,0.724,4,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.596,4,"Computers","pyridge","cv"
"catch22",22,0.732,5,"Computers","pyridge","cv"
"feasts",39,0.72,5,"Computers","pyridge","cv"
"tsfeatures",59,0.748,5,"Computers","pyridge","cv"
"TSFEL",145,0.812,5,"Computers","pyridge","cv"
"Kats",36,0.744,5,"Computers","pyridge","cv"
"tsfresh",747,0.76,5,"Computers","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.648,5,"Computers","pyridge","cv"
"Quantiles",101,0.696,5,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.612,5,"Computers","pyridge","cv"
"catch22",22,0.704,6,"Computers","pyridge","cv"
"feasts",39,0.684,6,"Computers","pyridge","cv"
"tsfeatures",59,0.752,6,"Computers","pyridge","cv"
"TSFEL",145,0.768,6,"Computers","pyridge","cv"
"Kats",36,0.7,6,"Computers","pyridge","cv"
"tsfresh",747,0.756,6,"Computers","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.656,6,"Computers","pyridge","cv"
"Quantiles",101,0.672,6,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.636,6,"Computers","pyridge","cv"
"catch22",22,0.72,7,"Computers","pyridge","cv"
"feasts",39,0.736,7,"Computers","pyridge","cv"
"tsfeatures",59,0.76,7,"Computers","pyridge","cv"
"TSFEL",145,0.76,7,"Computers","pyridge","cv"
"Kats",36,0.724,7,"Computers","pyridge","cv"
"tsfresh",747,0.736,7,"Computers","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.66,7,"Computers","pyridge","cv"
"Quantiles",101,0.724,7,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.58,7,"Computers","pyridge","cv"
"catch22",22,0.708,8,"Computers","pyridge","cv"
"feasts",39,0.732,8,"Computers","pyridge","cv"
"tsfeatures",59,0.76,8,"Computers","pyridge","cv"
"TSFEL",145,0.804,8,"Computers","pyridge","cv"
"Kats",36,0.74,8,"Computers","pyridge","cv"
"tsfresh",747,0.736,8,"Computers","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.672,8,"Computers","pyridge","cv"
"Quantiles",101,0.752,8,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.656,8,"Computers","pyridge","cv"
"catch22",22,0.736,9,"Computers","pyridge","cv"
"feasts",39,0.72,9,"Computers","pyridge","cv"
"tsfeatures",59,0.768,9,"Computers","pyridge","cv"
"TSFEL",145,0.744,9,"Computers","pyridge","cv"
"Kats",36,0.748,9,"Computers","pyridge","cv"
"tsfresh",746,0.752,9,"Computers","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.664,9,"Computers","pyridge","cv"
"Quantiles",101,0.736,9,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.628,9,"Computers","pyridge","cv"
"catch22",22,0.724,10,"Computers","pyridge","cv"
"feasts",39,0.732,10,"Computers","pyridge","cv"
"tsfeatures",59,0.756,10,"Computers","pyridge","cv"
"TSFEL",145,0.784,10,"Computers","pyridge","cv"
"Kats",36,0.736,10,"Computers","pyridge","cv"
"tsfresh",747,0.728,10,"Computers","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.648,10,"Computers","pyridge","cv"
"Quantiles",101,0.68,10,"Computers","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.604,10,"Computers","pyridge","cv"
"catch22",22,0.708,11,"Computers","pyridge","cv"
"feasts",39,0.752,11,"Computers","pyridge","cv"
"tsfeatures",59,0.756,11,"Computers","pyridge","cv"
"TSFEL",145,0.784,11,"Computers","pyridge","cv"
"Kats",36,0.744,11,"Computers","pyridge","cv"
