"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",22,0.51025641025641,1,"CricketZ","pyridge","cv"
"feasts",39,0.533333333333333,1,"CricketZ","pyridge","cv"
"tsfeatures",59,0.6,1,"CricketZ","pyridge","cv"
"TSFEL",143,0.638461538461538,1,"CricketZ","pyridge","cv"
"Kats",35,0.515384615384615,1,"CricketZ","pyridge","cv"
"tsfresh",735,0.658974358974359,1,"CricketZ","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.566666666666667,1,"CricketZ","pyridge","cv"
"Quantiles",101,0.412820512820513,1,"CricketZ","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.433333333333333,1,"CricketZ","pyridge","cv"
"catch22",22,0.525641025641026,2,"CricketZ","pyridge","cv"
"feasts",39,0.523076923076923,2,"CricketZ","pyridge","cv"
"tsfeatures",59,0.61025641025641,2,"CricketZ","pyridge","cv"
"TSFEL",143,0.684615384615385,2,"CricketZ","pyridge","cv"
"Kats",35,0.569230769230769,2,"CricketZ","pyridge","cv"
"tsfresh",734,0.684615384615385,2,"CricketZ","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.582051282051282,2,"CricketZ","pyridge","cv"
"Quantiles",101,0.428205128205128,2,"CricketZ","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.482051282051282,2,"CricketZ","pyridge","cv"
"catch22",22,0.528205128205128,3,"CricketZ","pyridge","cv"
"feasts",39,0.538461538461538,3,"CricketZ","pyridge","cv"
"tsfeatures",59,0.584615384615385,3,"CricketZ","pyridge","cv"
"TSFEL",143,0.58974358974359,3,"CricketZ","pyridge","cv"
"Kats",35,0.571794871794872,3,"CricketZ","pyridge","cv"
"tsfresh",734,0.658974358974359,3,"CricketZ","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.520512820512821,3,"CricketZ","pyridge","cv"
"Quantiles",101,0.433333333333333,3,"CricketZ","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.425641025641026,3,"CricketZ","pyridge","cv"
"catch22",22,0.530769230769231,4,"CricketZ","pyridge","cv"
"feasts",39,0.523076923076923,4,"CricketZ","pyridge","cv"
"tsfeatures",59,0.628205128205128,4,"CricketZ","pyridge","cv"
"TSFEL",143,0.653846153846154,4,"CricketZ","pyridge","cv"
"Kats",35,0.48974358974359,4,"CricketZ","pyridge","cv"
"tsfresh",734,0.712820512820513,4,"CricketZ","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.548717948717949,4,"CricketZ","pyridge","cv"
"Quantiles",101,0.441025641025641,4,"CricketZ","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.464102564102564,4,"CricketZ","pyridge","cv"
"catch22",22,0.551282051282051,5,"CricketZ","pyridge","cv"
"feasts",39,0.556410256410256,5,"CricketZ","pyridge","cv"
"tsfeatures",59,0.638461538461538,5,"CricketZ","pyridge","cv"
"TSFEL",143,0.630769230769231,5,"CricketZ","pyridge","cv"
"Kats",35,0.535897435897436,5,"CricketZ","pyridge","cv"
"tsfresh",735,0.682051282051282,5,"CricketZ","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.561538461538462,5,"CricketZ","pyridge","cv"
"Quantiles",101,0.433333333333333,5,"CricketZ","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.458974358974359,5,"CricketZ","pyridge","cv"
"catch22",22,0.546153846153846,6,"CricketZ","pyridge","cv"
"feasts",39,0.574358974358974,6,"CricketZ","pyridge","cv"
"tsfeatures",59,0.597435897435897,6,"CricketZ","pyridge","cv"
"TSFEL",143,0.669230769230769,6,"CricketZ","pyridge","cv"
"Kats",35,0.564102564102564,6,"CricketZ","pyridge","cv"
"tsfresh",732,0.68974358974359,6,"CricketZ","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.57948717948718,6,"CricketZ","pyridge","cv"
"Quantiles",101,0.412820512820513,6,"CricketZ","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.461538461538462,6,"CricketZ","pyridge","cv"
"catch22",22,0.528205128205128,7,"CricketZ","pyridge","cv"
"feasts",39,0.541025641025641,7,"CricketZ","pyridge","cv"
"tsfeatures",59,0.625641025641026,7,"CricketZ","pyridge","cv"
"TSFEL",143,0.628205128205128,7,"CricketZ","pyridge","cv"
"Kats",35,0.569230769230769,7,"CricketZ","pyridge","cv"
"tsfresh",734,0.68974358974359,7,"CricketZ","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.528205128205128,7,"CricketZ","pyridge","cv"
"Quantiles",101,0.438461538461538,7,"CricketZ","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.438461538461538,7,"CricketZ","pyridge","cv"
"catch22",22,0.515384615384615,8,"CricketZ","pyridge","cv"
"feasts",39,0.502564102564103,8,"CricketZ","pyridge","cv"
"tsfeatures",59,0.571794871794872,8,"CricketZ","pyridge","cv"
"TSFEL",143,0.641025641025641,8,"CricketZ","pyridge","cv"
"Kats",35,0.525641025641026,8,"CricketZ","pyridge","cv"
"tsfresh",733,0.687179487179487,8,"CricketZ","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.564102564102564,8,"CricketZ","pyridge","cv"
