"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",22,0.640287769784173,1,"DistalPhalanxTW","pyridge","cv"
"feasts",36,0.647482014388489,1,"DistalPhalanxTW","pyridge","cv"
"tsfeatures",59,0.661870503597122,1,"DistalPhalanxTW","pyridge","cv"
"TSFEL",142,0.647482014388489,1,"DistalPhalanxTW","pyridge","cv"
"Kats",36,0.676258992805755,1,"DistalPhalanxTW","pyridge","cv"
"tsfresh",484,0.640287769784173,1,"DistalPhalanxTW","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",183,0.676258992805755,1,"DistalPhalanxTW","pyridge","cv"
"Quantiles",101,0.690647482014389,1,"DistalPhalanxTW","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",82,0.661870503597122,1,"DistalPhalanxTW","pyridge","cv"
"catch22",22,0.661870503597122,2,"DistalPhalanxTW","pyridge","cv"
"feasts",36,0.690647482014389,2,"DistalPhalanxTW","pyridge","cv"
"tsfeatures",59,0.705035971223022,2,"DistalPhalanxTW","pyridge","cv"
"TSFEL",142,0.669064748201439,2,"DistalPhalanxTW","pyridge","cv"
"Kats",36,0.676258992805755,2,"DistalPhalanxTW","pyridge","cv"
"tsfresh",484,0.669064748201439,2,"DistalPhalanxTW","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",183,0.733812949640288,2,"DistalPhalanxTW","pyridge","cv"
"Quantiles",101,0.697841726618705,2,"DistalPhalanxTW","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",82,0.661870503597122,2,"DistalPhalanxTW","pyridge","cv"
"catch22",22,0.683453237410072,3,"DistalPhalanxTW","pyridge","cv"
"feasts",35,0.676258992805755,3,"DistalPhalanxTW","pyridge","cv"
"tsfeatures",59,0.719424460431655,3,"DistalPhalanxTW","pyridge","cv"
"TSFEL",142,0.676258992805755,3,"DistalPhalanxTW","pyridge","cv"
"Kats",36,0.690647482014389,3,"DistalPhalanxTW","pyridge","cv"
"tsfresh",484,0.661870503597122,3,"DistalPhalanxTW","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",183,0.676258992805755,3,"DistalPhalanxTW","pyridge","cv"
"Quantiles",101,0.683453237410072,3,"DistalPhalanxTW","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",82,0.633093525179856,3,"DistalPhalanxTW","pyridge","cv"
"catch22",22,0.640287769784173,4,"DistalPhalanxTW","pyridge","cv"
