"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",22,0.415584415584416,1,"DodgerLoopDay","pyridge","fixed"
"feasts",36,0.441558441558442,1,"DodgerLoopDay","pyridge","fixed"
"tsfeatures",57,0.493506493506494,1,"DodgerLoopDay","pyridge","fixed"
"TSFEL",144,0.519480519480519,1,"DodgerLoopDay","pyridge","fixed"
"Kats",36,0.506493506493506,1,"DodgerLoopDay","pyridge","fixed"
"tsfresh",730,0.545454545454545,1,"DodgerLoopDay","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.48051948051948,1,"DodgerLoopDay","pyridge","fixed"
"Quantiles",101,0.428571428571429,1,"DodgerLoopDay","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.376623376623377,1,"DodgerLoopDay","pyridge","fixed"
"catch22",22,0.441558441558442,2,"DodgerLoopDay","pyridge","fixed"
"feasts",35,0.454545454545455,2,"DodgerLoopDay","pyridge","fixed"
"tsfeatures",57,0.48051948051948,2,"DodgerLoopDay","pyridge","fixed"
"TSFEL",143,0.428571428571429,2,"DodgerLoopDay","pyridge","fixed"
"Kats",36,0.454545454545455,2,"DodgerLoopDay","pyridge","fixed"
"tsfresh",727,0.506493506493506,2,"DodgerLoopDay","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.558441558441558,2,"DodgerLoopDay","pyridge","fixed"
"Quantiles",101,0.493506493506494,2,"DodgerLoopDay","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.441558441558442,2,"DodgerLoopDay","pyridge","fixed"
"catch22",22,0.467532467532468,3,"DodgerLoopDay","pyridge","fixed"
"feasts",35,0.441558441558442,3,"DodgerLoopDay","pyridge","fixed"
"tsfeatures",57,0.493506493506494,3,"DodgerLoopDay","pyridge","fixed"
"TSFEL",141,0.519480519480519,3,"DodgerLoopDay","pyridge","fixed"
"Kats",36,0.519480519480519,3,"DodgerLoopDay","pyridge","fixed"
"tsfresh",727,0.519480519480519,3,"DodgerLoopDay","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.428571428571429,3,"DodgerLoopDay","pyridge","fixed"
"Quantiles",101,0.415584415584416,3,"DodgerLoopDay","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.376623376623377,3,"DodgerLoopDay","pyridge","fixed"
"catch22",22,0.506493506493506,4,"DodgerLoopDay","pyridge","fixed"
"feasts",36,0.467532467532468,4,"DodgerLoopDay","pyridge","fixed"
"tsfeatures",57,0.519480519480519,4,"DodgerLoopDay","pyridge","fixed"
"TSFEL",145,0.428571428571429,4,"DodgerLoopDay","pyridge","fixed"
"Kats",36,0.38961038961039,4,"DodgerLoopDay","pyridge","fixed"
"tsfresh",730,0.454545454545455,4,"DodgerLoopDay","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.545454545454545,4,"DodgerLoopDay","pyridge","fixed"
"Quantiles",101,0.532467532467532,4,"DodgerLoopDay","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.402597402597403,4,"DodgerLoopDay","pyridge","fixed"
"catch22",22,0.467532467532468,5,"DodgerLoopDay","pyridge","fixed"
"feasts",35,0.337662337662338,5,"DodgerLoopDay","pyridge","fixed"
"tsfeatures",57,0.467532467532468,5,"DodgerLoopDay","pyridge","fixed"
"TSFEL",145,0.441558441558442,5,"DodgerLoopDay","pyridge","fixed"
"Kats",36,0.38961038961039,5,"DodgerLoopDay","pyridge","fixed"
"tsfresh",727,0.532467532467532,5,"DodgerLoopDay","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.519480519480519,5,"DodgerLoopDay","pyridge","fixed"
"Quantiles",101,0.454545454545455,5,"DodgerLoopDay","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.376623376623377,5,"DodgerLoopDay","pyridge","fixed"
"catch22",22,0.506493506493506,6,"DodgerLoopDay","pyridge","fixed"
"feasts",36,0.337662337662338,6,"DodgerLoopDay","pyridge","fixed"
"tsfeatures",57,0.506493506493506,6,"DodgerLoopDay","pyridge","fixed"
"TSFEL",142,0.376623376623377,6,"DodgerLoopDay","pyridge","fixed"
"Kats",36,0.48051948051948,6,"DodgerLoopDay","pyridge","fixed"
"tsfresh",730,0.532467532467532,6,"DodgerLoopDay","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.454545454545455,6,"DodgerLoopDay","pyridge","fixed"
"Quantiles",101,0.467532467532468,6,"DodgerLoopDay","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.402597402597403,6,"DodgerLoopDay","pyridge","fixed"
"catch22",22,0.48051948051948,7,"DodgerLoopDay","pyridge","fixed"
"feasts",36,0.363636363636364,7,"DodgerLoopDay","pyridge","fixed"
"tsfeatures",57,0.493506493506494,7,"DodgerLoopDay","pyridge","fixed"
"TSFEL",142,0.402597402597403,7,"DodgerLoopDay","pyridge","fixed"
"Kats",36,0.38961038961039,7,"DodgerLoopDay","pyridge","fixed"
"tsfresh",728,0.519480519480519,7,"DodgerLoopDay","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.48051948051948,7,"DodgerLoopDay","pyridge","fixed"
"Quantiles",101,0.519480519480519,7,"DodgerLoopDay","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.363636363636364,7,"DodgerLoopDay","pyridge","fixed"
"catch22",22,0.441558441558442,8,"DodgerLoopDay","pyridge","fixed"
"feasts",35,0.402597402597403,8,"DodgerLoopDay","pyridge","fixed"
"tsfeatures",57,0.545454545454545,8,"DodgerLoopDay","pyridge","fixed"
"TSFEL",143,0.441558441558442,8,"DodgerLoopDay","pyridge","fixed"
"Kats",36,0.363636363636364,8,"DodgerLoopDay","pyridge","fixed"
"tsfresh",727,0.48051948051948,8,"DodgerLoopDay","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.441558441558442,8,"DodgerLoopDay","pyridge","fixed"
"Quantiles",101,0.402597402597403,8,"DodgerLoopDay","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.337662337662338,8,"DodgerLoopDay","pyridge","fixed"
"catch22",22,0.493506493506494,9,"DodgerLoopDay","pyridge","fixed"
"feasts",36,0.376623376623377,9,"DodgerLoopDay","pyridge","fixed"
"tsfeatures",57,0.623376623376623,9,"DodgerLoopDay","pyridge","fixed"
"TSFEL",141,0.38961038961039,9,"DodgerLoopDay","pyridge","fixed"
"Kats",36,0.38961038961039,9,"DodgerLoopDay","pyridge","fixed"
"tsfresh",728,0.506493506493506,9,"DodgerLoopDay","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.519480519480519,9,"DodgerLoopDay","pyridge","fixed"
"Quantiles",101,0.402597402597403,9,"DodgerLoopDay","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.38961038961039,9,"DodgerLoopDay","pyridge","fixed"
"catch22",22,0.467532467532468,10,"DodgerLoopDay","pyridge","fixed"
"feasts",36,0.467532467532468,10,"DodgerLoopDay","pyridge","fixed"
"tsfeatures",57,0.493506493506494,10,"DodgerLoopDay","pyridge","fixed"
"TSFEL",142,0.415584415584416,10,"DodgerLoopDay","pyridge","fixed"
"Kats",36,0.350649350649351,10,"DodgerLoopDay","pyridge","fixed"
"tsfresh",728,0.519480519480519,10,"DodgerLoopDay","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.519480519480519,10,"DodgerLoopDay","pyridge","fixed"
"Quantiles",101,0.441558441558442,10,"DodgerLoopDay","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.38961038961039,10,"DodgerLoopDay","pyridge","fixed"
"catch22",22,0.415584415584416,11,"DodgerLoopDay","pyridge","fixed"
"feasts",35,0.402597402597403,11,"DodgerLoopDay","pyridge","fixed"
"tsfeatures",57,0.519480519480519,11,"DodgerLoopDay","pyridge","fixed"
"TSFEL",143,0.493506493506494,11,"DodgerLoopDay","pyridge","fixed"
"Kats",36,0.467532467532468,11,"DodgerLoopDay","pyridge","fixed"
"tsfresh",727,0.61038961038961,11,"DodgerLoopDay","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.519480519480519,11,"DodgerLoopDay","pyridge","fixed"
"Quantiles",101,0.506493506493506,11,"DodgerLoopDay","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.376623376623377,11,"DodgerLoopDay","pyridge","fixed"
"catch22",22,0.324675324675325,12,"DodgerLoopDay","pyridge","fixed"
"feasts",35,0.441558441558442,12,"DodgerLoopDay","pyridge","fixed"
"tsfeatures",57,0.467532467532468,12,"DodgerLoopDay","pyridge","fixed"
"TSFEL",142,0.415584415584416,12,"DodgerLoopDay","pyridge","fixed"
"Kats",36,0.428571428571429,12,"DodgerLoopDay","pyridge","fixed"
"tsfresh",729,0.506493506493506,12,"DodgerLoopDay","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.493506493506494,12,"DodgerLoopDay","pyridge","fixed"
"Quantiles",101,0.38961038961039,12,"DodgerLoopDay","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.38961038961039,12,"DodgerLoopDay","pyridge","fixed"
"catch22",22,0.493506493506494,13,"DodgerLoopDay","pyridge","fixed"
"feasts",35,0.467532467532468,13,"DodgerLoopDay","pyridge","fixed"
"tsfeatures",57,0.61038961038961,13,"DodgerLoopDay","pyridge","fixed"
"TSFEL",142,0.415584415584416,13,"DodgerLoopDay","pyridge","fixed"
"Kats",36,0.428571428571429,13,"DodgerLoopDay","pyridge","fixed"
"tsfresh",727,0.519480519480519,13,"DodgerLoopDay","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.493506493506494,13,"DodgerLoopDay","pyridge","fixed"
"Quantiles",101,0.506493506493506,13,"DodgerLoopDay","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.311688311688312,13,"DodgerLoopDay","pyridge","fixed"
"catch22",22,0.467532467532468,14,"DodgerLoopDay","pyridge","fixed"
"feasts",35,0.363636363636364,14,"DodgerLoopDay","pyridge","fixed"
"tsfeatures",57,0.48051948051948,14,"DodgerLoopDay","pyridge","fixed"
"TSFEL",145,0.428571428571429,14,"DodgerLoopDay","pyridge","fixed"
"Kats",36,0.350649350649351,14,"DodgerLoopDay","pyridge","fixed"
"tsfresh",727,0.467532467532468,14,"DodgerLoopDay","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.493506493506494,14,"DodgerLoopDay","pyridge","fixed"
"Quantiles",101,0.493506493506494,14,"DodgerLoopDay","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.415584415584416,14,"DodgerLoopDay","pyridge","fixed"
"catch22",22,0.428571428571429,15,"DodgerLoopDay","pyridge","fixed"
"feasts",36,0.506493506493506,15,"DodgerLoopDay","pyridge","fixed"
"tsfeatures",57,0.467532467532468,15,"DodgerLoopDay","pyridge","fixed"
"TSFEL",142,0.454545454545455,15,"DodgerLoopDay","pyridge","fixed"
"Kats",36,0.376623376623377,15,"DodgerLoopDay","pyridge","fixed"
"tsfresh",730,0.493506493506494,15,"DodgerLoopDay","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.454545454545455,15,"DodgerLoopDay","pyridge","fixed"
"Quantiles",101,0.519480519480519,15,"DodgerLoopDay","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.376623376623377,15,"DodgerLoopDay","pyridge","fixed"
"catch22",22,0.376623376623377,16,"DodgerLoopDay","pyridge","fixed"
"feasts",35,0.454545454545455,16,"DodgerLoopDay","pyridge","fixed"
"tsfeatures",57,0.415584415584416,16,"DodgerLoopDay","pyridge","fixed"
"TSFEL",142,0.441558441558442,16,"DodgerLoopDay","pyridge","fixed"
"Kats",36,0.454545454545455,16,"DodgerLoopDay","pyridge","fixed"
"tsfresh",727,0.493506493506494,16,"DodgerLoopDay","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.441558441558442,16,"DodgerLoopDay","pyridge","fixed"
"Quantiles",101,0.428571428571429,16,"DodgerLoopDay","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.376623376623377,16,"DodgerLoopDay","pyridge","fixed"
"catch22",22,0.532467532467532,17,"DodgerLoopDay","pyridge","fixed"
"feasts",35,0.467532467532468,17,"DodgerLoopDay","pyridge","fixed"
"tsfeatures",57,0.506493506493506,17,"DodgerLoopDay","pyridge","fixed"
"TSFEL",144,0.493506493506494,17,"DodgerLoopDay","pyridge","fixed"
"Kats",36,0.441558441558442,17,"DodgerLoopDay","pyridge","fixed"
"tsfresh",729,0.532467532467532,17,"DodgerLoopDay","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.506493506493506,17,"DodgerLoopDay","pyridge","fixed"
"Quantiles",101,0.363636363636364,17,"DodgerLoopDay","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.324675324675325,17,"DodgerLoopDay","pyridge","fixed"
"catch22",22,0.415584415584416,18,"DodgerLoopDay","pyridge","fixed"
"feasts",35,0.441558441558442,18,"DodgerLoopDay","pyridge","fixed"
"tsfeatures",57,0.493506493506494,18,"DodgerLoopDay","pyridge","fixed"
"TSFEL",142,0.415584415584416,18,"DodgerLoopDay","pyridge","fixed"
"Kats",36,0.493506493506494,18,"DodgerLoopDay","pyridge","fixed"
"tsfresh",727,0.48051948051948,18,"DodgerLoopDay","pyridge","fixed"
