"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",22,0.952380952380952,1,"DodgerLoopWeekend","pyridge","fixed"
"feasts",35,0.873015873015873,1,"DodgerLoopWeekend","pyridge","fixed"
"tsfeatures",57,0.976190476190476,1,"DodgerLoopWeekend","pyridge","fixed"
"TSFEL",143,0.96031746031746,1,"DodgerLoopWeekend","pyridge","fixed"
"Kats",36,0.817460317460317,1,"DodgerLoopWeekend","pyridge","fixed"
"tsfresh",726,0.984126984126984,1,"DodgerLoopWeekend","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.912698412698413,1,"DodgerLoopWeekend","pyridge","fixed"
"Quantiles",101,0.920634920634921,1,"DodgerLoopWeekend","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.80952380952381,1,"DodgerLoopWeekend","pyridge","fixed"
"catch22",22,0.904761904761905,2,"DodgerLoopWeekend","pyridge","fixed"
"feasts",35,0.833333333333333,2,"DodgerLoopWeekend","pyridge","fixed"
"tsfeatures",57,0.928571428571429,2,"DodgerLoopWeekend","pyridge","fixed"
"TSFEL",141,0.952380952380952,2,"DodgerLoopWeekend","pyridge","fixed"
"Kats",36,0.936507936507937,2,"DodgerLoopWeekend","pyridge","fixed"
"tsfresh",727,0.952380952380952,2,"DodgerLoopWeekend","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.912698412698413,2,"DodgerLoopWeekend","pyridge","fixed"
"Quantiles",101,0.904761904761905,2,"DodgerLoopWeekend","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.801587301587302,2,"DodgerLoopWeekend","pyridge","fixed"
"catch22",22,0.984126984126984,3,"DodgerLoopWeekend","pyridge","fixed"
"feasts",35,0.904761904761905,3,"DodgerLoopWeekend","pyridge","fixed"
"tsfeatures",57,0.936507936507937,3,"DodgerLoopWeekend","pyridge","fixed"
"TSFEL",141,0.968253968253968,3,"DodgerLoopWeekend","pyridge","fixed"
"Kats",36,0.968253968253968,3,"DodgerLoopWeekend","pyridge","fixed"
"tsfresh",727,0.976190476190476,3,"DodgerLoopWeekend","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.912698412698413,3,"DodgerLoopWeekend","pyridge","fixed"
"Quantiles",101,0.904761904761905,3,"DodgerLoopWeekend","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.817460317460317,3,"DodgerLoopWeekend","pyridge","fixed"
"catch22",22,0.912698412698413,4,"DodgerLoopWeekend","pyridge","fixed"
"feasts",35,0.761904761904762,4,"DodgerLoopWeekend","pyridge","fixed"
"tsfeatures",57,0.96031746031746,4,"DodgerLoopWeekend","pyridge","fixed"
"TSFEL",143,0.928571428571429,4,"DodgerLoopWeekend","pyridge","fixed"
"Kats",36,0.920634920634921,4,"DodgerLoopWeekend","pyridge","fixed"
"tsfresh",726,0.968253968253968,4,"DodgerLoopWeekend","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.888888888888889,4,"DodgerLoopWeekend","pyridge","fixed"
"Quantiles",101,0.817460317460317,4,"DodgerLoopWeekend","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.722222222222222,4,"DodgerLoopWeekend","pyridge","fixed"
"catch22",22,0.984126984126984,5,"DodgerLoopWeekend","pyridge","fixed"
"feasts",35,0.904761904761905,5,"DodgerLoopWeekend","pyridge","fixed"
"tsfeatures",57,0.96031746031746,5,"DodgerLoopWeekend","pyridge","fixed"
"TSFEL",141,0.96031746031746,5,"DodgerLoopWeekend","pyridge","fixed"
"Kats",36,0.96031746031746,5,"DodgerLoopWeekend","pyridge","fixed"
"tsfresh",727,0.976190476190476,5,"DodgerLoopWeekend","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.912698412698413,5,"DodgerLoopWeekend","pyridge","fixed"
"Quantiles",101,0.904761904761905,5,"DodgerLoopWeekend","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.841269841269841,5,"DodgerLoopWeekend","pyridge","fixed"
"catch22",22,0.928571428571429,6,"DodgerLoopWeekend","pyridge","fixed"
"feasts",36,0.817460317460317,6,"DodgerLoopWeekend","pyridge","fixed"
"tsfeatures",57,0.920634920634921,6,"DodgerLoopWeekend","pyridge","fixed"
"TSFEL",142,0.936507936507937,6,"DodgerLoopWeekend","pyridge","fixed"
"Kats",36,0.865079365079365,6,"DodgerLoopWeekend","pyridge","fixed"
"tsfresh",728,0.976190476190476,6,"DodgerLoopWeekend","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.928571428571429,6,"DodgerLoopWeekend","pyridge","fixed"
"Quantiles",101,0.936507936507937,6,"DodgerLoopWeekend","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.801587301587302,6,"DodgerLoopWeekend","pyridge","fixed"
"catch22",22,0.952380952380952,7,"DodgerLoopWeekend","pyridge","fixed"
"feasts",35,0.706349206349206,7,"DodgerLoopWeekend","pyridge","fixed"
"tsfeatures",57,0.841269841269841,7,"DodgerLoopWeekend","pyridge","fixed"
"TSFEL",141,0.912698412698413,7,"DodgerLoopWeekend","pyridge","fixed"
"Kats",36,0.896825396825397,7,"DodgerLoopWeekend","pyridge","fixed"
"tsfresh",729,0.873015873015873,7,"DodgerLoopWeekend","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.603174603174603,7,"DodgerLoopWeekend","pyridge","fixed"
"Quantiles",101,0.619047619047619,7,"DodgerLoopWeekend","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.626984126984127,7,"DodgerLoopWeekend","pyridge","fixed"
"catch22",22,0.96031746031746,8,"DodgerLoopWeekend","pyridge","fixed"
"feasts",35,0.873015873015873,8,"DodgerLoopWeekend","pyridge","fixed"
"tsfeatures",57,0.944444444444444,8,"DodgerLoopWeekend","pyridge","fixed"
"TSFEL",142,0.896825396825397,8,"DodgerLoopWeekend","pyridge","fixed"
"Kats",36,0.888888888888889,8,"DodgerLoopWeekend","pyridge","fixed"
"tsfresh",727,0.968253968253968,8,"DodgerLoopWeekend","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.865079365079365,8,"DodgerLoopWeekend","pyridge","fixed"
"Quantiles",101,0.880952380952381,8,"DodgerLoopWeekend","pyridge","fixed"
