"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",22,0.644599303135889,1,"ECGFiveDays","pyridge","fixed"
"feasts",37,0.883855981416957,1,"ECGFiveDays","pyridge","fixed"
"tsfeatures",59,0.842044134727062,1,"ECGFiveDays","pyridge","fixed"
"TSFEL",144,0.898954703832753,1,"ECGFiveDays","pyridge","fixed"
"Kats",35,0.883855981416957,1,"ECGFiveDays","pyridge","fixed"
"tsfresh",604,0.878048780487805,1,"ECGFiveDays","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",239,0.977932636469222,1,"ECGFiveDays","pyridge","fixed"
"Quantiles",101,0.751451800232288,1,"ECGFiveDays","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",138,0.982578397212544,1,"ECGFiveDays","pyridge","fixed"
"catch22",22,0.749128919860627,2,"ECGFiveDays","pyridge","fixed"
"feasts",37,0.81068524970964,2,"ECGFiveDays","pyridge","fixed"
"tsfeatures",59,0.821138211382114,2,"ECGFiveDays","pyridge","fixed"
"TSFEL",144,0.852497096399535,2,"ECGFiveDays","pyridge","fixed"
"Kats",35,0.925667828106852,2,"ECGFiveDays","pyridge","fixed"
"tsfresh",600,0.878048780487805,2,"ECGFiveDays","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",239,0.993031358885017,2,"ECGFiveDays","pyridge","fixed"
"Quantiles",101,0.771196283391405,2,"ECGFiveDays","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",138,0.986062717770035,2,"ECGFiveDays","pyridge","fixed"
"catch22",22,0.736353077816492,3,"ECGFiveDays","pyridge","fixed"
"feasts",37,0.826945412311266,3,"ECGFiveDays","pyridge","fixed"
"tsfeatures",59,0.901277584204414,3,"ECGFiveDays","pyridge","fixed"
"TSFEL",144,0.835075493612079,3,"ECGFiveDays","pyridge","fixed"
"Kats",35,0.86527293844367,3,"ECGFiveDays","pyridge","fixed"
