"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",22,0.430939226519337,1,"EOGHorizontalSignal","pyridge","cv"
"feasts",37,0.486187845303867,1,"EOGHorizontalSignal","pyridge","cv"
"tsfeatures",59,0.502762430939227,1,"EOGHorizontalSignal","pyridge","cv"
"TSFEL",144,0.477900552486188,1,"EOGHorizontalSignal","pyridge","cv"
"Kats",36,0.392265193370166,1,"EOGHorizontalSignal","pyridge","cv"
"tsfresh",744,0.480662983425414,1,"EOGHorizontalSignal","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.417127071823204,1,"EOGHorizontalSignal","pyridge","cv"
"Quantiles",101,0.295580110497238,1,"EOGHorizontalSignal","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.367403314917127,1,"EOGHorizontalSignal","pyridge","cv"
"catch22",22,0.546961325966851,2,"EOGHorizontalSignal","pyridge","cv"
"feasts",37,0.651933701657459,2,"EOGHorizontalSignal","pyridge","cv"
"tsfeatures",59,0.6353591160221,2,"EOGHorizontalSignal","pyridge","cv"
"TSFEL",144,0.657458563535912,2,"EOGHorizontalSignal","pyridge","cv"
"Kats",36,0.582872928176796,2,"EOGHorizontalSignal","pyridge","cv"
"tsfresh",746,0.613259668508287,2,"EOGHorizontalSignal","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.574585635359116,2,"EOGHorizontalSignal","pyridge","cv"
"Quantiles",101,0.464088397790055,2,"EOGHorizontalSignal","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.49171270718232,2,"EOGHorizontalSignal","pyridge","cv"
"catch22",22,0.596685082872928,3,"EOGHorizontalSignal","pyridge","cv"
"feasts",37,0.662983425414365,3,"EOGHorizontalSignal","pyridge","cv"
"tsfeatures",59,0.660220994475138,3,"EOGHorizontalSignal","pyridge","cv"
"TSFEL",144,0.646408839779006,3,"EOGHorizontalSignal","pyridge","cv"
"Kats",36,0.569060773480663,3,"EOGHorizontalSignal","pyridge","cv"
"tsfresh",746,0.61878453038674,3,"EOGHorizontalSignal","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.546961325966851,3,"EOGHorizontalSignal","pyridge","cv"
"Quantiles",101,0.535911602209945,3,"EOGHorizontalSignal","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.455801104972376,3,"EOGHorizontalSignal","pyridge","cv"
"catch22",22,0.599447513812155,4,"EOGHorizontalSignal","pyridge","cv"
"feasts",37,0.660220994475138,4,"EOGHorizontalSignal","pyridge","cv"
"tsfeatures",59,0.649171270718232,4,"EOGHorizontalSignal","pyridge","cv"
"TSFEL",144,0.6353591160221,4,"EOGHorizontalSignal","pyridge","cv"
"Kats",36,0.616022099447514,4,"EOGHorizontalSignal","pyridge","cv"
"tsfresh",746,0.624309392265193,4,"EOGHorizontalSignal","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.580110497237569,4,"EOGHorizontalSignal","pyridge","cv"
"Quantiles",101,0.475138121546961,4,"EOGHorizontalSignal","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.488950276243094,4,"EOGHorizontalSignal","pyridge","cv"
"catch22",22,0.582872928176796,5,"EOGHorizontalSignal","pyridge","cv"
"feasts",37,0.668508287292818,5,"EOGHorizontalSignal","pyridge","cv"
"tsfeatures",59,0.674033149171271,5,"EOGHorizontalSignal","pyridge","cv"
"TSFEL",144,0.643646408839779,5,"EOGHorizontalSignal","pyridge","cv"
"Kats",36,0.649171270718232,5,"EOGHorizontalSignal","pyridge","cv"
"tsfresh",746,0.602209944751381,5,"EOGHorizontalSignal","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.544198895027624,5,"EOGHorizontalSignal","pyridge","cv"
"Quantiles",101,0.49171270718232,5,"EOGHorizontalSignal","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.486187845303867,5,"EOGHorizontalSignal","pyridge","cv"
