"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",22,0.748201438848921,1,"Earthquakes","pyridge","cv"
"feasts",38,0.748201438848921,1,"Earthquakes","pyridge","cv"
"tsfeatures",57,0.741007194244604,1,"Earthquakes","pyridge","cv"
"TSFEL",144,0.748201438848921,1,"Earthquakes","pyridge","cv"
"Kats",36,0.748201438848921,1,"Earthquakes","pyridge","cv"
"tsfresh",722,0.748201438848921,1,"Earthquakes","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.748201438848921,1,"Earthquakes","pyridge","cv"
"Quantiles",101,0.748201438848921,1,"Earthquakes","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.748201438848921,1,"Earthquakes","pyridge","cv"
"catch22",22,0.748201438848921,2,"Earthquakes","pyridge","cv"
"feasts",38,0.748201438848921,2,"Earthquakes","pyridge","cv"
"tsfeatures",57,0.748201438848921,2,"Earthquakes","pyridge","cv"
"TSFEL",144,0.748201438848921,2,"Earthquakes","pyridge","cv"
"Kats",36,0.748201438848921,2,"Earthquakes","pyridge","cv"
"tsfresh",722,0.748201438848921,2,"Earthquakes","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.748201438848921,2,"Earthquakes","pyridge","cv"
"Quantiles",101,0.748201438848921,2,"Earthquakes","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.748201438848921,2,"Earthquakes","pyridge","cv"
"catch22",22,0.748201438848921,3,"Earthquakes","pyridge","cv"
"feasts",38,0.748201438848921,3,"Earthquakes","pyridge","cv"
"tsfeatures",57,0.748201438848921,3,"Earthquakes","pyridge","cv"
"TSFEL",144,0.748201438848921,3,"Earthquakes","pyridge","cv"
"Kats",36,0.748201438848921,3,"Earthquakes","pyridge","cv"
"tsfresh",722,0.748201438848921,3,"Earthquakes","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.748201438848921,3,"Earthquakes","pyridge","cv"
"Quantiles",101,0.719424460431655,3,"Earthquakes","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.748201438848921,3,"Earthquakes","pyridge","cv"
"catch22",22,0.748201438848921,4,"Earthquakes","pyridge","cv"
"feasts",38,0.748201438848921,4,"Earthquakes","pyridge","cv"
"tsfeatures",57,0.748201438848921,4,"Earthquakes","pyridge","cv"
"TSFEL",143,0.748201438848921,4,"Earthquakes","pyridge","cv"
"Kats",36,0.748201438848921,4,"Earthquakes","pyridge","cv"
"tsfresh",720,0.733812949640288,4,"Earthquakes","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.748201438848921,4,"Earthquakes","pyridge","cv"
"Quantiles",101,0.748201438848921,4,"Earthquakes","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.748201438848921,4,"Earthquakes","pyridge","cv"
"catch22",22,0.748201438848921,5,"Earthquakes","pyridge","cv"
"feasts",38,0.748201438848921,5,"Earthquakes","pyridge","cv"
"tsfeatures",57,0.748201438848921,5,"Earthquakes","pyridge","cv"
"TSFEL",143,0.748201438848921,5,"Earthquakes","pyridge","cv"
"Kats",36,0.748201438848921,5,"Earthquakes","pyridge","cv"
"tsfresh",720,0.755395683453237,5,"Earthquakes","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.748201438848921,5,"Earthquakes","pyridge","cv"
"Quantiles",101,0.748201438848921,5,"Earthquakes","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.748201438848921,5,"Earthquakes","pyridge","cv"
"catch22",22,0.748201438848921,6,"Earthquakes","pyridge","cv"
"feasts",38,0.726618705035971,6,"Earthquakes","pyridge","cv"
"tsfeatures",57,0.748201438848921,6,"Earthquakes","pyridge","cv"
"TSFEL",143,0.748201438848921,6,"Earthquakes","pyridge","cv"
"Kats",36,0.748201438848921,6,"Earthquakes","pyridge","cv"
"tsfresh",720,0.755395683453237,6,"Earthquakes","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.748201438848921,6,"Earthquakes","pyridge","cv"
"Quantiles",101,0.748201438848921,6,"Earthquakes","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.748201438848921,6,"Earthquakes","pyridge","cv"
"catch22",22,0.748201438848921,7,"Earthquakes","pyridge","cv"
"feasts",38,0.748201438848921,7,"Earthquakes","pyridge","cv"
"tsfeatures",57,0.748201438848921,7,"Earthquakes","pyridge","cv"
"TSFEL",144,0.741007194244604,7,"Earthquakes","pyridge","cv"
"Kats",36,0.748201438848921,7,"Earthquakes","pyridge","cv"
"tsfresh",722,0.748201438848921,7,"Earthquakes","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.748201438848921,7,"Earthquakes","pyridge","cv"
"Quantiles",101,0.748201438848921,7,"Earthquakes","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.748201438848921,7,"Earthquakes","pyridge","cv"
"catch22",22,0.748201438848921,8,"Earthquakes","pyridge","cv"
"feasts",38,0.748201438848921,8,"Earthquakes","pyridge","cv"
"tsfeatures",57,0.748201438848921,8,"Earthquakes","pyridge","cv"
