"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",22,0.706521739130435,1,"FloodModeling3","pyridge","cv"
"feasts",39,0.722826086956522,1,"FloodModeling3","pyridge","cv"
"tsfeatures",59,0.728260869565217,1,"FloodModeling3","pyridge","cv"
"TSFEL",145,0.701086956521739,1,"FloodModeling3","pyridge","cv"
"Kats",36,0.695652173913043,1,"FloodModeling3","pyridge","cv"
"tsfresh",727,0.701086956521739,1,"FloodModeling3","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.684782608695652,1,"FloodModeling3","pyridge","cv"
"Quantiles",101,0.684782608695652,1,"FloodModeling3","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.684782608695652,1,"FloodModeling3","pyridge","cv"
"catch22",22,0.684782608695652,2,"FloodModeling3","pyridge","cv"
"feasts",39,0.706521739130435,2,"FloodModeling3","pyridge","cv"
"tsfeatures",59,0.701086956521739,2,"FloodModeling3","pyridge","cv"
"TSFEL",145,0.690217391304348,2,"FloodModeling3","pyridge","cv"
"Kats",36,0.668478260869565,2,"FloodModeling3","pyridge","cv"
"tsfresh",727,0.684782608695652,2,"FloodModeling3","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.673913043478261,2,"FloodModeling3","pyridge","cv"
"Quantiles",101,0.684782608695652,2,"FloodModeling3","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.684782608695652,2,"FloodModeling3","pyridge","cv"
"catch22",22,0.744565217391304,3,"FloodModeling3","pyridge","cv"
"feasts",39,0.722826086956522,3,"FloodModeling3","pyridge","cv"
"tsfeatures",59,0.760869565217391,3,"FloodModeling3","pyridge","cv"
"TSFEL",145,0.722826086956522,3,"FloodModeling3","pyridge","cv"
"Kats",36,0.684782608695652,3,"FloodModeling3","pyridge","cv"
"tsfresh",727,0.695652173913043,3,"FloodModeling3","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.684782608695652,3,"FloodModeling3","pyridge","cv"
"Quantiles",101,0.684782608695652,3,"FloodModeling3","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.684782608695652,3,"FloodModeling3","pyridge","cv"
"catch22",22,0.717391304347826,4,"FloodModeling3","pyridge","cv"
"feasts",39,0.739130434782609,4,"FloodModeling3","pyridge","cv"
"tsfeatures",59,0.760869565217391,4,"FloodModeling3","pyridge","cv"
"TSFEL",143,0.733695652173913,4,"FloodModeling3","pyridge","cv"
"Kats",36,0.695652173913043,4,"FloodModeling3","pyridge","cv"
"tsfresh",727,0.71195652173913,4,"FloodModeling3","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.684782608695652,4,"FloodModeling3","pyridge","cv"
"Quantiles",101,0.684782608695652,4,"FloodModeling3","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.684782608695652,4,"FloodModeling3","pyridge","cv"
"catch22",22,0.652173913043478,5,"FloodModeling3","pyridge","cv"
"feasts",39,0.706521739130435,5,"FloodModeling3","pyridge","cv"
"tsfeatures",59,0.684782608695652,5,"FloodModeling3","pyridge","cv"
"TSFEL",143,0.695652173913043,5,"FloodModeling3","pyridge","cv"
"Kats",36,0.652173913043478,5,"FloodModeling3","pyridge","cv"
"tsfresh",727,0.728260869565217,5,"FloodModeling3","pyridge","cv"
