"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",22,0.436868686868687,1,"InsectWingbeatSound","pyridge","cv"
"feasts",37,0.416666666666667,1,"InsectWingbeatSound","pyridge","cv"
"tsfeatures",59,0.464646464646465,1,"InsectWingbeatSound","pyridge","cv"
"TSFEL",144,0.488383838383838,1,"InsectWingbeatSound","pyridge","cv"
"Kats",35,0.41969696969697,1,"InsectWingbeatSound","pyridge","cv"
"tsfresh",735,0.642424242424242,1,"InsectWingbeatSound","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.494949494949495,1,"InsectWingbeatSound","pyridge","cv"
"Quantiles",101,0.219191919191919,1,"InsectWingbeatSound","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.55050505050505,1,"InsectWingbeatSound","pyridge","cv"
"catch22",22,0.437373737373737,2,"InsectWingbeatSound","pyridge","cv"
"feasts",37,0.431313131313131,2,"InsectWingbeatSound","pyridge","cv"
"tsfeatures",59,0.421212121212121,2,"InsectWingbeatSound","pyridge","cv"
"TSFEL",144,0.492929292929293,2,"InsectWingbeatSound","pyridge","cv"
"Kats",35,0.411111111111111,2,"InsectWingbeatSound","pyridge","cv"
"tsfresh",735,0.636363636363636,2,"InsectWingbeatSound","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.543939393939394,2,"InsectWingbeatSound","pyridge","cv"
"Quantiles",101,0.231313131313131,2,"InsectWingbeatSound","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.547979797979798,2,"InsectWingbeatSound","pyridge","cv"
"catch22",22,0.462626262626263,3,"InsectWingbeatSound","pyridge","cv"
"feasts",37,0.427777777777778,3,"InsectWingbeatSound","pyridge","cv"
"tsfeatures",59,0.42020202020202,3,"InsectWingbeatSound","pyridge","cv"
"TSFEL",144,0.475252525252525,3,"InsectWingbeatSound","pyridge","cv"
"Kats",35,0.410606060606061,3,"InsectWingbeatSound","pyridge","cv"
"tsfresh",736,0.624747474747475,3,"InsectWingbeatSound","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.534848484848485,3,"InsectWingbeatSound","pyridge","cv"
"Quantiles",101,0.230808080808081,3,"InsectWingbeatSound","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.521717171717172,3,"InsectWingbeatSound","pyridge","cv"
"catch22",22,0.457070707070707,4,"InsectWingbeatSound","pyridge","cv"
"feasts",37,0.43030303030303,4,"InsectWingbeatSound","pyridge","cv"
"tsfeatures",59,0.438383838383838,4,"InsectWingbeatSound","pyridge","cv"
"TSFEL",143,0.507575757575758,4,"InsectWingbeatSound","pyridge","cv"
"Kats",35,0.425252525252525,4,"InsectWingbeatSound","pyridge","cv"
"tsfresh",729,0.625757575757576,4,"InsectWingbeatSound","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.548989898989899,4,"InsectWingbeatSound","pyridge","cv"
"Quantiles",101,0.224242424242424,4,"InsectWingbeatSound","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.54040404040404,4,"InsectWingbeatSound","pyridge","cv"
"catch22",22,0.436868686868687,5,"InsectWingbeatSound","pyridge","cv"
"feasts",37,0.435353535353535,5,"InsectWingbeatSound","pyridge","cv"
"tsfeatures",59,0.448484848484848,5,"InsectWingbeatSound","pyridge","cv"
"TSFEL",143,0.497474747474747,5,"InsectWingbeatSound","pyridge","cv"
"Kats",35,0.427777777777778,5,"InsectWingbeatSound","pyridge","cv"
"tsfresh",730,0.624747474747475,5,"InsectWingbeatSound","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.558585858585859,5,"InsectWingbeatSound","pyridge","cv"
"Quantiles",101,0.205050505050505,5,"InsectWingbeatSound","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.556060606060606,5,"InsectWingbeatSound","pyridge","cv"
"catch22",22,0.437373737373737,6,"InsectWingbeatSound","pyridge","cv"
"feasts",37,0.42020202020202,6,"InsectWingbeatSound","pyridge","cv"
"tsfeatures",59,0.417171717171717,6,"InsectWingbeatSound","pyridge","cv"
"TSFEL",144,0.494949494949495,6,"InsectWingbeatSound","pyridge","cv"
"Kats",35,0.417171717171717,6,"InsectWingbeatSound","pyridge","cv"
"tsfresh",737,0.613131313131313,6,"InsectWingbeatSound","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.542929292929293,6,"InsectWingbeatSound","pyridge","cv"
"Quantiles",101,0.212626262626263,6,"InsectWingbeatSound","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.535353535353535,6,"InsectWingbeatSound","pyridge","cv"
"catch22",22,0.443939393939394,7,"InsectWingbeatSound","pyridge","cv"
"feasts",37,0.436868686868687,7,"InsectWingbeatSound","pyridge","cv"
"tsfeatures",59,0.475252525252525,7,"InsectWingbeatSound","pyridge","cv"
"TSFEL",144,0.514141414141414,7,"InsectWingbeatSound","pyridge","cv"
"Kats",35,0.432828282828283,7,"InsectWingbeatSound","pyridge","cv"
"tsfresh",737,0.603535353535353,7,"InsectWingbeatSound","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.535353535353535,7,"InsectWingbeatSound","pyridge","cv"
"Quantiles",101,0.212626262626263,7,"InsectWingbeatSound","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.540909090909091,7,"InsectWingbeatSound","pyridge","cv"
"catch22",22,0.429292929292929,8,"InsectWingbeatSound","pyridge","cv"
"feasts",37,0.397979797979798,8,"InsectWingbeatSound","pyridge","cv"
"tsfeatures",59,0.465656565656566,8,"InsectWingbeatSound","pyridge","cv"
"TSFEL",143,0.486868686868687,8,"InsectWingbeatSound","pyridge","cv"
"Kats",35,0.42979797979798,8,"InsectWingbeatSound","pyridge","cv"
"tsfresh",730,0.617171717171717,8,"InsectWingbeatSound","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.566161616161616,8,"InsectWingbeatSound","pyridge","cv"
"Quantiles",101,0.226767676767677,8,"InsectWingbeatSound","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.547979797979798,8,"InsectWingbeatSound","pyridge","cv"
"catch22",22,0.466161616161616,9,"InsectWingbeatSound","pyridge","cv"
"feasts",37,0.444444444444444,9,"InsectWingbeatSound","pyridge","cv"
"tsfeatures",59,0.465151515151515,9,"InsectWingbeatSound","pyridge","cv"
"TSFEL",144,0.510606060606061,9,"InsectWingbeatSound","pyridge","cv"
"Kats",35,0.435353535353535,9,"InsectWingbeatSound","pyridge","cv"
"tsfresh",735,0.63030303030303,9,"InsectWingbeatSound","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.542424242424242,9,"InsectWingbeatSound","pyridge","cv"
"Quantiles",101,0.214646464646465,9,"InsectWingbeatSound","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.554040404040404,9,"InsectWingbeatSound","pyridge","cv"
"catch22",22,0.436363636363636,10,"InsectWingbeatSound","pyridge","cv"
"feasts",37,0.4,10,"InsectWingbeatSound","pyridge","cv"
"tsfeatures",59,0.463636363636364,10,"InsectWingbeatSound","pyridge","cv"
"TSFEL",143,0.501010101010101,10,"InsectWingbeatSound","pyridge","cv"
"Kats",35,0.416161616161616,10,"InsectWingbeatSound","pyridge","cv"
"tsfresh",729,0.593939393939394,10,"InsectWingbeatSound","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.566666666666667,10,"InsectWingbeatSound","pyridge","cv"
"Quantiles",101,0.210606060606061,10,"InsectWingbeatSound","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.542424242424242,10,"InsectWingbeatSound","pyridge","cv"
"catch22",22,0.454545454545455,11,"InsectWingbeatSound","pyridge","cv"
"feasts",37,0.420707070707071,11,"InsectWingbeatSound","pyridge","cv"
"tsfeatures",59,0.462121212121212,11,"InsectWingbeatSound","pyridge","cv"
"TSFEL",144,0.497474747474747,11,"InsectWingbeatSound","pyridge","cv"
"Kats",35,0.408080808080808,11,"InsectWingbeatSound","pyridge","cv"
"tsfresh",735,0.58989898989899,11,"InsectWingbeatSound","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.541919191919192,11,"InsectWingbeatSound","pyridge","cv"
"Quantiles",101,0.197979797979798,11,"InsectWingbeatSound","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.527272727272727,11,"InsectWingbeatSound","pyridge","cv"
"catch22",22,0.417676767676768,12,"InsectWingbeatSound","pyridge","cv"
"feasts",37,0.427777777777778,12,"InsectWingbeatSound","pyridge","cv"
"tsfeatures",59,0.425757575757576,12,"InsectWingbeatSound","pyridge","cv"
"TSFEL",144,0.497979797979798,12,"InsectWingbeatSound","pyridge","cv"
"Kats",35,0.383838383838384,12,"InsectWingbeatSound","pyridge","cv"
"tsfresh",736,0.626262626262626,12,"InsectWingbeatSound","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.552525252525253,12,"InsectWingbeatSound","pyridge","cv"
"Quantiles",101,0.196969696969697,12,"InsectWingbeatSound","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.54949494949495,12,"InsectWingbeatSound","pyridge","cv"
"catch22",22,0.426767676767677,13,"InsectWingbeatSound","pyridge","cv"
"feasts",37,0.427272727272727,13,"InsectWingbeatSound","pyridge","cv"
"tsfeatures",59,0.414646464646465,13,"InsectWingbeatSound","pyridge","cv"
"TSFEL",143,0.504545454545455,13,"InsectWingbeatSound","pyridge","cv"
"Kats",35,0.406565656565657,13,"InsectWingbeatSound","pyridge","cv"
"tsfresh",729,0.616666666666667,13,"InsectWingbeatSound","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.551010101010101,13,"InsectWingbeatSound","pyridge","cv"
"Quantiles",101,0.216161616161616,13,"InsectWingbeatSound","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.54949494949495,13,"InsectWingbeatSound","pyridge","cv"
"catch22",22,0.443939393939394,14,"InsectWingbeatSound","pyridge","cv"
"feasts",37,0.406060606060606,14,"InsectWingbeatSound","pyridge","cv"
"tsfeatures",59,0.452525252525253,14,"InsectWingbeatSound","pyridge","cv"
"TSFEL",143,0.513131313131313,14,"InsectWingbeatSound","pyridge","cv"
"Kats",35,0.416666666666667,14,"InsectWingbeatSound","pyridge","cv"
"tsfresh",729,0.609090909090909,14,"InsectWingbeatSound","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.52979797979798,14,"InsectWingbeatSound","pyridge","cv"
"Quantiles",101,0.208585858585859,14,"InsectWingbeatSound","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.537878787878788,14,"InsectWingbeatSound","pyridge","cv"
"catch22",22,0.420707070707071,15,"InsectWingbeatSound","pyridge","cv"
"feasts",37,0.426262626262626,15,"InsectWingbeatSound","pyridge","cv"
"tsfeatures",59,0.444444444444444,15,"InsectWingbeatSound","pyridge","cv"
"TSFEL",143,0.508585858585859,15,"InsectWingbeatSound","pyridge","cv"
"Kats",35,0.397474747474747,15,"InsectWingbeatSound","pyridge","cv"
"tsfresh",729,0.611616161616162,15,"InsectWingbeatSound","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.533333333333333,15,"InsectWingbeatSound","pyridge","cv"
"Quantiles",101,0.198484848484848,15,"InsectWingbeatSound","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.543939393939394,15,"InsectWingbeatSound","pyridge","cv"
"catch22",22,0.44949494949495,16,"InsectWingbeatSound","pyridge","cv"
"feasts",37,0.408080808080808,16,"InsectWingbeatSound","pyridge","cv"
"tsfeatures",59,0.458080808080808,16,"InsectWingbeatSound","pyridge","cv"
"TSFEL",144,0.528282828282828,16,"InsectWingbeatSound","pyridge","cv"
"Kats",35,0.431313131313131,16,"InsectWingbeatSound","pyridge","cv"
"tsfresh",735,0.629292929292929,16,"InsectWingbeatSound","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.538888888888889,16,"InsectWingbeatSound","pyridge","cv"
"Quantiles",101,0.214141414141414,16,"InsectWingbeatSound","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.536363636363636,16,"InsectWingbeatSound","pyridge","cv"
"catch22",22,0.457070707070707,17,"InsectWingbeatSound","pyridge","cv"
"feasts",37,0.425252525252525,17,"InsectWingbeatSound","pyridge","cv"
"tsfeatures",59,0.475757575757576,17,"InsectWingbeatSound","pyridge","cv"
"TSFEL",143,0.503030303030303,17,"InsectWingbeatSound","pyridge","cv"
"Kats",35,0.413131313131313,17,"InsectWingbeatSound","pyridge","cv"
"tsfresh",729,0.624747474747475,17,"InsectWingbeatSound","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.561111111111111,17,"InsectWingbeatSound","pyridge","cv"
"Quantiles",101,0.222727272727273,17,"InsectWingbeatSound","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.544444444444444,17,"InsectWingbeatSound","pyridge","cv"
"catch22",22,0.424747474747475,18,"InsectWingbeatSound","pyridge","cv"
"feasts",37,0.419191919191919,18,"InsectWingbeatSound","pyridge","cv"
"tsfeatures",59,0.445959595959596,18,"InsectWingbeatSound","pyridge","cv"
"TSFEL",143,0.506565656565657,18,"InsectWingbeatSound","pyridge","cv"
"Kats",35,0.369191919191919,18,"InsectWingbeatSound","pyridge","cv"
"tsfresh",729,0.601515151515152,18,"InsectWingbeatSound","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.531818181818182,18,"InsectWingbeatSound","pyridge","cv"
"Quantiles",101,0.238383838383838,18,"InsectWingbeatSound","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.569191919191919,18,"InsectWingbeatSound","pyridge","cv"
"catch22",22,0.457575757575758,19,"InsectWingbeatSound","pyridge","cv"
"feasts",37,0.447474747474747,19,"InsectWingbeatSound","pyridge","cv"
"tsfeatures",59,0.441414141414141,19,"InsectWingbeatSound","pyridge","cv"
"TSFEL",143,0.493939393939394,19,"InsectWingbeatSound","pyridge","cv"
"Kats",35,0.408585858585859,19,"InsectWingbeatSound","pyridge","cv"
"tsfresh",729,0.638888888888889,19,"InsectWingbeatSound","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.546464646464646,19,"InsectWingbeatSound","pyridge","cv"
"Quantiles",101,0.22020202020202,19,"InsectWingbeatSound","pyridge","cv"
