"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",22,0.704918032786885,1,"Lightning2","pyridge","cv"
"feasts",39,0.786885245901639,1,"Lightning2","pyridge","cv"
"tsfeatures",59,0.770491803278688,1,"Lightning2","pyridge","cv"
"TSFEL",145,0.786885245901639,1,"Lightning2","pyridge","cv"
"Kats",36,0.737704918032787,1,"Lightning2","pyridge","cv"
"tsfresh",733,0.688524590163934,1,"Lightning2","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.655737704918033,1,"Lightning2","pyridge","cv"
"Quantiles",101,0.770491803278688,1,"Lightning2","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.60655737704918,1,"Lightning2","pyridge","cv"
"catch22",22,0.655737704918033,2,"Lightning2","pyridge","cv"
"feasts",39,0.754098360655738,2,"Lightning2","pyridge","cv"
"tsfeatures",59,0.754098360655738,2,"Lightning2","pyridge","cv"
"TSFEL",145,0.639344262295082,2,"Lightning2","pyridge","cv"
"Kats",36,0.704918032786885,2,"Lightning2","pyridge","cv"
"tsfresh",733,0.819672131147541,2,"Lightning2","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.639344262295082,2,"Lightning2","pyridge","cv"
"Quantiles",101,0.672131147540984,2,"Lightning2","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.59016393442623,2,"Lightning2","pyridge","cv"
"catch22",22,0.770491803278688,3,"Lightning2","pyridge","cv"
"feasts",38,0.737704918032787,3,"Lightning2","pyridge","cv"
"tsfeatures",59,0.721311475409836,3,"Lightning2","pyridge","cv"
"TSFEL",145,0.704918032786885,3,"Lightning2","pyridge","cv"
"Kats",36,0.737704918032787,3,"Lightning2","pyridge","cv"
"tsfresh",733,0.672131147540984,3,"Lightning2","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.721311475409836,3,"Lightning2","pyridge","cv"
"Quantiles",101,0.721311475409836,3,"Lightning2","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.540983606557377,3,"Lightning2","pyridge","cv"
"catch22",22,0.770491803278688,4,"Lightning2","pyridge","cv"
"feasts",37,0.737704918032787,4,"Lightning2","pyridge","cv"
"tsfeatures",59,0.655737704918033,4,"Lightning2","pyridge","cv"
"TSFEL",145,0.639344262295082,4,"Lightning2","pyridge","cv"
"Kats",36,0.721311475409836,4,"Lightning2","pyridge","cv"
"tsfresh",733,0.754098360655738,4,"Lightning2","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.655737704918033,4,"Lightning2","pyridge","cv"
"Quantiles",101,0.672131147540984,4,"Lightning2","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.573770491803279,4,"Lightning2","pyridge","cv"
"catch22",22,0.754098360655738,5,"Lightning2","pyridge","cv"
"feasts",39,0.836065573770492,5,"Lightning2","pyridge","cv"
"tsfeatures",59,0.704918032786885,5,"Lightning2","pyridge","cv"
"TSFEL",145,0.540983606557377,5,"Lightning2","pyridge","cv"
"Kats",36,0.819672131147541,5,"Lightning2","pyridge","cv"
"tsfresh",733,0.786885245901639,5,"Lightning2","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.688524590163934,5,"Lightning2","pyridge","cv"
"Quantiles",101,0.672131147540984,5,"Lightning2","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.622950819672131,5,"Lightning2","pyridge","cv"
"catch22",22,0.688524590163934,6,"Lightning2","pyridge","cv"
"feasts",37,0.819672131147541,6,"Lightning2","pyridge","cv"
"tsfeatures",59,0.80327868852459,6,"Lightning2","pyridge","cv"
"TSFEL",145,0.655737704918033,6,"Lightning2","pyridge","cv"
"Kats",36,0.754098360655738,6,"Lightning2","pyridge","cv"
"tsfresh",733,0.754098360655738,6,"Lightning2","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.754098360655738,6,"Lightning2","pyridge","cv"
"Quantiles",101,0.737704918032787,6,"Lightning2","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.672131147540984,6,"Lightning2","pyridge","cv"
"catch22",22,0.60655737704918,7,"Lightning2","pyridge","cv"
"feasts",37,0.770491803278688,7,"Lightning2","pyridge","cv"
"tsfeatures",59,0.80327868852459,7,"Lightning2","pyridge","cv"
"TSFEL",145,0.672131147540984,7,"Lightning2","pyridge","cv"
"Kats",36,0.754098360655738,7,"Lightning2","pyridge","cv"
"tsfresh",733,0.770491803278688,7,"Lightning2","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.622950819672131,7,"Lightning2","pyridge","cv"
"Quantiles",101,0.672131147540984,7,"Lightning2","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.540983606557377,7,"Lightning2","pyridge","cv"
"catch22",22,0.655737704918033,8,"Lightning2","pyridge","cv"
"feasts",39,0.819672131147541,8,"Lightning2","pyridge","cv"
"tsfeatures",59,0.770491803278688,8,"Lightning2","pyridge","cv"
"TSFEL",145,0.672131147540984,8,"Lightning2","pyridge","cv"
"Kats",36,0.721311475409836,8,"Lightning2","pyridge","cv"
"tsfresh",732,0.786885245901639,8,"Lightning2","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.737704918032787,8,"Lightning2","pyridge","cv"
