"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",22,0.825079872204473,1,"MoteStrain","pyridge","cv"
"feasts",39,0.817891373801917,1,"MoteStrain","pyridge","cv"
"tsfeatures",59,0.820287539936102,1,"MoteStrain","pyridge","cv"
"TSFEL",144,0.869009584664537,1,"MoteStrain","pyridge","cv"
"Kats",36,0.843450479233227,1,"MoteStrain","pyridge","cv"
"tsfresh",507,0.909744408945687,1,"MoteStrain","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",187,0.824281150159744,1,"MoteStrain","pyridge","cv"
"Quantiles",101,0.805111821086262,1,"MoteStrain","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",86,0.746006389776358,1,"MoteStrain","pyridge","cv"
"catch22",22,0.810702875399361,2,"MoteStrain","pyridge","cv"
"feasts",39,0.759584664536741,2,"MoteStrain","pyridge","cv"
"tsfeatures",59,0.813897763578275,2,"MoteStrain","pyridge","cv"
"TSFEL",144,0.842651757188498,2,"MoteStrain","pyridge","cv"
"Kats",36,0.761182108626198,2,"MoteStrain","pyridge","cv"
"tsfresh",506,0.910543130990415,2,"MoteStrain","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",187,0.812300319488818,2,"MoteStrain","pyridge","cv"
"Quantiles",101,0.794728434504792,2,"MoteStrain","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",86,0.712460063897764,2,"MoteStrain","pyridge","cv"
"catch22",22,0.73961661341853,3,"MoteStrain","pyridge","cv"
"feasts",39,0.795527156549521,3,"MoteStrain","pyridge","cv"
"tsfeatures",59,0.757188498402556,3,"MoteStrain","pyridge","cv"
"TSFEL",144,0.777955271565495,3,"MoteStrain","pyridge","cv"
"Kats",36,0.77555910543131,3,"MoteStrain","pyridge","cv"
"tsfresh",501,0.866613418530351,3,"MoteStrain","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",187,0.833865814696486,3,"MoteStrain","pyridge","cv"
"Quantiles",101,0.804313099041534,3,"MoteStrain","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",86,0.71964856230032,3,"MoteStrain","pyridge","cv"
"catch22",22,0.837859424920128,4,"MoteStrain","pyridge","cv"
"feasts",39,0.71964856230032,4,"MoteStrain","pyridge","cv"
"tsfeatures",59,0.833865814696486,4,"MoteStrain","pyridge","cv"
"TSFEL",143,0.837859424920128,4,"MoteStrain","pyridge","cv"
"Kats",36,0.794728434504792,4,"MoteStrain","pyridge","cv"
"tsfresh",506,0.849840255591054,4,"MoteStrain","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",187,0.773162939297125,4,"MoteStrain","pyridge","cv"
"Quantiles",101,0.777955271565495,4,"MoteStrain","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",86,0.720447284345048,4,"MoteStrain","pyridge","cv"
"catch22",22,0.835463258785943,5,"MoteStrain","pyridge","cv"
"feasts",39,0.802715654952077,5,"MoteStrain","pyridge","cv"
"tsfeatures",59,0.809105431309904,5,"MoteStrain","pyridge","cv"
"TSFEL",144,0.791533546325879,5,"MoteStrain","pyridge","cv"
"Kats",36,0.833865814696486,5,"MoteStrain","pyridge","cv"
"tsfresh",505,0.873801916932907,5,"MoteStrain","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",187,0.768370607028754,5,"MoteStrain","pyridge","cv"
"Quantiles",101,0.77555910543131,5,"MoteStrain","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",86,0.730031948881789,5,"MoteStrain","pyridge","cv"
"catch22",22,0.769968051118211,6,"MoteStrain","pyridge","cv"
"feasts",39,0.76517571884984,6,"MoteStrain","pyridge","cv"
"tsfeatures",59,0.876198083067093,6,"MoteStrain","pyridge","cv"
"TSFEL",143,0.862619808306709,6,"MoteStrain","pyridge","cv"
"Kats",36,0.792332268370607,6,"MoteStrain","pyridge","cv"
"tsfresh",508,0.885782747603834,6,"MoteStrain","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",187,0.813897763578275,6,"MoteStrain","pyridge","cv"
"Quantiles",101,0.807507987220447,6,"MoteStrain","pyridge","cv"
