"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",22,0.708624708624709,1,"PhalangesOutlinesCorrect","pyridge","cv"
"feasts",39,0.706293706293706,1,"PhalangesOutlinesCorrect","pyridge","cv"
"tsfeatures",59,0.728438228438228,1,"PhalangesOutlinesCorrect","pyridge","cv"
"TSFEL",142,0.778554778554779,1,"PhalangesOutlinesCorrect","pyridge","cv"
"Kats",36,0.731934731934732,1,"PhalangesOutlinesCorrect","pyridge","cv"
"tsfresh",487,0.787878787878788,1,"PhalangesOutlinesCorrect","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",183,0.701631701631702,1,"PhalangesOutlinesCorrect","pyridge","cv"
"Quantiles",101,0.65034965034965,1,"PhalangesOutlinesCorrect","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",82,0.692307692307692,1,"PhalangesOutlinesCorrect","pyridge","cv"
"catch22",22,0.722610722610723,2,"PhalangesOutlinesCorrect","pyridge","cv"
"feasts",39,0.733100233100233,2,"PhalangesOutlinesCorrect","pyridge","cv"
"tsfeatures",59,0.727272727272727,2,"PhalangesOutlinesCorrect","pyridge","cv"
"TSFEL",142,0.803030303030303,2,"PhalangesOutlinesCorrect","pyridge","cv"
"Kats",36,0.752913752913753,2,"PhalangesOutlinesCorrect","pyridge","cv"
"tsfresh",487,0.800699300699301,2,"PhalangesOutlinesCorrect","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",183,0.726107226107226,2,"PhalangesOutlinesCorrect","pyridge","cv"
"Quantiles",101,0.668997668997669,2,"PhalangesOutlinesCorrect","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",82,0.710955710955711,2,"PhalangesOutlinesCorrect","pyridge","cv"
"catch22",22,0.724941724941725,3,"PhalangesOutlinesCorrect","pyridge","cv"
"feasts",39,0.737762237762238,3,"PhalangesOutlinesCorrect","pyridge","cv"
"tsfeatures",59,0.752913752913753,3,"PhalangesOutlinesCorrect","pyridge","cv"
"TSFEL",142,0.789044289044289,3,"PhalangesOutlinesCorrect","pyridge","cv"
"Kats",36,0.750582750582751,3,"PhalangesOutlinesCorrect","pyridge","cv"
"tsfresh",486,0.77972027972028,3,"PhalangesOutlinesCorrect","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",183,0.716783216783217,3,"PhalangesOutlinesCorrect","pyridge","cv"
"Quantiles",101,0.672494172494173,3,"PhalangesOutlinesCorrect","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",82,0.688811188811189,3,"PhalangesOutlinesCorrect","pyridge","cv"
"catch22",22,0.706293706293706,4,"PhalangesOutlinesCorrect","pyridge","cv"
"feasts",39,0.735431235431235,4,"PhalangesOutlinesCorrect","pyridge","cv"
"tsfeatures",59,0.747086247086247,4,"PhalangesOutlinesCorrect","pyridge","cv"
"TSFEL",142,0.796037296037296,4,"PhalangesOutlinesCorrect","pyridge","cv"
"Kats",36,0.761072261072261,4,"PhalangesOutlinesCorrect","pyridge","cv"
"tsfresh",487,0.801864801864802,4,"PhalangesOutlinesCorrect","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",183,0.735431235431235,4,"PhalangesOutlinesCorrect","pyridge","cv"
"Quantiles",101,0.660839160839161,4,"PhalangesOutlinesCorrect","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",82,0.72960372960373,4,"PhalangesOutlinesCorrect","pyridge","cv"
"catch22",22,0.723776223776224,5,"PhalangesOutlinesCorrect","pyridge","cv"
"feasts",39,0.724941724941725,5,"PhalangesOutlinesCorrect","pyridge","cv"
"tsfeatures",59,0.751748251748252,5,"PhalangesOutlinesCorrect","pyridge","cv"
"TSFEL",142,0.813519813519814,5,"PhalangesOutlinesCorrect","pyridge","cv"
"Kats",36,0.758741258741259,5,"PhalangesOutlinesCorrect","pyridge","cv"
"tsfresh",487,0.793706293706294,5,"PhalangesOutlinesCorrect","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",183,0.719114219114219,5,"PhalangesOutlinesCorrect","pyridge","cv"
"Quantiles",101,0.665501165501165,5,"PhalangesOutlinesCorrect","pyridge","cv"
