"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",22,0.829268292682927,1,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"feasts",35,0.863414634146341,1,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"tsfeatures",59,0.84390243902439,1,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"TSFEL",141,0.858536585365854,1,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"Kats",36,0.853658536585366,1,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"tsfresh",480,0.84390243902439,1,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",183,0.868292682926829,1,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"Quantiles",101,0.809756097560976,1,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",82,0.868292682926829,1,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"catch22",22,0.848780487804878,2,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"feasts",35,0.858536585365854,2,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"tsfeatures",59,0.868292682926829,2,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"TSFEL",141,0.848780487804878,2,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"Kats",36,0.853658536585366,2,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"tsfresh",479,0.853658536585366,2,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",183,0.863414634146341,2,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"Quantiles",101,0.829268292682927,2,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",82,0.84390243902439,2,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"catch22",22,0.839024390243902,3,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"feasts",35,0.84390243902439,3,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"tsfeatures",59,0.834146341463415,3,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"TSFEL",141,0.858536585365854,3,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"Kats",36,0.878048780487805,3,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"tsfresh",479,0.853658536585366,3,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",183,0.868292682926829,3,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"Quantiles",101,0.839024390243902,3,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",82,0.839024390243902,3,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"catch22",22,0.795121951219512,4,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"feasts",35,0.790243902439024,4,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"tsfeatures",59,0.804878048780488,4,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"TSFEL",141,0.795121951219512,4,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"Kats",36,0.804878048780488,4,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"tsfresh",480,0.804878048780488,4,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",183,0.8,4,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"Quantiles",101,0.8,4,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",82,0.809756097560976,4,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"catch22",21,0.839024390243902,5,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"feasts",35,0.839024390243902,5,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"tsfeatures",59,0.834146341463415,5,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"TSFEL",141,0.848780487804878,5,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"Kats",36,0.834146341463415,5,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"tsfresh",479,0.858536585365854,5,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",183,0.839024390243902,5,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"Quantiles",101,0.84390243902439,5,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",82,0.84390243902439,5,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"catch22",22,0.84390243902439,6,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"feasts",35,0.829268292682927,6,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"tsfeatures",59,0.834146341463415,6,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"TSFEL",141,0.834146341463415,6,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"Kats",36,0.848780487804878,6,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"tsfresh",479,0.848780487804878,6,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",183,0.848780487804878,6,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"Quantiles",101,0.84390243902439,6,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",82,0.839024390243902,6,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
"catch22",22,0.848780487804878,7,"ProximalPhalanxOutlineAgeGroup","pyridge","cv"
