"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",21,0.74,1,"Rock","pyridge","fixed"
"feasts",34,0.82,1,"Rock","pyridge","fixed"
"tsfeatures",58,0.84,1,"Rock","pyridge","fixed"
"TSFEL",144,0.78,1,"Rock","pyridge","fixed"
"Kats",36,0.72,1,"Rock","pyridge","fixed"
"tsfresh",737,0.88,1,"Rock","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.84,1,"Rock","pyridge","fixed"
"Quantiles",101,0.5,1,"Rock","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.82,1,"Rock","pyridge","fixed"
"catch22",21,0.62,2,"Rock","pyridge","fixed"
"feasts",34,0.72,2,"Rock","pyridge","fixed"
"tsfeatures",58,0.7,2,"Rock","pyridge","fixed"
"TSFEL",142,0.76,2,"Rock","pyridge","fixed"
"Kats",36,0.74,2,"Rock","pyridge","fixed"
"tsfresh",734,0.82,2,"Rock","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.78,2,"Rock","pyridge","fixed"
"Quantiles",101,0.5,2,"Rock","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.76,2,"Rock","pyridge","fixed"
"catch22",21,0.74,3,"Rock","pyridge","fixed"
"feasts",34,0.8,3,"Rock","pyridge","fixed"
"tsfeatures",58,0.76,3,"Rock","pyridge","fixed"
"TSFEL",143,0.76,3,"Rock","pyridge","fixed"
"Kats",36,0.78,3,"Rock","pyridge","fixed"
"tsfresh",734,0.88,3,"Rock","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.76,3,"Rock","pyridge","fixed"
"Quantiles",101,0.64,3,"Rock","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.78,3,"Rock","pyridge","fixed"
"catch22",21,0.62,4,"Rock","pyridge","fixed"
"feasts",34,0.66,4,"Rock","pyridge","fixed"
"tsfeatures",58,0.68,4,"Rock","pyridge","fixed"
"TSFEL",143,0.8,4,"Rock","pyridge","fixed"
"Kats",36,0.76,4,"Rock","pyridge","fixed"
"tsfresh",735,0.84,4,"Rock","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.78,4,"Rock","pyridge","fixed"
"Quantiles",101,0.5,4,"Rock","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.78,4,"Rock","pyridge","fixed"
"catch22",21,0.62,5,"Rock","pyridge","fixed"
"feasts",34,0.78,5,"Rock","pyridge","fixed"
"tsfeatures",58,0.72,5,"Rock","pyridge","fixed"
"TSFEL",143,0.74,5,"Rock","pyridge","fixed"
"Kats",36,0.68,5,"Rock","pyridge","fixed"
"tsfresh",735,0.78,5,"Rock","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.74,5,"Rock","pyridge","fixed"
"Quantiles",101,0.64,5,"Rock","pyridge","fixed"
"FFT coef. (Mag^2 + Angle)",200,0.78,5,"Rock","pyridge","fixed"
"catch22",21,0.72,6,"Rock","pyridge","fixed"
"feasts",34,0.8,6,"Rock","pyridge","fixed"
"tsfeatures",58,0.72,6,"Rock","pyridge","fixed"
"TSFEL",143,0.66,6,"Rock","pyridge","fixed"
"Kats",36,0.7,6,"Rock","pyridge","fixed"
"tsfresh",736,0.82,6,"Rock","pyridge","fixed"
"FFT (Mag^2 + Angle) + quantiles",301,0.66,6,"Rock","pyridge","fixed"
"Quantiles",101,0.44,6,"Rock","pyridge","fixed"
