"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",22,0.641666666666667,1,"ShapesAll","pyridge","cv"
"feasts",37,0.706666666666667,1,"ShapesAll","pyridge","cv"
"tsfeatures",59,0.791666666666667,1,"ShapesAll","pyridge","cv"
"TSFEL",144,0.788333333333333,1,"ShapesAll","pyridge","cv"
"Kats",36,0.701666666666667,1,"ShapesAll","pyridge","cv"
"tsfresh",738,0.803333333333333,1,"ShapesAll","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.666666666666667,1,"ShapesAll","pyridge","cv"
"Quantiles",101,0.593333333333333,1,"ShapesAll","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.395,1,"ShapesAll","pyridge","cv"
"catch22",22,0.686666666666667,2,"ShapesAll","pyridge","cv"
"feasts",37,0.733333333333333,2,"ShapesAll","pyridge","cv"
"tsfeatures",59,0.791666666666667,2,"ShapesAll","pyridge","cv"
"TSFEL",144,0.778333333333333,2,"ShapesAll","pyridge","cv"
"Kats",36,0.706666666666667,2,"ShapesAll","pyridge","cv"
"tsfresh",738,0.753333333333333,2,"ShapesAll","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.62,2,"ShapesAll","pyridge","cv"
"Quantiles",101,0.608333333333333,2,"ShapesAll","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.393333333333333,2,"ShapesAll","pyridge","cv"
"catch22",22,0.651666666666667,3,"ShapesAll","pyridge","cv"
"feasts",37,0.73,3,"ShapesAll","pyridge","cv"
"tsfeatures",59,0.821666666666667,3,"ShapesAll","pyridge","cv"
"TSFEL",144,0.801666666666667,3,"ShapesAll","pyridge","cv"
"Kats",36,0.698333333333333,3,"ShapesAll","pyridge","cv"
"tsfresh",737,0.783333333333333,3,"ShapesAll","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.613333333333333,3,"ShapesAll","pyridge","cv"
"Quantiles",101,0.58,3,"ShapesAll","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.408333333333333,3,"ShapesAll","pyridge","cv"
"catch22",22,0.688333333333333,4,"ShapesAll","pyridge","cv"
"feasts",37,0.74,4,"ShapesAll","pyridge","cv"
"tsfeatures",59,0.811666666666667,4,"ShapesAll","pyridge","cv"
"TSFEL",144,0.81,4,"ShapesAll","pyridge","cv"
"Kats",36,0.721666666666667,4,"ShapesAll","pyridge","cv"
"tsfresh",738,0.785,4,"ShapesAll","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.646666666666667,4,"ShapesAll","pyridge","cv"
"Quantiles",101,0.616666666666667,4,"ShapesAll","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.39,4,"ShapesAll","pyridge","cv"
"catch22",22,0.681666666666667,5,"ShapesAll","pyridge","cv"
"feasts",37,0.75,5,"ShapesAll","pyridge","cv"
