"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",22,0.84,1,"SwedishLeaf","pyridge","cv"
"feasts",37,0.9152,1,"SwedishLeaf","pyridge","cv"
"tsfeatures",59,0.9248,1,"SwedishLeaf","pyridge","cv"
"TSFEL",144,0.9248,1,"SwedishLeaf","pyridge","cv"
"Kats",36,0.8848,1,"SwedishLeaf","pyridge","cv"
"tsfresh",595,0.92,1,"SwedishLeaf","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",231,0.8064,1,"SwedishLeaf","pyridge","cv"
"Quantiles",101,0.7296,1,"SwedishLeaf","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",130,0.568,1,"SwedishLeaf","pyridge","cv"
"catch22",22,0.824,2,"SwedishLeaf","pyridge","cv"
"feasts",37,0.9296,2,"SwedishLeaf","pyridge","cv"
"tsfeatures",59,0.9296,2,"SwedishLeaf","pyridge","cv"
"TSFEL",144,0.9232,2,"SwedishLeaf","pyridge","cv"
"Kats",36,0.8992,2,"SwedishLeaf","pyridge","cv"
"tsfresh",594,0.9216,2,"SwedishLeaf","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",231,0.7968,2,"SwedishLeaf","pyridge","cv"
"Quantiles",101,0.7232,2,"SwedishLeaf","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",130,0.5648,2,"SwedishLeaf","pyridge","cv"
"catch22",22,0.832,3,"SwedishLeaf","pyridge","cv"
"feasts",37,0.8832,3,"SwedishLeaf","pyridge","cv"
"tsfeatures",59,0.9056,3,"SwedishLeaf","pyridge","cv"
"TSFEL",144,0.9344,3,"SwedishLeaf","pyridge","cv"
"Kats",36,0.9088,3,"SwedishLeaf","pyridge","cv"
"tsfresh",595,0.9264,3,"SwedishLeaf","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",231,0.8064,3,"SwedishLeaf","pyridge","cv"
"Quantiles",101,0.7232,3,"SwedishLeaf","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",130,0.5104,3,"SwedishLeaf","pyridge","cv"
"catch22",22,0.8288,4,"SwedishLeaf","pyridge","cv"
"feasts",37,0.9024,4,"SwedishLeaf","pyridge","cv"
"tsfeatures",59,0.9056,4,"SwedishLeaf","pyridge","cv"
"TSFEL",144,0.9184,4,"SwedishLeaf","pyridge","cv"
"Kats",36,0.8976,4,"SwedishLeaf","pyridge","cv"
"tsfresh",595,0.9008,4,"SwedishLeaf","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",231,0.8048,4,"SwedishLeaf","pyridge","cv"
"Quantiles",101,0.7008,4,"SwedishLeaf","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",130,0.5456,4,"SwedishLeaf","pyridge","cv"
"catch22",22,0.8256,5,"SwedishLeaf","pyridge","cv"
"feasts",37,0.9104,5,"SwedishLeaf","pyridge","cv"
"tsfeatures",59,0.928,5,"SwedishLeaf","pyridge","cv"
"TSFEL",144,0.92,5,"SwedishLeaf","pyridge","cv"
"Kats",36,0.8912,5,"SwedishLeaf","pyridge","cv"
"tsfresh",594,0.8992,5,"SwedishLeaf","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",231,0.7904,5,"SwedishLeaf","pyridge","cv"
"Quantiles",101,0.7328,5,"SwedishLeaf","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",130,0.5216,5,"SwedishLeaf","pyridge","cv"
"catch22",22,0.816,6,"SwedishLeaf","pyridge","cv"
"feasts",37,0.9168,6,"SwedishLeaf","pyridge","cv"
"tsfeatures",59,0.9312,6,"SwedishLeaf","pyridge","cv"
"TSFEL",144,0.936,6,"SwedishLeaf","pyridge","cv"
"Kats",36,0.8944,6,"SwedishLeaf","pyridge","cv"
"tsfresh",594,0.904,6,"SwedishLeaf","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",231,0.7728,6,"SwedishLeaf","pyridge","cv"
"Quantiles",101,0.6976,6,"SwedishLeaf","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",130,0.5552,6,"SwedishLeaf","pyridge","cv"
"catch22",22,0.832,7,"SwedishLeaf","pyridge","cv"
"feasts",37,0.9104,7,"SwedishLeaf","pyridge","cv"
"tsfeatures",59,0.9248,7,"SwedishLeaf","pyridge","cv"
"TSFEL",144,0.9344,7,"SwedishLeaf","pyridge","cv"
"Kats",36,0.8992,7,"SwedishLeaf","pyridge","cv"
"tsfresh",595,0.9056,7,"SwedishLeaf","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",231,0.7824,7,"SwedishLeaf","pyridge","cv"
"Quantiles",101,0.712,7,"SwedishLeaf","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",130,0.5408,7,"SwedishLeaf","pyridge","cv"
"catch22",22,0.8288,8,"SwedishLeaf","pyridge","cv"
"feasts",37,0.9088,8,"SwedishLeaf","pyridge","cv"
"tsfeatures",59,0.9264,8,"SwedishLeaf","pyridge","cv"
"TSFEL",144,0.9312,8,"SwedishLeaf","pyridge","cv"
"Kats",36,0.904,8,"SwedishLeaf","pyridge","cv"
"tsfresh",595,0.9104,8,"SwedishLeaf","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",231,0.7904,8,"SwedishLeaf","pyridge","cv"
"Quantiles",101,0.736,8,"SwedishLeaf","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",130,0.5328,8,"SwedishLeaf","pyridge","cv"
"catch22",22,0.8432,9,"SwedishLeaf","pyridge","cv"
"feasts",37,0.9168,9,"SwedishLeaf","pyridge","cv"
"tsfeatures",59,0.936,9,"SwedishLeaf","pyridge","cv"
"TSFEL",144,0.9296,9,"SwedishLeaf","pyridge","cv"
"Kats",36,0.9024,9,"SwedishLeaf","pyridge","cv"
"tsfresh",595,0.8992,9,"SwedishLeaf","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",231,0.7776,9,"SwedishLeaf","pyridge","cv"
"Quantiles",101,0.7168,9,"SwedishLeaf","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",130,0.5536,9,"SwedishLeaf","pyridge","cv"
"catch22",22,0.8304,10,"SwedishLeaf","pyridge","cv"
"feasts",37,0.9408,10,"SwedishLeaf","pyridge","cv"
"tsfeatures",59,0.9296,10,"SwedishLeaf","pyridge","cv"
"TSFEL",144,0.9376,10,"SwedishLeaf","pyridge","cv"
"Kats",36,0.8976,10,"SwedishLeaf","pyridge","cv"
"tsfresh",594,0.9056,10,"SwedishLeaf","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",231,0.784,10,"SwedishLeaf","pyridge","cv"
"Quantiles",101,0.7552,10,"SwedishLeaf","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",130,0.5504,10,"SwedishLeaf","pyridge","cv"
"catch22",22,0.8304,11,"SwedishLeaf","pyridge","cv"
"feasts",37,0.8896,11,"SwedishLeaf","pyridge","cv"
"tsfeatures",59,0.9168,11,"SwedishLeaf","pyridge","cv"
"TSFEL",144,0.9088,11,"SwedishLeaf","pyridge","cv"
"Kats",36,0.9008,11,"SwedishLeaf","pyridge","cv"
"tsfresh",595,0.8768,11,"SwedishLeaf","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",231,0.7584,11,"SwedishLeaf","pyridge","cv"
"Quantiles",101,0.7152,11,"SwedishLeaf","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",130,0.52,11,"SwedishLeaf","pyridge","cv"
"catch22",22,0.7936,12,"SwedishLeaf","pyridge","cv"
"feasts",37,0.9024,12,"SwedishLeaf","pyridge","cv"
"tsfeatures",59,0.912,12,"SwedishLeaf","pyridge","cv"
"TSFEL",144,0.92,12,"SwedishLeaf","pyridge","cv"
"Kats",36,0.888,12,"SwedishLeaf","pyridge","cv"
"tsfresh",594,0.8912,12,"SwedishLeaf","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",231,0.776,12,"SwedishLeaf","pyridge","cv"
"Quantiles",101,0.7136,12,"SwedishLeaf","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",130,0.5536,12,"SwedishLeaf","pyridge","cv"
"catch22",22,0.8176,13,"SwedishLeaf","pyridge","cv"
"feasts",37,0.8992,13,"SwedishLeaf","pyridge","cv"
"tsfeatures",59,0.9168,13,"SwedishLeaf","pyridge","cv"
"TSFEL",144,0.9136,13,"SwedishLeaf","pyridge","cv"
"Kats",36,0.8912,13,"SwedishLeaf","pyridge","cv"
"tsfresh",594,0.888,13,"SwedishLeaf","pyridge","cv"
