"feature_set","num_features","accuracy","resample","problem","classifier","penalty"
"catch22",21,1,1,"Trace","pyridge","cv"
"feasts",37,0.98,1,"Trace","pyridge","cv"
"tsfeatures",59,0.99,1,"Trace","pyridge","cv"
"TSFEL",141,0.99,1,"Trace","pyridge","cv"
"Kats",35,1,1,"Trace","pyridge","cv"
"tsfresh",733,1,1,"Trace","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.85,1,"Trace","pyridge","cv"
"Quantiles",101,0.93,1,"Trace","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.73,1,"Trace","pyridge","cv"
"catch22",21,0.99,2,"Trace","pyridge","cv"
"feasts",37,1,2,"Trace","pyridge","cv"
"tsfeatures",59,1,2,"Trace","pyridge","cv"
"TSFEL",141,0.99,2,"Trace","pyridge","cv"
"Kats",35,1,2,"Trace","pyridge","cv"
"tsfresh",734,1,2,"Trace","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.95,2,"Trace","pyridge","cv"
"Quantiles",101,0.99,2,"Trace","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.72,2,"Trace","pyridge","cv"
"catch22",21,1,3,"Trace","pyridge","cv"
"feasts",37,1,3,"Trace","pyridge","cv"
"tsfeatures",59,0.99,3,"Trace","pyridge","cv"
"TSFEL",142,1,3,"Trace","pyridge","cv"
"Kats",35,1,3,"Trace","pyridge","cv"
"tsfresh",739,0.99,3,"Trace","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.96,3,"Trace","pyridge","cv"
"Quantiles",101,0.99,3,"Trace","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.72,3,"Trace","pyridge","cv"
"catch22",21,1,4,"Trace","pyridge","cv"
"feasts",37,0.99,4,"Trace","pyridge","cv"
"tsfeatures",59,0.98,4,"Trace","pyridge","cv"
"TSFEL",141,1,4,"Trace","pyridge","cv"
"Kats",35,1,4,"Trace","pyridge","cv"
"tsfresh",734,1,4,"Trace","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.9,4,"Trace","pyridge","cv"
"Quantiles",101,0.97,4,"Trace","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.72,4,"Trace","pyridge","cv"
"catch22",21,1,5,"Trace","pyridge","cv"
"feasts",37,1,5,"Trace","pyridge","cv"
"tsfeatures",59,0.98,5,"Trace","pyridge","cv"
"TSFEL",142,0.99,5,"Trace","pyridge","cv"
"Kats",35,1,5,"Trace","pyridge","cv"
"tsfresh",740,1,5,"Trace","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.84,5,"Trace","pyridge","cv"
"Quantiles",101,0.98,5,"Trace","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.72,5,"Trace","pyridge","cv"
"catch22",21,1,6,"Trace","pyridge","cv"
"feasts",37,1,6,"Trace","pyridge","cv"
"tsfeatures",59,1,6,"Trace","pyridge","cv"
"TSFEL",141,0.98,6,"Trace","pyridge","cv"
"Kats",35,1,6,"Trace","pyridge","cv"
"tsfresh",733,1,6,"Trace","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.88,6,"Trace","pyridge","cv"
"Quantiles",101,0.98,6,"Trace","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.72,6,"Trace","pyridge","cv"
"catch22",21,1,7,"Trace","pyridge","cv"
"feasts",37,1,7,"Trace","pyridge","cv"
"tsfeatures",59,0.99,7,"Trace","pyridge","cv"
"TSFEL",142,1,7,"Trace","pyridge","cv"
"Kats",35,1,7,"Trace","pyridge","cv"
"tsfresh",739,1,7,"Trace","pyridge","cv"
"FFT (Mag^2 + Angle) + quantiles",301,0.88,7,"Trace","pyridge","cv"
"Quantiles",101,0.99,7,"Trace","pyridge","cv"
"FFT coef. (Mag^2 + Angle)",200,0.75,7,"Trace","pyridge","cv"
"catch22",21,1,8,"Trace","pyridge","cv"
"feasts",37,1,8,"Trace","pyridge","cv"
"tsfeatures",59,0.98,8,"Trace","pyridge","cv"
"TSFEL",141,0.99,8,"Trace","pyridge","cv"
"Kats",35,0.99,8,"Trace","pyridge","cv"
"tsfresh",734,1,8,"Trace","pyridge","cv"
